id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
0-000000000178,1696033965.0317461,1696033966.803975,1.772226461,1696033965.0458822,1696033966.8017492,1.755860479,1696033965.0617115,1696033966.8015711,1.739472911
1-000000000001,1696033966.8067064,1696033968.4973607,1.69065052,1696033966.81174,1696033968.4954197,1.683674222,1696033966.8184583,1696033968.49533,1.67646505
2-000000000276,1696033968.4980147,1696033970.1956668,1.697649548,1696033968.5021424,1696033970.1938825,1.691733144,1696033968.5084116,1696033970.1937943,1.685047975
3-000000000549,1696033970.1960824,1696033971.9445686,1.748483334,1696033970.2006245,1696033971.942496,1.741866395,1696033970.207845,1696033971.9424002,1.734146093
4-000000000718,1696033971.9450603,1696033973.6755643,1.730501487,1696033971.9491253,1696033973.6735482,1.724416151,1696033971.9550738,1696033973.6734529,1.717972015
5-000000011517,1696033973.6759593,1696033975.4087155,1.732753477,1696033973.680091,1696033975.4065824,1.726485329,1696033973.6874483,1696033975.4064844,1.718643347
6-000000000570,1696033975.409806,1696033977.273257,1.863447862,1696033975.4183614,1696033977.2711928,1.852825774,1696033975.430402,1696033977.2711022,1.840302312
7-000000000694,1696033977.2737167,1696033978.9833956,1.709675304,1696033977.2777398,1696033978.9810185,1.703272922,1696033977.285242,1696033978.9809299,1.695286034
8-000000000771,1696033978.9838843,1696033980.7093787,1.725491907,1696033978.9877212,1696033980.7058365,1.718107233,1696033978.9942105,1696033980.7057033,1.711085163
9-000000001371,1696033980.7099438,1696033982.4459834,1.736037084,1696033980.7163758,1696033982.4439437,1.727562485,1696033980.7247386,1696033982.443852,1.718704423
10-000000007242,1696033982.446472,1696033984.147236,1.700761187,1696033982.453989,1696033984.1450768,1.691081867,1696033982.4599164,1696033984.1448584,1.684505862
11-000000012287,1696033984.1476288,1696033985.8556101,1.707978468,1696033984.1516874,1696033985.8535461,1.701852809,1696033984.158056,1696033985.8534548,1.695007589
12-000000018852,1696033985.856201,1696033987.573082,1.716877558,1696033985.8615057,1696033987.571224,1.709712471,1696033985.8680205,1696033987.5711286,1.702662775
13-000000000535,1696033987.5737863,1696033989.3021686,1.728378956,1696033987.5781386,1696033989.299983,1.721838584,1696033987.5876462,1696033989.2998857,1.711844689
14-000000020674,1696033989.302588,1696033991.0259154,1.723323142,1696033989.3068116,1696033991.0233085,1.716491091,1696033989.3143816,1696033991.023222,1.708440921
15-000000114471,1696033991.0263658,1696033992.752075,1.725705593,1696033991.0306914,1696033992.7501998,1.719502868,1696033991.0385382,1696033992.7501101,1.711171064
16-000000027473,1696033992.7524693,1696033994.467987,1.715513862,1696033992.7567062,1696033994.4659488,1.709237139,1696033992.7646391,1696033994.4658668,1.700837083
17-000000020717,1696033994.4683495,1696033996.1919112,1.723557283,1696033994.4791489,1696033996.1897972,1.710641811,1696033994.4850137,1696033996.189686,1.70425277
18-000000033030,1696033996.192322,1696033997.9301088,1.737783956,1696033996.2007635,1696033997.9280903,1.727320988,1696033996.2094982,1696033997.927998,1.718086253
19-000000569105,1696033997.9304829,1696033999.6452658,1.714779027,1696033997.9345624,1696033999.6427908,1.708222224,1696033997.942496,1696033999.642699,1.699732256
20-000000568423,1696033999.645611,1696034001.3864336,1.7408196,1696033999.654177,1696034001.3845413,1.730358532,1696033999.6596751,1696034001.3844204,1.724350291
21-000000219090,1696034001.3868484,1696034003.1418438,1.754991207,1696034001.3907287,1696034003.1392624,1.748527789,1696034001.3976824,1696034003.1391745,1.741080719
22-000000020503,1696034003.1422048,1696034004.8594737,1.717265653,1696034003.1467185,1696034004.8573782,1.710654039,1696034003.1530135,1696034004.857283,1.703881351
23-000000576217,1696034004.8600166,1696034006.5906503,1.730630239,1696034004.86391,1696034006.5887384,1.724822627,1696034004.8700833,1696034006.588645,1.718167574
24-000000105659,1696034006.5914588,1696034008.3389306,1.747469343,1696034006.5967515,1696034008.3369431,1.740185737,1696034006.6025696,1696034008.336846,1.733875728
25-000000560759,1696034008.3394868,1696034010.0584219,1.718932273,1696034008.345608,1696034010.0564194,1.710804799,1696034008.351374,1696034010.0563233,1.704549757
26-000000571463,1696034010.0588214,1696034011.7865336,1.727709486,1696034010.0628073,1696034011.7845469,1.721732665,1696034010.0696216,1696034011.7844505,1.714419954
27-000000579670,1696034011.7870479,1696034013.4998684,1.71281759,1696034011.793313,1696034013.497841,1.704521464,1696034011.8002656,1696034013.4977472,1.697077919
28-000000576965,1696034013.5003426,1696034015.2180748,1.717728729,1696034013.5054014,1696034015.2160225,1.710615672,1696034013.5133452,1696034015.2159214,1.702193076
29-000000574730,1696034015.2186255,1696034016.93941,1.720781427,1696034015.22228,1696034016.9374852,1.71519899,1696034015.2276845,1696034016.9373908,1.709315255
