id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
0-000000000178,1696036209.5530567,1696036214.649638,5.096578879,1696036209.5617034,1696036214.6477604,5.086053777,1696036209.5745158,1696036214.647608,5.07283062
1-000000000001,1696036214.650313,1696036219.6764903,5.026174195,1696036214.65803,1696036219.6748905,5.016857717,1696036214.6630414,1696036219.6748047,5.011503062
2-000000000276,1696036219.677213,1696036224.711346,5.034129814,1696036219.6821754,1696036224.7096567,5.027478705,1696036219.686961,1696036224.7095757,5.022351356
3-000000000549,1696036224.7119036,1696036229.6703181,4.958410409,1696036224.7173057,1696036229.6684313,4.951123202,1696036224.722693,1696036229.668356,4.945404881
4-000000000718,1696036229.6708047,1696036234.6436477,4.972839229,1696036229.6756144,1696036234.6420739,4.96645678,1696036229.6801035,1696036234.6419961,4.961628117
5-000000011517,1696036234.6440191,1696036239.6027963,4.958773635,1696036234.647332,1696036239.601127,4.953792367,1696036234.6527338,1696036239.6010458,4.948048424
6-000000000570,1696036239.6033611,1696036244.7955637,5.192199286,1696036239.6093092,1696036244.7936165,5.184304583,1696036239.618807,1696036244.7935307,5.174454655
7-000000000694,1696036244.7960775,1696036249.7999597,5.003877909,1696036244.8000698,1696036249.7976506,4.997578231,1696036244.8058465,1696036249.7975662,4.991422038
8-000000000771,1696036249.800603,1696036254.8088574,5.008251298,1696036249.8078718,1696036254.8071234,4.999249135,1696036249.8128254,1696036254.80705,4.99396567
9-000000001371,1696036254.8092537,1696036259.7484047,4.939147741,1696036254.8147478,1696036259.7464516,4.931700883,1696036254.8210123,1696036259.7463684,4.925082629
10-000000007242,1696036259.7487593,1696036264.7139115,4.965148463,1696036259.7548335,1696036264.7121215,4.957284974,1696036259.7594402,1696036264.7119315,4.952226335
11-000000012287,1696036264.7142618,1696036269.6226301,4.908365069,1696036264.7192683,1696036269.6209815,4.901710605,1696036264.724351,1696036269.6209083,4.896298088
12-000000018852,1696036269.6230094,1696036274.526805,4.903792818,1696036269.6277778,1696036274.5249195,4.89713854,1696036269.6327324,1696036274.5248415,4.891836672
13-000000000535,1696036274.5274346,1696036279.4346185,4.907181324,1696036274.534605,1696036279.432995,4.898387384,1696036274.5420694,1696036279.4329185,4.890589966
14-000000020674,1696036279.4350495,1696036284.3198717,4.884819079,1696036279.4395692,1696036284.318259,4.878687458,1696036279.4451568,1696036284.3181798,4.872765637
15-000000114471,1696036284.3203454,1696036289.206893,4.886543826,1696036284.326344,1696036289.2052517,4.878905063,1696036284.3326,1696036289.205159,4.872296288
16-000000027473,1696036289.2073982,1696036294.116486,4.909085412,1696036289.213109,1696036294.1147919,4.90168031,1696036289.2193735,1696036294.1147125,4.895077766
17-000000020717,1696036294.116909,1696036299.015057,4.898144746,1696036294.1206498,1696036299.0135455,4.892892128,1696036294.1251063,1696036299.0134628,4.888085051
18-000000033030,1696036299.0157502,1696036303.9160895,4.900336807,1696036299.0221074,1696036303.914431,4.892320762,1696036299.0288863,1696036303.9143438,4.885174758
19-000000569105,1696036303.9164934,1696036308.8835163,4.967019607,1696036303.9208415,1696036308.8817716,4.96092638,1696036303.927017,1696036308.8816884,4.954405342
20-000000568423,1696036308.8838718,1696036313.8268273,4.9429528,1696036308.8869178,1696036313.8252995,4.938379142,1696036308.8911042,1696036313.8252227,4.933851235
21-000000219090,1696036313.8272169,1696036318.7467873,4.919566827,1696036313.8351572,1696036318.744901,4.909741245,1696036313.8405006,1696036318.7448132,4.904049926
22-000000020503,1696036318.7472134,1696036323.6712635,4.924047321,1696036318.7563863,1696036323.6696692,4.913280471,1696036318.7612317,1696036323.6695902,4.908097385
23-000000576217,1696036323.6717987,1696036328.5669522,4.895150058,1696036323.6759574,1696036328.565301,4.889341053,1696036323.680496,1696036328.5651965,4.884429809
24-000000105659,1696036328.5673141,1696036333.456291,4.88897415,1696036328.5709696,1696036333.454768,4.883794823,1696036328.5754688,1696036333.4546885,4.878956676
25-000000560759,1696036333.4566727,1696036338.376891,4.920215251,1696036333.4623487,1696036338.37533,4.912978389,1696036333.4666572,1696036338.3752534,4.908336681
26-000000571463,1696036338.3774474,1696036343.3011043,4.923653823,1696036338.3822544,1696036343.2995496,4.917292642,1696036338.3871996,1696036343.2994628,4.911969805
27-000000579670,1696036343.3014936,1696036348.2880366,4.986540384,1696036343.3087826,1696036348.2864914,4.977706232,1696036343.3140316,1696036348.286415,4.972114622
28-000000576965,1696036348.2886167,1696036353.2454813,4.956861618,1696036348.2933865,1696036353.2439454,4.950556574,1696036348.2990909,1696036353.2438555,4.944493719
29-000000574730,1696036353.245867,1696036358.243181,4.997311147,1696036353.2505083,1696036358.241419,4.990907653,1696036353.254587,1696036358.2413328,4.986477452
