id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
0-000000000178,1696038190.6329634,1696038191.3036473,0.670680706,1696038190.6459517,1696038191.3018556,0.65590065,1696038190.6559439,1696038191.3016894,0.645553769
1-000000000001,1696038191.304135,1696038191.9257722,0.621589926,1696038191.3073492,1696038191.9241118,0.61675951,1696038191.3116598,1696038191.9240346,0.612166903
2-000000000276,1696038191.9261842,1696038192.5276628,0.601475985,1696038191.9294899,1696038192.526069,0.596576715,1696038191.933538,1696038192.5260112,0.592278925
3-000000000549,1696038192.5280986,1696038193.1373897,0.609286686,1696038192.5541744,1696038193.1356711,0.581493773,1696038192.558844,1696038193.135592,0.576550205
4-000000000718,1696038193.1378384,1696038193.735051,0.597209492,1696038193.1413577,1696038193.7334294,0.592069486,1696038193.1450253,1696038193.733372,0.588154398
5-000000011517,1696038193.7356086,1696038194.3268461,0.591234129,1696038193.7393227,1696038194.3252015,0.585876142,1696038193.7441275,1696038194.3251216,0.580792667
6-000000000570,1696038194.3274214,1696038195.024633,0.697208066,1696038194.3313096,1696038195.0229154,0.691603428,1696038194.3397033,1696038195.022828,0.682922413
7-000000000694,1696038195.0251024,1696038195.6205823,0.595477229,1696038195.0290406,1696038195.6190195,0.589975978,1696038195.0337603,1696038195.6189406,0.584985998
8-000000000771,1696038195.621023,1696038196.2207108,0.599684079,1696038195.6245897,1696038196.2190046,0.594411988,1696038195.6290731,1696038196.2189462,0.589676622
9-000000001371,1696038196.2212226,1696038196.8192177,0.597992137,1696038196.2246885,1696038196.8176064,0.592915539,1696038196.2301989,1696038196.8175468,0.587143999
10-000000007242,1696038196.8196065,1696038197.418986,0.599376165,1696038196.82397,1696038197.4172852,0.593312531,1696038196.8278518,1696038197.417138,0.589095294
11-000000012287,1696038197.419851,1696038198.0297678,0.609914026,1696038197.4252195,1696038198.0276124,0.602389902,1696038197.4294276,1696038198.027525,0.597901813
12-000000018852,1696038198.0303948,1696038198.6257236,0.595325188,1696038198.0352457,1696038198.6240692,0.588820571,1696038198.0394428,1696038198.6239865,0.584341471
13-000000000535,1696038198.626524,1696038199.2430024,0.616474934,1696038198.6363745,1696038199.2413957,0.605017879,1696038198.6428206,1696038199.2413254,0.598297736
14-000000020674,1696038199.243432,1696038199.8375204,0.594084708,1696038199.2474895,1696038199.8354783,0.587986406,1696038199.252206,1696038199.8354127,0.583007764
15-000000114471,1696038199.8392005,1696038200.4561,0.61689594,1696038199.8434992,1696038200.4420633,0.598561651,1696038199.8489609,1696038200.441984,0.592822916
16-000000027473,1696038200.456499,1696038201.0671892,0.610687359,1696038200.461754,1696038201.065629,0.603872275,1696038200.4671035,1696038201.0655673,0.598263965
17-000000020717,1696038201.0675988,1696038201.6754282,0.607825359,1696038201.0723948,1696038201.6738715,0.601474389,1696038201.0763714,1696038201.6738143,0.597237153
18-000000033030,1696038201.675956,1696038202.2874033,0.611444677,1696038201.6799252,1696038202.2858486,0.605920527,1696038201.685871,1696038202.2857563,0.599691215
19-000000569105,1696038202.2878761,1696038202.896086,0.608207051,1696038202.2912536,1696038202.8939621,0.602705962,1696038202.2965903,1696038202.893863,0.597074127
20-000000568423,1696038202.8964148,1696038203.4910946,0.594676653,1696038202.8994358,1696038203.4895794,0.590140786,1696038202.9029753,1696038203.4894977,0.586298867
21-000000219090,1696038203.491652,1696038204.0897481,0.598093063,1696038203.4956179,1696038204.088247,0.592625876,1696038203.5000858,1696038204.0881855,0.587898734
22-000000020503,1696038204.0902421,1696038204.7057114,0.615466423,1696038204.0942981,1696038204.7040179,0.609717254,1696038204.098509,1696038204.7039351,0.605206621
23-000000576217,1696038204.706319,1696038205.311047,0.604725471,1696038204.7153008,1696038205.3095458,0.594242436,1696038204.7191005,1696038205.309489,0.590192072
24-000000105659,1696038205.3113902,1696038205.9131978,0.601804012,1696038205.316035,1696038205.9114575,0.595420327,1696038205.3198256,1696038205.911406,0.591384824
25-000000560759,1696038205.913566,1696038206.5191846,0.605615324,1696038205.9176278,1696038206.5174403,0.599809761,1696038205.9212854,1696038206.5173817,0.59589681
26-000000571463,1696038206.519562,1696038207.1159492,0.59638409,1696038206.5237324,1696038207.1142738,0.590538538,1696038206.5283551,1696038207.1141973,0.585628277
27-000000579670,1696038207.1163065,1696038207.712474,0.596165109,1696038207.1203322,1696038207.7107828,0.590447822,1696038207.1247637,1696038207.7107027,0.58573816
28-000000576965,1696038207.7134879,1696038208.3109984,0.597507153,1696038207.7173982,1696038208.3094163,0.592014547,1696038207.7224548,1696038208.309333,0.586679258
29-000000574730,1696038208.3113918,1696038208.9171536,0.605758016,1696038208.3163614,1696038208.9150078,0.598643603,1696038208.3199365,1696038208.914919,0.594788222
