id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
0-000000000178,1696039287.3896973,1696039291.7578037,4.368103563,1696039287.4006252,1696039291.7380047,4.337375533,1696039287.4133217,1696039291.6750228,4.261449339
1-000000000001,1696039291.7582767,1696039295.947728,4.18944654,1696039291.7658057,1696039295.9280236,4.162212753,1696039291.770835,1696039295.8663614,4.095271148
2-000000000276,1696039295.9481292,1696039299.847169,3.899036757,1696039295.9519618,1696039299.8278615,3.87589507,1696039295.956719,1696039299.7638738,3.80689629
3-000000000549,1696039299.8475528,1696039303.795407,3.947851268,1696039299.8540745,1696039303.7765627,3.922484448,1696039299.8595023,1696039303.7182493,3.858490906
4-000000000718,1696039303.795755,1696039307.6895328,3.893774988,1696039303.801195,1696039307.6708348,3.869635149,1696039303.805542,1696039307.589857,3.784052012
5-000000011517,1696039307.6899073,1696039311.5857334,3.89582336,1696039307.6935585,1696039311.5663648,3.872801982,1696039307.6989152,1696039311.5038242,3.804653997
6-000000000570,1696039311.5863194,1696039316.2631652,4.676842667,1696039311.592657,1696039316.23844,4.645778635,1696039311.6021044,1696039316.1516376,4.549271048
7-000000000694,1696039316.2635992,1696039320.1601284,3.89652601,1696039316.267404,1696039320.1411207,3.873712729,1696039316.2730818,1696039320.0775032,3.804169336
8-000000000771,1696039320.1604764,1696039324.0701144,3.909635183,1696039320.1654902,1696039324.0507293,3.885234478,1696039320.1703804,1696039323.9885554,3.817897421
9-000000001371,1696039324.0705376,1696039327.977809,3.90726867,1696039324.076306,1696039327.9588017,3.882491548,1696039324.08257,1696039327.882215,3.79938448
10-000000007242,1696039327.9782102,1696039331.8644407,3.886227201,1696039327.9816182,1696039331.8451293,3.863507497,1696039327.9862232,1696039331.7901802,3.803643172
11-000000012287,1696039331.864796,1696039335.7217052,3.856906075,1696039331.8681455,1696039335.7023182,3.834168436,1696039331.873132,1696039335.644442,3.77105463
12-000000018852,1696039335.7224867,1696039339.59792,3.875430217,1696039335.7277637,1696039339.578729,3.850961181,1696039335.7328224,1696039339.5235593,3.790484322
13-000000000535,1696039339.5985713,1696039343.4803987,3.881824195,1696039339.6022062,1696039343.4618657,3.859655557,1696039339.6096082,1696039343.4032812,3.79341373
14-000000020674,1696039343.4811182,1696039347.3913996,3.910278046,1696039343.4858696,1696039347.373003,3.887128752,1696039343.4914906,1696039347.2952871,3.803539643
15-000000114471,1696039347.3918123,1696039351.2856367,3.893821179,1696039347.396718,1696039351.2668793,3.870157121,1696039347.40306,1696039351.2111583,3.807838746
16-000000027473,1696039351.286126,1696039355.1634355,3.877306168,1696039351.2925994,1696039355.1451108,3.852507282,1696039351.2989357,1696039355.0900176,3.790821522
17-000000020717,1696039355.1639872,1696039359.0346737,3.87068354,1696039355.1678057,1696039359.0165153,3.848705103,1696039355.1721501,1696039358.964334,3.791931595
18-000000033030,1696039359.0351737,1696039362.9261084,3.890931809,1696039359.0406382,1696039362.9081585,3.86751623,1696039359.047387,1696039362.856199,3.808554102
19-000000569105,1696039362.926708,1696039366.829303,3.902591335,1696039362.9321983,1696039366.8108149,3.878612083,1696039362.9384198,1696039366.7377589,3.799044586
20-000000568423,1696039366.8296804,1696039370.72433,3.894646341,1696039366.8355126,1696039370.7063684,3.870840348,1696039366.8398032,1696039370.6514344,3.811374083
21-000000219090,1696039370.7258053,1696039374.5946927,3.868884235,1696039370.7310717,1696039374.576349,3.84527282,1696039370.7363372,1696039374.5214076,3.784808865
22-000000020503,1696039374.5950782,1696039378.461248,3.866166605,1696039374.6005538,1696039378.4434578,3.842900188,1696039374.605362,1696039378.390555,3.784935799
23-000000576217,1696039378.4616363,1696039382.338612,3.876972717,1696039378.4667168,1696039382.320377,3.853656935,1696039378.4712873,1696039382.2678812,3.796339773
24-000000105659,1696039382.3391106,1696039386.2460032,3.906889615,1696039382.345822,1696039386.2282462,3.882419718,1696039382.3505087,1696039386.1540937,3.803312784
25-000000560759,1696039386.2465594,1696039390.1236372,3.877074718,1696039386.2501907,1696039390.105684,3.855489578,1696039386.2545037,1696039390.055632,3.800871697
26-000000571463,1696039390.1240335,1696039394.0096579,3.885621088,1696039390.1324809,1696039393.9920247,3.859539177,1696039390.1374364,1696039393.9373486,3.799657403
27-000000579670,1696039394.0100408,1696039397.8987145,3.888670921,1696039394.0175726,1696039397.87982,3.862243134,1696039394.0226862,1696039397.8267672,3.803822755
28-000000576965,1696039397.8991973,1696039401.7756083,3.876407375,1696039397.9109719,1696039401.7579982,3.847022581,1696039397.9165604,1696039401.706987,3.790167002
29-000000574730,1696039401.7759595,1696039405.683571,3.907608497,1696039401.7789836,1696039405.6654966,3.886508965,1696039401.78305,1696039405.5911524,3.807841487
