id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
0-000000000178,1696039886.5407348,1696039886.9753203,0.434583303,1696039886.548675,1696039886.9700785,0.421400005,1696039886.5615008,1696039886.9569929,0.395210773
1-000000000001,1696039886.9759135,1696039887.3770814,0.401165534,1696039886.9792602,1696039887.371671,0.39240018,1696039886.9841375,1696039887.3546855,0.370276857
2-000000000276,1696039887.3774548,1696039887.772667,0.395209104,1696039887.380574,1696039887.7676585,0.387080686,1696039887.38521,1696039887.7522097,0.366738296
3-000000000549,1696039887.7733817,1696039888.1759179,0.402533062,1696039887.7780483,1696039888.170401,0.392349412,1696039887.783241,1696039888.1541994,0.3706945
4-000000000718,1696039888.1763003,1696039888.584337,0.408033688,1696039888.1795602,1696039888.5790212,0.399457355,1696039888.183871,1696039888.564609,0.380480209
5-000000011517,1696039888.5849435,1696039888.9855216,0.400575227,1696039888.5885093,1696039888.980202,0.391689175,1696039888.5937579,1696039888.9653118,0.371282534
6-000000000570,1696039888.9863422,1696039889.4538536,0.467507349,1696039888.9906855,1696039889.447567,0.456877617,1696039888.999732,1696039889.4293566,0.429339584
7-000000000694,1696039889.4544213,1696039889.8561025,0.401677941,1696039889.4582376,1696039889.8508801,0.392638577,1696039889.4636152,1696039889.8375936,0.373700057
8-000000000771,1696039889.8565423,1696039890.2562172,0.399671067,1696039889.859633,1696039890.2514186,0.391781608,1696039889.8644037,1696039890.2390687,0.374409168
9-000000001371,1696039890.2566357,1696039890.6590347,0.402395188,1696039890.2604544,1696039890.6539013,0.393443602,1696039890.26665,1696039890.641689,0.374764774
10-000000007242,1696039890.6593819,1696039891.0589652,0.39958074,1696039890.6634965,1696039891.0545719,0.391071595,1696039890.6680567,1696039891.0431936,0.374867444
11-000000012287,1696039891.0593367,1696039891.454188,0.394848724,1696039891.062406,1696039891.4496298,0.387219202,1696039891.067055,1696039891.4383557,0.371039696
12-000000018852,1696039891.4546056,1696039891.8514075,0.396798509,1696039891.457408,1696039891.8462155,0.388804163,1696039891.4623704,1696039891.835005,0.372353367
13-000000000535,1696039891.8520634,1696039892.2531364,0.401069486,1696039891.8570013,1696039892.248192,0.391187479,1696039891.8642032,1696039892.2358365,0.371360285
14-000000020674,1696039892.2536423,1696039892.6521204,0.398474942,1696039892.2570865,1696039892.646898,0.389808072,1696039892.2624252,1696039892.6349587,0.372267222
15-000000114471,1696039892.652574,1696039893.0523582,0.399781681,1696039892.6562426,1696039893.047655,0.391408433,1696039892.6623013,1696039893.034942,0.372367271
16-000000027473,1696039893.0529287,1696039893.4492857,0.396353159,1696039893.0569196,1696039893.4441073,0.387183707,1696039893.0628972,1696039893.4328187,0.369654946
17-000000020717,1696039893.4497206,1696039893.850194,0.400470014,1696039893.453559,1696039893.8448563,0.391293616,1696039893.4578304,1696039893.8330116,0.374910662
18-000000033030,1696039893.8507788,1696039894.250652,0.399870532,1696039893.8544097,1696039894.245727,0.391313664,1696039893.8609083,1696039894.233888,0.372683106
19-000000569105,1696039894.2511358,1696039894.6650455,0.413906706,1696039894.2544913,1696039894.6596138,0.40511852,1696039894.2604234,1696039894.6322277,0.371532955
20-000000568423,1696039894.665478,1696039895.0612566,0.395775879,1696039894.6714053,1696039895.0559943,0.384584963,1696039894.675636,1696039895.0452003,0.369280986
21-000000219090,1696039895.0616925,1696039895.461683,0.399987206,1696039895.0660963,1696039895.456603,0.39050242,1696039895.0712247,1696039895.444548,0.373054462
22-000000020503,1696039895.462553,1696039895.8578985,0.395342722,1696039895.4666114,1696039895.8532686,0.386653429,1696039895.4713998,1696039895.8424256,0.370757516
23-000000576217,1696039895.8582659,1696039896.2561085,0.397839468,1696039895.8614008,1696039896.2514718,0.390067265,1696039895.865804,1696039896.2398698,0.373801347
24-000000105659,1696039896.256462,1696039896.6665611,0.410096165,1696039896.263156,1696039896.6616676,0.398507685,1696039896.2675555,1696039896.6508474,0.383010052
25-000000560759,1696039896.666909,1696039897.0671747,0.40026263,1696039896.6706774,1696039897.0621407,0.391459084,1696039896.674897,1696039897.0504873,0.375317945
26-000000571463,1696039897.0675495,1696039897.465344,0.397790741,1696039897.0709696,1696039897.4599812,0.389007372,1696039897.0760238,1696039897.4491854,0.372897408
27-000000579670,1696039897.465753,1696039897.8678236,0.402067497,1696039897.4700713,1696039897.8627996,0.392724499,1696039897.4752367,1696039897.8501391,0.374633454
28-000000576965,1696039897.8689857,1696039898.2684486,0.399459547,1696039897.873103,1696039898.263272,0.390164919,1696039897.8786714,1696039898.2522652,0.373324135
29-000000574730,1696039898.269028,1696039898.672921,0.403889131,1696039898.273549,1696039898.6679537,0.394401045,1696039898.277569,1696039898.656391,0.378534945
