@billedDuration,@duration,@ingestionTime,@initDuration,@maxMemoryUsed/1000 /1000,@memorySize/1000 /1000,@timestamp
6674.0,6673.52,2023-09-24 14:45:25.215,587.7,547,1024,2023-09-24 14:45:16.197
3596.0,3595.59,2023-09-24 14:45:25.215,,550,1024,2023-09-24 14:45:21.955
7177.0,7176.38,2023-09-24 14:45:25.745,596.27,547,1024,2023-09-24 14:45:16.725
3646.0,3645.37,2023-09-24 14:45:25.745,,548,1024,2023-09-24 14:45:22.003
7027.0,7026.52,2023-09-24 14:45:25.565,587.26,546,1024,2023-09-24 14:45:16.555
3722.0,3721.08,2023-09-24 14:45:25.565,,549,1024,2023-09-24 14:45:22.083
5240.0,5239.39,2023-09-24 14:45:17.840,600.88,546,1024,2023-09-24 14:45:14.614
3566.0,3565.66,2023-09-24 14:45:27.392,,548,1024,2023-09-24 14:45:21.936
7806.0,7805.42,2023-09-24 14:45:26.351,582.17,577,1024,2023-09-24 14:45:17.331
3639.0,3638.34,2023-09-24 14:45:26.351,,577,1024,2023-09-24 14:45:21.992
5160.0,5159.34,2023-09-24 14:45:15.870,589.95,547,1024,2023-09-24 14:45:14.525
3602.0,3601.95,2023-09-24 14:45:27.399,,548,1024,2023-09-24 14:45:21.982
7039.0,7038.27,2023-09-24 14:45:25.590,590.04,547,1024,2023-09-24 14:45:16.570
3692.0,3691.16,2023-09-24 14:45:25.590,,549,1024,2023-09-24 14:45:22.050
5481.0,5480.91,2023-09-24 14:45:17.866,596.33,547,1024,2023-09-24 14:45:14.869
4106.0,4105.08,2023-09-24 14:45:27.385,,579,1024,2023-09-24 14:45:22.470
6011.0,6010.58,2023-09-24 14:45:24.397,595.15,547,1024,2023-09-24 14:45:15.387
3630.0,3629.8,2023-09-24 14:45:24.397,,549,1024,2023-09-24 14:45:21.992
5346.0,5345.05,2023-09-24 14:45:15.845,595.98,548,1024,2023-09-24 14:45:14.661
3731.0,3730.7,2023-09-24 14:45:27.383,,549,1024,2023-09-24 14:45:22.095
5318.0,5317.97,2023-09-24 14:45:15.191,584.87,548,1024,2023-09-24 14:45:14.647
3679.0,3678.48,2023-09-24 14:45:27.386,,550,1024,2023-09-24 14:45:22.045
6795.0,6794.81,2023-09-24 14:45:17.876,586.54,547,1024,2023-09-24 14:45:16.187
3689.0,3688.44,2023-09-24 14:45:27.382,,548,1024,2023-09-24 14:45:22.050
6495.0,6494.84,2023-09-24 14:45:16.446,587.61,547,1024,2023-09-24 14:45:15.856
3690.0,3689.18,2023-09-24 14:45:27.382,,550,1024,2023-09-24 14:45:22.052
5078.0,5077.57,2023-09-24 14:45:23.450,578.44,547,1024,2023-09-24 14:45:14.430
3641.0,3640.14,2023-09-24 14:45:23.450,,550,1024,2023-09-24 14:45:22.210
6993.0,6992.52,2023-09-24 14:45:16.784,586.68,547,1024,2023-09-24 14:45:16.520
3638.0,3637.17,2023-09-24 14:45:27.378,,550,1024,2023-09-24 14:45:21.996
6095.0,6094.28,2023-09-24 14:45:18.348,598.72,548,1024,2023-09-24 14:45:15.422
