@billedDuration,@duration,@ingestionTime,@initDuration,@maxMemoryUsed/1000 /1000,@memorySize/1000 /1000,@timestamp
7218.0,7217.09,2023-09-24 14:49:32.935,690.85,571,1024,2023-09-24 14:49:23.916
2998.0,2997.59,2023-09-24 14:49:32.935,,572,1024,2023-09-24 14:49:28.514
5059.0,5058.34,2023-09-24 14:49:21.764,574.71,572,1024,2023-09-24 14:49:21.647
2875.0,2874.72,2023-09-24 14:49:34.542,,573,1024,2023-09-24 14:49:28.398
6996.0,6995.95,2023-09-24 14:49:32.704,639.27,571,1024,2023-09-24 14:49:23.685
2965.0,2964.73,2023-09-24 14:49:32.704,,573,1024,2023-09-24 14:49:28.480
7837.0,7836.62,2023-09-24 14:49:33.664,756.17,572,1024,2023-09-24 14:49:24.645
3091.0,3090.0,2023-09-24 14:49:33.664,,574,1024,2023-09-24 14:49:28.602
5049.0,5048.03,2023-09-24 14:49:23.755,569.96,571,1024,2023-09-24 14:49:21.667
3279.0,3278.48,2023-09-24 14:49:34.541,,603,1024,2023-09-24 14:49:28.799
7149.0,7148.09,2023-09-24 14:49:32.836,648.86,571,1024,2023-09-24 14:49:23.815
2934.0,2933.35,2023-09-24 14:49:32.836,,573,1024,2023-09-24 14:49:28.449
7103.0,7102.05,2023-09-24 14:49:32.799,684.66,570,1024,2023-09-24 14:49:23.779
2882.0,2881.89,2023-09-24 14:49:32.799,,573,1024,2023-09-24 14:49:28.397
7653.0,7652.22,2023-09-24 14:49:33.358,654.27,571,1024,2023-09-24 14:49:24.340
2926.0,2925.3,2023-09-24 14:49:33.358,,574,1024,2023-09-24 14:49:28.439
6580.0,6579.73,2023-09-24 14:49:25.070,672.25,572,1024,2023-09-24 14:49:23.258
2939.0,2938.0,2023-09-24 14:49:34.540,,574,1024,2023-09-24 14:49:28.457
6334.0,6333.42,2023-09-24 14:49:25.130,642.41,572,1024,2023-09-24 14:49:23.032
2970.0,2969.09,2023-09-24 14:49:34.541,,573,1024,2023-09-24 14:49:28.490
6835.0,6834.45,2023-09-24 14:49:32.496,640.15,601,1024,2023-09-24 14:49:23.478
2965.0,2964.53,2023-09-24 14:49:32.496,,601,1024,2023-09-24 14:49:28.481
7513.0,7512.47,2023-09-24 14:49:33.236,657.85,572,1024,2023-09-24 14:49:24.218
2934.0,2933.61,2023-09-24 14:49:33.236,,573,1024,2023-09-24 14:49:28.449
