@billedDuration,@duration,@ingestionTime,@initDuration,@maxMemoryUsed/1000 /1000,@memorySize/1000 /1000,@timestamp
19499.0,19498.77,2023-10-01 01:00:40.802,602.46,998,1024,2023-10-01 01:00:31.782
13963.0,13962.36,2023-10-01 01:00:59.963,,1009,1024,2023-10-01 01:00:50.943
19668.0,19667.86,2023-10-01 01:00:40.963,593.89,998,1024,2023-10-01 01:00:31.951
13019.0,13018.48,2023-10-01 01:00:59.018,,1002,1024,2023-10-01 01:00:49.996
19399.0,19398.14,2023-10-01 01:00:40.691,585.52,998,1024,2023-10-01 01:00:31.669
13233.0,13232.25,2023-10-01 01:00:59.233,,1000,1024,2023-10-01 01:00:50.211
23534.0,23533.06,2023-10-01 01:00:44.829,588.27,998,1024,2023-10-01 01:00:35.816
13265.0,13264.06,2023-10-01 01:00:59.247,,999,1024,2023-10-01 01:00:50.235
20408.0,20407.34,2023-10-01 01:00:41.711,592.78,1007,1024,2023-10-01 01:00:32.693
13248.0,13247.59,2023-10-01 01:00:59.245,,1007,1024,2023-10-01 01:00:50.225
23995.0,23994.15,2023-10-01 01:00:45.298,593.58,999,1024,2023-10-01 01:00:36.278
13345.0,13344.41,2023-10-01 01:00:59.325,,1002,1024,2023-10-01 01:00:50.312
20014.0,20013.98,2023-10-01 01:00:41.397,653.89,998,1024,2023-10-01 01:00:32.375
13224.0,13223.29,2023-10-01 01:00:59.218,,1001,1024,2023-10-01 01:00:50.199
20434.0,20433.07,2023-10-01 01:00:41.889,599.46,998,1024,2023-10-01 01:00:32.869
13116.0,13115.16,2023-10-01 01:00:59.110,,1001,1024,2023-10-01 01:00:50.091
23184.0,23183.62,2023-10-01 01:00:44.501,611.11,999,1024,2023-10-01 01:00:35.475
13258.0,13257.51,2023-10-01 01:00:59.250,,1001,1024,2023-10-01 01:00:50.232
15961.0,15960.37,2023-10-01 01:00:37.254,583.75,998,1024,2023-10-01 01:00:28.234
13029.0,13028.07,2023-10-01 01:00:59.036,,1001,1024,2023-10-01 01:00:50.013
15741.0,15740.79,2023-10-01 01:00:37.032,600.25,1000,1024,2023-10-01 01:00:28.003
13353.0,13352.86,2023-10-01 01:00:59.361,,1001,1024,2023-10-01 01:00:50.342
23772.0,23771.33,2023-10-01 01:00:45.055,594.49,998,1024,2023-10-01 01:00:36.039
13300.0,13299.18,2023-10-01 01:00:59.271,,1002,1024,2023-10-01 01:00:50.269
23223.0,23222.52,2023-10-01 01:00:44.506,585.48,997,1024,2023-10-01 01:00:35.487
13154.0,13153.34,2023-10-01 01:00:59.143,,1000,1024,2023-10-01 01:00:50.128
23327.0,23326.23,2023-10-01 01:00:44.628,594.11,999,1024,2023-10-01 01:00:35.607
13416.0,13415.34,2023-10-01 01:00:59.407,,1000,1024,2023-10-01 01:00:50.387
23056.0,23055.77,2023-10-01 01:00:44.418,595.56,998,1024,2023-10-01 01:00:35.324
13190.0,13189.5,2023-10-01 01:00:59.225,,1001,1024,2023-10-01 01:00:50.166
19514.0,19513.87,2023-10-01 01:00:40.794,584.3,998,1024,2023-10-01 01:00:31.783
13369.0,13368.1,2023-10-01 01:00:59.366,,1000,1024,2023-10-01 01:00:50.346
19296.0,19295.62,2023-10-01 01:00:40.588,583.34,998,1024,2023-10-01 01:00:31.567
13101.0,13100.83,2023-10-01 01:00:59.094,,1001,1024,2023-10-01 01:00:50.082
23100.0,23099.91,2023-10-01 01:00:44.404,598.46,998,1024,2023-10-01 01:00:35.387
13042.0,13041.28,2023-10-01 01:00:59.030,,1000,1024,2023-10-01 01:00:50.018
23625.0,23624.82,2023-10-01 01:00:44.941,608.59,998,1024,2023-10-01 01:00:35.919
13013.0,13012.08,2023-10-01 01:00:59.004,,1001,1024,2023-10-01 01:00:49.983
19727.0,19726.64,2023-10-01 01:00:41.021,588.18,999,1024,2023-10-01 01:00:31.999
13139.0,13138.9,2023-10-01 01:00:59.142,,999,1024,2023-10-01 01:00:50.118
19308.0,19307.18,2023-10-01 01:00:40.596,584.28,999,1024,2023-10-01 01:00:31.575
13010.0,13009.32,2023-10-01 01:00:59.009,,1001,1024,2023-10-01 01:00:49.990
19789.0,19788.2,2023-10-01 01:00:41.097,610.97,999,1024,2023-10-01 01:00:32.076
13244.0,13243.26,2023-10-01 01:00:59.239,,1000,1024,2023-10-01 01:00:50.220
20219.0,20218.98,2023-10-01 01:00:41.643,584.11,997,1024,2023-10-01 01:00:32.623
13460.0,13459.24,2023-10-01 01:00:59.448,,1000,1024,2023-10-01 01:00:50.437
19571.0,19570.47,2023-10-01 01:00:40.869,587.79,999,1024,2023-10-01 01:00:31.847
12999.0,12998.86,2023-10-01 01:00:58.987,,1001,1024,2023-10-01 01:00:49.979
23189.0,23188.48,2023-10-01 01:00:44.488,601.26,998,1024,2023-10-01 01:00:35.470
13093.0,13092.73,2023-10-01 01:00:59.088,,1000,1024,2023-10-01 01:00:50.067
15494.0,15493.36,2023-10-01 01:00:36.771,572.79,998,1024,2023-10-01 01:00:27.758
13062.0,13061.64,2023-10-01 01:00:59.266,,1003,1024,2023-10-01 01:00:50.244
23208.0,23207.81,2023-10-01 01:00:44.500,587.33,997,1024,2023-10-01 01:00:35.480
13083.0,13082.57,2023-10-01 01:00:59.067,,1000,1024,2023-10-01 01:00:50.055
15547.0,15546.62,2023-10-01 01:00:36.830,582.16,998,1024,2023-10-01 01:00:27.812
13140.0,13139.24,2023-10-01 01:00:59.150,,1001,1024,2023-10-01 01:00:50.130
19699.0,19698.45,2023-10-01 01:00:41.114,578.24,998,1024,2023-10-01 01:00:32.095
13198.0,13197.55,2023-10-01 01:00:59.197,,999,1024,2023-10-01 01:00:50.176
16018.0,16017.31,2023-10-01 01:00:37.459,597.64,998,1024,2023-10-01 01:00:28.438
12979.0,12978.71,2023-10-01 01:00:58.984,,1002,1024,2023-10-01 01:00:49.962
11960.0,11959.14,2023-09-24 14:47:52.645,568.76,1000,2048,2023-09-24 14:47:43.625
6653.0,6652.38,2023-09-24 14:47:52.645,,1000,2048,2023-09-24 14:47:52.486
11706.0,11705.49,2023-09-24 14:47:52.599,566.52,998,2048,2023-09-24 14:47:43.577
6578.0,6577.56,2023-09-24 14:47:52.599,,1000,2048,2023-09-24 14:47:52.411
12859.0,12858.8,2023-09-24 14:47:53.731,582.59,998,2048,2023-09-24 14:47:44.713
6580.0,6579.29,2023-09-24 14:47:53.731,,999,2048,2023-09-24 14:47:52.410
10847.0,10846.39,2023-09-24 14:47:51.521,557.61,998,2048,2023-09-24 14:47:42.502
6486.0,6485.23,2023-09-24 14:48:01.342,,1001,2048,2023-09-24 14:47:52.326
11021.0,11020.01,2023-09-24 14:47:51.794,563.4,999,2048,2023-09-24 14:47:42.769
6626.0,6625.74,2023-09-24 14:48:01.481,,1000,2048,2023-09-24 14:47:52.465
10243.0,10242.73,2023-09-24 14:47:51.016,560.01,998,2048,2023-09-24 14:47:41.987
6526.0,6525.15,2023-09-24 14:48:01.391,,1000,2048,2023-09-24 14:47:52.372
11584.0,11583.62,2023-09-24 14:47:52.483,561.51,999,2048,2023-09-24 14:47:43.456
6942.0,6941.61,2023-09-24 14:48:01.795,,1008,2048,2023-09-24 14:47:52.776
11447.0,11446.8,2023-09-24 14:47:52.345,574.06,999,2048,2023-09-24 14:47:43.325
6568.0,6567.87,2023-09-24 14:48:01.419,,1001,2048,2023-09-24 14:47:52.402
10639.0,10638.99,2023-09-24 14:47:51.528,561.69,998,2048,2023-09-24 14:47:42.500
6678.0,6677.56,2023-09-24 14:48:01.535,,1000,2048,2023-09-24 14:47:52.516
10404.0,10403.0,2023-09-24 14:47:51.188,572.26,998,2048,2023-09-24 14:47:42.163
6593.0,6592.78,2023-09-24 14:48:01.452,,998,2048,2023-09-24 14:47:52.433
10408.0,10407.31,2023-09-24 14:47:51.128,575.08,999,2048,2023-09-24 14:47:42.109
6543.0,6542.64,2023-09-24 14:48:01.406,,1000,2048,2023-09-24 14:47:52.385
13152.0,13151.21,2023-09-24 14:47:54.042,560.16,998,2048,2023-09-24 14:47:45.023
6533.0,6532.57,2023-09-24 14:47:54.042,,998,2048,2023-09-24 14:47:52.361
11174.0,11173.17,2023-09-24 14:47:52.082,577.29,998,2048,2023-09-24 14:47:43.060
6547.0,6546.18,2023-09-24 14:48:01.404,,998,2048,2023-09-24 14:47:52.385
10439.0,10438.49,2023-09-24 14:47:51.309,577.63,998,2048,2023-09-24 14:47:42.283
6617.0,6616.39,2023-09-24 14:48:01.477,,999,2048,2023-09-24 14:47:52.457
12186.0,12185.89,2023-09-24 14:47:52.976,581.76,998,2048,2023-09-24 14:47:43.960
6581.0,6580.4,2023-09-24 14:47:52.976,,999,2048,2023-09-24 14:47:52.414
11188.0,11187.45,2023-09-24 14:47:51.892,577.05,1007,2048,2023-09-24 14:47:42.863
6564.0,6563.33,2023-09-24 14:48:01.421,,1007,2048,2023-09-24 14:47:52.401
10439.0,10438.47,2023-09-24 14:47:51.204,562.87,998,2048,2023-09-24 14:47:42.185
6575.0,6574.66,2023-09-24 14:48:01.435,,1001,2048,2023-09-24 14:47:52.415
11059.0,11058.37,2023-09-24 14:47:51.924,565.15,999,2048,2023-09-24 14:47:42.898
6665.0,6664.71,2023-09-24 14:48:01.522,,1000,2048,2023-09-24 14:47:52.503
11223.0,11222.61,2023-09-24 14:47:52.102,555.36,998,2048,2023-09-24 14:47:43.078
6531.0,6530.61,2023-09-24 14:48:01.387,,999,2048,2023-09-24 14:47:52.368
10843.0,10842.85,2023-09-24 14:47:51.537,566.41,998,2048,2023-09-24 14:47:42.508
6627.0,6626.53,2023-09-24 14:48:01.483,,1000,2048,2023-09-24 14:47:52.465
10571.0,10570.53,2023-09-24 14:47:51.468,576.92,998,2048,2023-09-24 14:47:42.448
6588.0,6587.03,2023-09-24 14:48:01.450,,999,2048,2023-09-24 14:47:52.429
11343.0,11342.27,2023-09-24 14:47:52.238,564.07,999,2048,2023-09-24 14:47:43.209
6589.0,6588.61,2023-09-24 14:48:01.444,,999,2048,2023-09-24 14:47:52.426
12730.0,12729.99,2023-09-24 14:47:53.594,579.7,998,2048,2023-09-24 14:47:44.577
6660.0,6659.13,2023-09-24 14:47:53.594,,998,2048,2023-09-24 14:47:52.493
10951.0,10950.16,2023-09-24 14:47:51.833,565.32,998,2048,2023-09-24 14:47:42.814
6540.0,6539.94,2023-09-24 14:48:01.415,,1000,2048,2023-09-24 14:47:52.378
10497.0,10496.03,2023-09-24 14:47:51.378,570.96,998,2048,2023-09-24 14:47:42.343
6634.0,6633.0,2023-09-24 14:48:01.488,,998,2048,2023-09-24 14:47:52.472
11353.0,11352.38,2023-09-24 14:47:52.244,557.32,998,2048,2023-09-24 14:47:43.220
6509.0,6508.9,2023-09-24 14:48:01.368,,1000,2048,2023-09-24 14:47:52.345
12931.0,12930.19,2023-09-24 14:47:53.822,568.72,998,2048,2023-09-24 14:47:44.801
6618.0,6617.71,2023-09-24 14:47:53.822,,998,2048,2023-09-24 14:47:52.446
10395.0,10394.6,2023-09-24 14:47:51.143,567.67,999,2048,2023-09-24 14:47:42.121
6589.0,6588.89,2023-09-24 14:48:01.450,,999,2048,2023-09-24 14:47:52.431
11811.0,11810.76,2023-09-24 14:47:52.514,566.28,999,2048,2023-09-24 14:47:43.499
6626.0,6625.78,2023-09-24 14:47:52.514,,1000,2048,2023-09-24 14:47:52.460
11599.0,11598.69,2023-09-24 14:47:52.497,578.27,998,2048,2023-09-24 14:47:43.481
6573.0,6572.57,2023-09-24 14:47:52.497,,999,2048,2023-09-24 14:47:52.406
