@billedDuration,@duration,@ingestionTime,@initDuration,@maxMemoryUsed/1000 /1000,@memorySize/1000 /1000,@timestamp
16429.0,16428.3,2023-10-01 01:01:19.097,678.08,1024,1024,2023-10-01 01:01:10.075
10081.0,10080.05,2023-10-01 01:01:32.272,,1024,1024,2023-10-01 01:01:23.252
15122.0,15121.24,2023-10-01 01:01:17.781,569.61,1024,1024,2023-10-01 01:01:08.760
9807.0,9806.37,2023-10-01 01:01:31.998,,1024,1024,2023-10-01 01:01:22.980
16692.0,16691.5,2023-10-01 01:01:19.375,667.82,1024,1024,2023-10-01 01:01:10.355
9685.0,9684.46,2023-10-01 01:01:31.876,,1024,1024,2023-10-01 01:01:22.857
17190.0,17189.12,2023-10-01 01:01:19.887,690.27,1024,1024,2023-10-01 01:01:10.865
10055.0,10054.3,2023-10-01 01:01:32.244,,1024,1024,2023-10-01 01:01:23.225
14144.0,14143.52,2023-10-01 01:01:16.689,556.67,1024,1024,2023-10-01 01:01:07.669
9673.0,9672.8,2023-10-01 01:01:31.866,,1024,1024,2023-10-01 01:01:22.850
16609.0,16608.94,2023-10-01 01:01:19.267,676.13,1024,1024,2023-10-01 01:01:10.246
10092.0,10091.43,2023-10-01 01:01:32.287,,1024,1024,2023-10-01 01:01:23.264
12580.0,12579.65,2023-10-01 01:01:15.155,602.14,1024,1024,2023-10-01 01:01:06.134
9789.0,9788.92,2023-10-01 01:01:31.988,,1024,1024,2023-10-01 01:01:22.969
18318.0,18317.13,2023-10-01 01:01:20.967,649.66,1024,1024,2023-10-01 01:01:11.944
10032.0,10031.44,2023-10-01 01:01:32.219,,1024,1024,2023-10-01 01:01:23.198
17967.0,17966.12,2023-10-01 01:01:20.605,669.15,1024,1024,2023-10-01 01:01:11.590
9895.0,9894.67,2023-10-01 01:01:32.076,,1024,1024,2023-10-01 01:01:23.065
17391.0,17390.4,2023-10-01 01:01:21.500,2089.7,1024,1024,2023-10-01 01:01:12.465
9659.0,9658.53,2023-10-01 01:01:31.842,,1024,1024,2023-10-01 01:01:22.822
17329.0,17328.21,2023-10-01 01:01:19.960,650.24,1024,1024,2023-10-01 01:01:10.948
9787.0,9786.55,2023-10-01 01:01:31.979,,1024,1024,2023-10-01 01:01:22.959
13475.0,13474.43,2023-10-01 01:01:16.114,658.48,1024,1024,2023-10-01 01:01:07.096
9986.0,9985.86,2023-10-01 01:01:32.187,,1024,1024,2023-10-01 01:01:23.166
18662.0,18661.93,2023-10-01 01:01:21.330,684.22,1024,1024,2023-10-01 01:01:12.309
9945.0,9944.26,2023-10-01 01:01:32.133,,1024,1024,2023-10-01 01:01:23.111
18322.0,18321.65,2023-10-01 01:01:20.994,675.98,1024,1024,2023-10-01 01:01:11.973
9889.0,9888.36,2023-10-01 01:01:32.148,,1024,1024,2023-10-01 01:01:23.056
17127.0,17126.02,2023-10-01 01:01:19.832,699.74,1024,1024,2023-10-01 01:01:10.812
10039.0,10038.86,2023-10-01 01:01:32.235,,1024,1024,2023-10-01 01:01:23.215
17423.0,17422.27,2023-10-01 01:01:20.225,741.19,1024,1024,2023-10-01 01:01:11.205
9919.0,9918.37,2023-10-01 01:01:32.107,,1024,1024,2023-10-01 01:01:23.088
17144.0,17143.59,2023-10-01 01:01:19.827,671.13,1024,1024,2023-10-01 01:01:10.799
9899.0,9898.43,2023-10-01 01:01:32.099,,1024,1024,2023-10-01 01:01:23.072
17440.0,17439.47,2023-10-01 01:01:20.148,710.41,1024,1024,2023-10-01 01:01:11.135
9866.0,9865.6,2023-10-01 01:01:32.060,,1024,1024,2023-10-01 01:01:23.038
17433.0,17432.17,2023-10-01 01:01:20.128,700.94,1024,1024,2023-10-01 01:01:11.105
9990.0,9989.1,2023-10-01 01:01:32.182,,1024,1024,2023-10-01 01:01:23.161
18160.0,18159.45,2023-10-01 01:01:20.801,662.84,1024,1024,2023-10-01 01:01:11.789
9910.0,9909.67,2023-10-01 01:01:32.099,,1024,1024,2023-10-01 01:01:23.077
14634.0,14633.86,2023-10-01 01:01:17.298,654.91,1024,1024,2023-10-01 01:01:08.275
9657.0,9656.5,2023-10-01 01:01:31.851,,1024,1024,2023-10-01 01:01:22.832
14258.0,14257.77,2023-10-01 01:01:16.913,665.28,1024,1024,2023-10-01 01:01:07.895
9955.0,9955.0,2023-10-01 01:01:32.154,,1024,1024,2023-10-01 01:01:23.131
17993.0,17992.02,2023-10-01 01:01:20.670,564.3,1024,1024,2023-10-01 01:01:11.638
9664.0,9663.7,2023-10-01 01:01:31.855,,1024,1024,2023-10-01 01:01:22.833
15586.0,15585.03,2023-10-01 01:01:18.245,646.12,1024,1024,2023-10-01 01:01:09.222
9873.0,9872.11,2023-10-01 01:01:32.064,,1024,1024,2023-10-01 01:01:23.045
17294.0,17293.51,2023-10-01 01:01:20.000,680.25,1024,1024,2023-10-01 01:01:10.962
9755.0,9754.83,2023-10-01 01:01:31.944,,1024,1024,2023-10-01 01:01:22.924
15922.0,15921.14,2023-10-01 01:01:18.600,641.85,1024,1024,2023-10-01 01:01:09.586
9580.0,9579.08,2023-10-01 01:01:31.771,,1024,1024,2023-10-01 01:01:22.751
18464.0,18463.16,2023-10-01 01:01:21.190,724.12,1024,1024,2023-10-01 01:01:12.170
10672.0,10671.16,2023-10-01 01:01:32.858,,1024,1024,2023-10-01 01:01:23.838
13815.0,13814.69,2023-10-01 01:01:16.294,653.69,1024,1024,2023-10-01 01:01:07.273
10359.0,10358.97,2023-10-01 01:01:32.552,,1024,1024,2023-10-01 01:01:23.536
17646.0,17645.37,2023-10-01 01:01:20.291,652.95,1024,1024,2023-10-01 01:01:11.271
9858.0,9857.92,2023-10-01 01:01:32.041,,1024,1024,2023-10-01 01:01:23.026
17384.0,17383.14,2023-10-01 01:01:20.066,680.98,1024,1024,2023-10-01 01:01:11.048
10008.0,10007.92,2023-10-01 01:01:32.203,,1024,1024,2023-10-01 01:01:23.183
8003.0,8002.62,2023-09-24 14:51:22.692,685.38,1037,2048,2023-09-24 14:51:13.676
4901.0,4900.14,2023-09-24 14:51:34.164,,1039,2048,2023-09-24 14:51:25.110
7528.0,7527.53,2023-09-24 14:51:22.182,661.38,1039,2048,2023-09-24 14:51:13.158
4662.0,4661.15,2023-09-24 14:51:34.101,,1039,2048,2023-09-24 14:51:25.080
7749.0,7748.38,2023-09-24 14:51:22.406,663.02,1038,2048,2023-09-24 14:51:13.383
4748.0,4747.65,2023-09-24 14:51:33.981,,1039,2048,2023-09-24 14:51:24.958
7961.0,7960.75,2023-09-24 14:51:22.652,635.63,1037,2048,2023-09-24 14:51:13.632
4910.0,4909.52,2023-09-24 14:51:34.137,,1038,2048,2023-09-24 14:51:25.117
