@billedDuration,@duration,@ingestionTime,@initDuration,@maxMemoryUsed/1000 /1000,@memorySize/1000 /1000,@timestamp
5275.0,5274.4,2023-09-24 14:57:29.213,580.3,790,1024,2023-09-24 14:57:28.219
2388.0,2387.16,2023-09-24 14:57:43.018,,792,1024,2023-09-24 14:57:36.384
5165.0,5164.1,2023-09-24 14:57:37.181,580.09,790,1024,2023-09-24 14:57:28.163
2383.0,2382.91,2023-09-24 14:57:37.181,,792,1024,2023-09-24 14:57:36.382
5276.0,5275.19,2023-09-24 14:57:29.702,579.78,789,1024,2023-09-24 14:57:28.408
2369.0,2368.14,2023-09-24 14:57:43.007,,792,1024,2023-09-24 14:57:36.352
10018.0,10017.3,2023-09-24 14:57:42.038,581.16,788,1024,2023-09-24 14:57:33.020
2371.0,2370.88,2023-09-24 14:57:42.038,,791,1024,2023-09-24 14:57:36.340
9924.0,9923.54,2023-09-24 14:57:41.952,577.79,789,1024,2023-09-24 14:57:32.931
2379.0,2378.39,2023-09-24 14:57:41.952,,790,1024,2023-09-24 14:57:36.350
5479.0,5478.11,2023-09-24 14:57:31.474,586.19,790,1024,2023-09-24 14:57:28.483
2360.0,2359.17,2023-09-24 14:57:43.002,,791,1024,2023-09-24 14:57:36.341
5602.0,5601.63,2023-09-24 14:57:37.635,594.88,788,1024,2023-09-24 14:57:28.616
2416.0,2415.77,2023-09-24 14:57:37.635,,790,1024,2023-09-24 14:57:36.394
5930.0,5929.16,2023-09-24 14:57:37.945,588.46,824,1024,2023-09-24 14:57:28.937
2379.0,2378.64,2023-09-24 14:57:37.945,,824,1024,2023-09-24 14:57:36.357
5480.0,5479.07,2023-09-24 14:57:37.649,600.77,789,1024,2023-09-24 14:57:28.629
2369.0,2368.21,2023-09-24 14:57:37.649,,793,1024,2023-09-24 14:57:36.346
5303.0,5302.82,2023-09-24 14:57:29.735,577.0,789,1024,2023-09-24 14:57:28.305
2359.0,2358.18,2023-09-24 14:57:43.011,,792,1024,2023-09-24 14:57:36.346
9596.0,9595.05,2023-09-24 14:57:41.604,586.51,789,1024,2023-09-24 14:57:32.594
2379.0,2378.26,2023-09-24 14:57:41.604,,792,1024,2023-09-24 14:57:36.354
5160.0,5159.69,2023-09-24 14:57:37.188,580.7,789,1024,2023-09-24 14:57:28.168
2388.0,2387.54,2023-09-24 14:57:37.188,,794,1024,2023-09-24 14:57:36.386
5511.0,5510.88,2023-09-24 14:57:37.551,600.12,790,1024,2023-09-24 14:57:28.531
2450.0,2449.65,2023-09-24 14:57:37.551,,792,1024,2023-09-24 14:57:36.430
5262.0,5261.93,2023-09-24 14:57:37.268,570.33,790,1024,2023-09-24 14:57:28.251
2361.0,2360.91,2023-09-24 14:57:37.268,,792,1024,2023-09-24 14:57:36.355
5381.0,5380.45,2023-09-24 14:57:29.885,585.29,789,1024,2023-09-24 14:57:28.385
2414.0,2413.36,2023-09-24 14:57:43.006,,793,1024,2023-09-24 14:57:36.401
5415.0,5414.13,2023-09-24 14:57:37.432,578.6,789,1024,2023-09-24 14:57:28.413
2405.0,2404.07,2023-09-24 14:57:37.432,,793,1024,2023-09-24 14:57:36.386
9560.0,9559.81,2023-09-24 14:57:41.536,588.33,789,1024,2023-09-24 14:57:32.516
2418.0,2417.31,2023-09-24 14:57:41.536,,791,1024,2023-09-24 14:57:36.394
5518.0,5517.12,2023-09-24 14:57:37.533,581.84,790,1024,2023-09-24 14:57:28.515
2376.0,2375.98,2023-09-24 14:57:37.533,,792,1024,2023-09-24 14:57:36.355
5013.0,5012.91,2023-09-24 14:57:37.008,562.49,790,1024,2023-09-24 14:57:27.988
2825.0,2824.97,2023-09-24 14:57:37.008,,829,1024,2023-09-24 14:57:36.831
5294.0,5293.01,2023-09-24 14:57:30.374,582.64,788,1024,2023-09-24 14:57:28.294
2410.0,2409.93,2023-09-24 14:57:43.005,,791,1024,2023-09-24 14:57:36.397
5245.0,5244.45,2023-09-24 14:57:37.276,589.4,789,1024,2023-09-24 14:57:28.255
2437.0,2436.12,2023-09-24 14:57:37.276,,792,1024,2023-09-24 14:57:36.431
5383.0,5382.42,2023-09-24 14:57:37.413,586.92,789,1024,2023-09-24 14:57:28.395
2448.0,2447.27,2023-09-24 14:57:37.413,,792,1024,2023-09-24 14:57:36.433
9857.0,9856.36,2023-09-24 14:57:41.880,580.49,789,1024,2023-09-24 14:57:32.857
2343.0,2342.81,2023-09-24 14:57:41.880,,791,1024,2023-09-24 14:57:36.318
9522.0,9521.54,2023-09-24 14:57:41.504,583.6,789,1024,2023-09-24 14:57:32.483
2360.0,2359.5,2023-09-24 14:57:41.504,,791,1024,2023-09-24 14:57:36.337
9961.0,9960.2,2023-09-24 14:57:41.988,586.15,789,1024,2023-09-24 14:57:32.966
2402.0,2401.56,2023-09-24 14:57:41.988,,791,1024,2023-09-24 14:57:36.374
9779.0,9778.92,2023-09-24 14:57:41.798,581.08,790,1024,2023-09-24 14:57:32.777
2383.0,2382.27,2023-09-24 14:57:41.798,,792,1024,2023-09-24 14:57:36.357
5217.0,5216.56,2023-09-24 14:57:28.381,600.69,789,1024,2023-09-24 14:57:28.238
2398.0,2397.73,2023-09-24 14:57:43.018,,793,1024,2023-09-24 14:57:36.394
5485.0,5484.27,2023-09-24 14:57:37.526,593.5,789,1024,2023-09-24 14:57:28.508
2414.0,2413.18,2023-09-24 14:57:37.526,,794,1024,2023-09-24 14:57:36.393
5290.0,5289.34,2023-09-24 14:57:31.495,577.99,789,1024,2023-09-24 14:57:28.289
2358.0,2357.91,2023-09-24 14:57:43.013,,790,1024,2023-09-24 14:57:36.350
9964.0,9963.98,2023-09-24 14:57:41.991,583.74,789,1024,2023-09-24 14:57:32.971
2374.0,2373.36,2023-09-24 14:57:41.991,,790,1024,2023-09-24 14:57:36.345
3295.0,3294.22,2023-09-24 14:57:51.500,577.33,788,2048,2023-09-24 14:57:42.482
1505.0,1504.51,2023-09-24 14:57:51.500,,829,2048,2023-09-24 14:57:50.572
8857.0,8856.49,2023-09-24 14:57:57.064,580.78,789,2048,2023-09-24 14:57:48.044
1229.0,1228.02,2023-09-24 14:57:57.064,,791,2048,2023-09-24 14:57:50.288
8903.0,8902.15,2023-09-24 14:57:57.111,572.15,788,2048,2023-09-24 14:57:48.088
1232.0,1231.98,2023-09-24 14:57:57.111,,792,2048,2023-09-24 14:57:50.292
8553.0,8552.67,2023-09-24 14:57:56.703,568.35,789,2048,2023-09-24 14:57:47.690
1240.0,1239.45,2023-09-24 14:57:56.703,,791,2048,2023-09-24 14:57:50.302
5422.0,5421.16,2023-09-24 14:57:46.725,567.9,789,2048,2023-09-24 14:57:44.609
1224.0,1223.88,2023-09-24 14:57:58.086,,792,2048,2023-09-24 14:57:50.289
9012.0,9011.73,2023-09-24 14:57:57.227,570.43,790,2048,2023-09-24 14:57:48.208
1236.0,1235.18,2023-09-24 14:57:57.227,,792,2048,2023-09-24 14:57:50.290
3107.0,3106.9,2023-09-24 14:57:51.293,568.11,789,2048,2023-09-24 14:57:42.273
1213.0,1212.78,2023-09-24 14:57:51.293,,791,2048,2023-09-24 14:57:50.280
5254.0,5253.33,2023-09-24 14:57:53.438,559.21,789,2048,2023-09-24 14:57:44.418
1229.0,1228.78,2023-09-24 14:57:53.438,,792,2048,2023-09-24 14:57:50.292
8716.0,8715.19,2023-09-24 14:57:56.922,571.48,790,2048,2023-09-24 14:57:47.901
1224.0,1223.68,2023-09-24 14:57:56.922,,793,2048,2023-09-24 14:57:50.288
2973.0,2972.78,2023-09-24 14:57:42.797,579.43,789,2048,2023-09-24 14:57:42.128
1215.0,1214.66,2023-09-24 14:57:58.090,,792,2048,2023-09-24 14:57:50.290
5131.0,5130.71,2023-09-24 14:57:47.657,576.72,790,2048,2023-09-24 14:57:44.297
1234.0,1233.9,2023-09-24 14:57:58.090,,792,2048,2023-09-24 14:57:50.298
3125.0,3124.83,2023-09-24 14:57:46.369,572.52,789,2048,2023-09-24 14:57:42.283
1267.0,1266.78,2023-09-24 14:57:58.092,,792,2048,2023-09-24 14:57:50.335
8643.0,8642.05,2023-09-24 14:57:56.829,578.62,788,2048,2023-09-24 14:57:47.809
1246.0,1245.78,2023-09-24 14:57:56.829,,792,2048,2023-09-24 14:57:50.310
