@billedDuration,@duration,@ingestionTime,@initDuration,@maxMemoryUsed/1000 /1000,@memorySize/1000 /1000,@timestamp
5255.0,5254.72,2023-09-24 14:59:39.450,687.01,797,1024,2023-09-24 14:59:36.333
2520.0,2519.4,2023-09-24 14:59:50.439,,801,1024,2023-09-24 14:59:43.940
8723.0,8722.48,2023-09-24 14:59:48.876,644.24,797,1024,2023-09-24 14:59:39.854
2412.0,2411.78,2023-09-24 14:59:48.876,,800,1024,2023-09-24 14:59:43.830
4686.0,4685.56,2023-09-24 14:59:44.881,687.8,797,1024,2023-09-24 14:59:35.868
2441.0,2440.94,2023-09-24 14:59:44.881,,800,1024,2023-09-24 14:59:43.866
5104.0,5103.84,2023-09-24 14:59:37.190,650.02,797,1024,2023-09-24 14:59:36.142
2437.0,2436.46,2023-09-24 14:59:50.443,,803,1024,2023-09-24 14:59:43.859
5018.0,5017.51,2023-09-24 14:59:45.094,570.57,797,1024,2023-09-24 14:59:36.075
2492.0,2491.02,2023-09-24 14:59:45.094,,800,1024,2023-09-24 14:59:43.913
9098.0,9097.16,2023-09-24 14:59:49.266,658.06,797,1024,2023-09-24 14:59:40.250
2519.0,2518.0,2023-09-24 14:59:49.266,,800,1024,2023-09-24 14:59:43.932
4372.0,4371.84,2023-09-24 14:59:35.647,636.15,799,1024,2023-09-24 14:59:35.503
2424.0,2423.73,2023-09-24 14:59:50.447,,800,1024,2023-09-24 14:59:43.850
9061.0,9060.21,2023-09-24 14:59:49.252,686.2,799,1024,2023-09-24 14:59:40.239
2395.0,2394.69,2023-09-24 14:59:49.252,,801,1024,2023-09-24 14:59:43.812
4540.0,4539.33,2023-09-24 14:59:36.797,655.75,798,1024,2023-09-24 14:59:35.680
2462.0,2461.7,2023-09-24 14:59:50.446,,802,1024,2023-09-24 14:59:43.885
5215.0,5214.3,2023-09-24 14:59:39.462,663.33,797,1024,2023-09-24 14:59:36.282
2421.0,2420.71,2023-09-24 14:59:50.439,,802,1024,2023-09-24 14:59:43.842
9099.0,9098.53,2023-09-24 14:59:49.271,664.89,797,1024,2023-09-24 14:59:40.250
2452.0,2451.07,2023-09-24 14:59:49.271,,800,1024,2023-09-24 14:59:43.869
4499.0,4498.23,2023-09-24 14:59:44.665,656.94,797,1024,2023-09-24 14:59:35.645
2499.0,2498.85,2023-09-24 14:59:44.665,,801,1024,2023-09-24 14:59:43.922
9120.0,9119.39,2023-09-24 14:59:49.280,653.07,797,1024,2023-09-24 14:59:40.259
