@billedDuration,@duration,@ingestionTime,@initDuration,@maxMemoryUsed/1000 /1000,@memorySize/1000 /1000,@timestamp
5994.0,5993.76,2023-09-24 14:58:50.123,590.16,585,1024,2023-09-24 14:58:47.095
1584.0,1583.11,2023-09-24 14:58:50.123,,586,1024,2023-09-24 14:58:49.678
6091.0,6090.08,2023-09-24 14:58:48.113,597.95,584,1024,2023-09-24 14:58:47.189
1619.0,1618.07,2023-09-24 14:58:57.122,,586,1024,2023-09-24 14:58:49.716
5957.0,5956.05,2023-09-24 14:58:56.050,578.39,585,1024,2023-09-24 14:58:47.030
1570.0,1569.46,2023-09-24 14:58:56.050,,587,1024,2023-09-24 14:58:49.667
3106.0,3105.92,2023-09-24 14:58:53.206,576.8,584,1024,2023-09-24 14:58:44.189
1579.0,1578.25,2023-09-24 14:58:53.206,,586,1024,2023-09-24 14:58:49.688
3426.0,3425.14,2023-09-24 14:58:53.513,573.03,584,1024,2023-09-24 14:58:44.493
1563.0,1562.67,2023-09-24 14:58:53.513,,587,1024,2023-09-24 14:58:49.667
5913.0,5912.17,2023-09-24 14:58:55.997,581.64,584,1024,2023-09-24 14:58:46.979
1600.0,1599.35,2023-09-24 14:58:55.997,,586,1024,2023-09-24 14:58:49.696
3559.0,3558.22,2023-09-24 14:58:53.658,582.46,584,1024,2023-09-24 14:58:44.642
1575.0,1574.67,2023-09-24 14:58:53.658,,585,1024,2023-09-24 14:58:49.675
3533.0,3532.84,2023-09-24 14:58:49.564,563.59,586,1024,2023-09-24 14:58:44.605
1564.0,1563.61,2023-09-24 14:58:58.688,,587,1024,2023-09-24 14:58:49.669
6003.0,6002.87,2023-09-24 14:58:56.121,588.78,585,1024,2023-09-24 14:58:47.101
1562.0,1561.28,2023-09-24 14:58:56.121,,586,1024,2023-09-24 14:58:49.657
5862.0,5861.14,2023-09-24 14:58:55.937,589.89,584,1024,2023-09-24 14:58:46.916
1597.0,1596.47,2023-09-24 14:58:55.937,,586,1024,2023-09-24 14:58:49.696
6088.0,6087.99,2023-09-24 14:58:56.202,590.93,584,1024,2023-09-24 14:58:47.184
1632.0,1631.23,2023-09-24 14:58:56.202,,586,1024,2023-09-24 14:58:49.725
3651.0,3650.02,2023-09-24 14:58:48.210,585.88,584,1024,2023-09-24 14:58:44.733
1608.0,1607.39,2023-09-24 14:58:58.729,,586,1024,2023-09-24 14:58:49.708
5914.0,5913.88,2023-09-24 14:58:48.362,590.06,584,1024,2023-09-24 14:58:46.969
1574.0,1573.43,2023-09-24 14:58:58.695,,586,1024,2023-09-24 14:58:49.674
6117.0,6116.75,2023-09-24 14:58:47.528,595.36,584,1024,2023-09-24 14:58:47.225
