@billedDuration,@duration,@ingestionTime,@initDuration,@maxMemoryUsed/1000 /1000,@memorySize/1000 /1000,@timestamp
5414.0,5413.23,2023-09-24 15:01:05.167,645.25,593,1024,2023-09-24 15:00:56.144
1697.0,1696.97,2023-09-24 15:01:05.167,,594,1024,2023-09-24 15:00:59.991
6450.0,6449.4,2023-09-24 15:00:57.775,764.96,594,1024,2023-09-24 15:00:57.252
1749.0,1748.55,2023-09-24 15:01:07.308,,595,1024,2023-09-24 15:01:00.037
5091.0,5090.73,2023-09-24 15:00:57.857,663.04,593,1024,2023-09-24 15:00:55.850
1737.0,1736.1,2023-09-24 15:01:07.314,,594,1024,2023-09-24 15:01:00.030
4878.0,4877.76,2023-09-24 15:01:04.651,696.63,593,1024,2023-09-24 15:00:55.634
1699.0,1698.83,2023-09-24 15:01:04.651,,594,1024,2023-09-24 15:00:59.994
3739.0,3738.12,2023-09-24 15:01:03.433,636.02,594,1024,2023-09-24 15:00:54.428
1698.0,1697.56,2023-09-24 15:01:03.433,,595,1024,2023-09-24 15:01:00.008
6348.0,6347.22,2023-09-24 15:01:06.080,674.35,593,1024,2023-09-24 15:00:57.062
1739.0,1738.03,2023-09-24 15:01:06.080,,594,1024,2023-09-24 15:01:00.030
5229.0,5228.54,2023-09-24 15:01:05.743,1442.45,593,1024,2023-09-24 15:00:56.723
1750.0,1749.33,2023-09-24 15:01:05.743,,595,1024,2023-09-24 15:01:00.043
4502.0,4501.5,2023-09-24 15:00:59.121,685.37,594,1024,2023-09-24 15:00:55.241
1704.0,1703.46,2023-09-24 15:01:09.020,,595,1024,2023-09-24 15:00:59.999
6381.0,6380.85,2023-09-24 15:00:59.129,757.11,593,1024,2023-09-24 15:00:57.189
1744.0,1743.64,2023-09-24 15:01:09.054,,595,1024,2023-09-24 15:01:00.035
4085.0,4084.78,2023-09-24 15:00:55.598,657.26,593,1024,2023-09-24 15:00:54.794
1717.0,1716.55,2023-09-24 15:01:07.321,,594,1024,2023-09-24 15:01:00.015
4705.0,4704.87,2023-09-24 15:01:04.412,658.29,593,1024,2023-09-24 15:00:55.396
1685.0,1684.6,2023-09-24 15:01:04.412,,594,1024,2023-09-24 15:00:59.982
4907.0,4906.04,2023-09-24 15:00:59.159,563.07,593,1024,2023-09-24 15:00:55.549
1654.0,1653.57,2023-09-24 15:01:08.969,,594,1024,2023-09-24 15:00:59.948
4222.0,4221.95,2023-09-24 15:00:59.098,678.34,594,1024,2023-09-24 15:00:54.934
1720.0,1719.59,2023-09-24 15:01:09.033,,596,1024,2023-09-24 15:01:00.016
6017.0,6016.98,2023-09-24 15:01:05.738,658.5,593,1024,2023-09-24 15:00:56.717
1760.0,1759.26,2023-09-24 15:01:05.738,,594,1024,2023-09-24 15:01:00.054
6533.0,6532.72,2023-09-24 15:01:06.369,728.38,593,1024,2023-09-24 15:00:57.352
1678.0,1677.25,2023-09-24 15:01:06.369,,594,1024,2023-09-24 15:00:59.968
6323.0,6322.12,2023-09-24 15:00:58.030,639.56,593,1024,2023-09-24 15:00:57.010
1667.0,1666.33,2023-09-24 15:01:07.311,,594,1024,2023-09-24 15:00:59.958
5014.0,5013.64,2023-09-24 15:01:04.720,652.36,594,1024,2023-09-24 15:00:55.713
1679.0,1678.69,2023-09-24 15:01:04.720,,595,1024,2023-09-24 15:00:59.973
4220.0,4219.31,2023-09-24 15:00:56.586,637.72,594,1024,2023-09-24 15:00:54.887
1666.0,1665.18,2023-09-24 15:01:07.323,,595,1024,2023-09-24 15:00:59.963
4363.0,4362.22,2023-09-24 15:00:59.733,665.86,594,1024,2023-09-24 15:00:55.076
1685.0,1684.86,2023-09-24 15:01:09.001,,595,1024,2023-09-24 15:00:59.981
4281.0,4280.35,2023-09-24 15:00:55.958,655.97,593,1024,2023-09-24 15:00:54.976
1718.0,1717.66,2023-09-24 15:01:07.319,,596,1024,2023-09-24 15:01:00.018
6082.0,6081.57,2023-09-24 15:01:05.817,636.82,593,1024,2023-09-24 15:00:56.799
1666.0,1665.69,2023-09-24 15:01:05.817,,594,1024,2023-09-24 15:00:59.957
5705.0,5704.59,2023-09-24 15:01:05.402,664.82,592,1024,2023-09-24 15:00:56.383
1683.0,1682.12,2023-09-24 15:01:05.402,,594,1024,2023-09-24 15:00:59.976
5926.0,5925.65,2023-09-24 15:00:57.740,812.04,593,1024,2023-09-24 15:00:56.783
1962.0,1961.97,2023-09-24 15:01:07.314,,622,1024,2023-09-24 15:01:00.256
5923.0,5922.79,2023-09-24 15:01:05.706,664.37,593,1024,2023-09-24 15:00:56.684
1789.0,1788.52,2023-09-24 15:01:05.706,,595,1024,2023-09-24 15:01:00.083
5905.0,5904.32,2023-09-24 15:01:05.660,692.75,621,1024,2023-09-24 15:00:56.646
1745.0,1744.38,2023-09-24 15:01:05.660,,621,1024,2023-09-24 15:01:00.040
5331.0,5330.46,2023-09-24 15:01:05.210,726.47,593,1024,2023-09-24 15:00:56.164
1764.0,1763.19,2023-09-24 15:01:05.210,,594,1024,2023-09-24 15:01:00.057
3893.0,3892.78,2023-09-24 15:01:03.603,650.63,594,1024,2023-09-24 15:00:54.587
1701.0,1700.19,2023-09-24 15:01:03.603,,595,1024,2023-09-24 15:00:59.997
4723.0,4722.4,2023-09-24 15:00:56.007,702.67,594,1024,2023-09-24 15:00:55.462
1709.0,1708.06,2023-09-24 15:01:07.317,,595,1024,2023-09-24 15:01:00.004
4757.0,4756.2,2023-09-24 15:01:04.532,703.74,593,1024,2023-09-24 15:00:55.511
1671.0,1670.19,2023-09-24 15:01:04.532,,594,1024,2023-09-24 15:00:59.969
5099.0,5098.82,2023-09-24 15:00:56.038,671.2,593,1024,2023-09-24 15:00:55.817
1670.0,1669.86,2023-09-24 15:01:07.316,,595,1024,2023-09-24 15:00:59.964
3713.0,3712.03,2023-09-24 15:01:07.728,553.51,593,2048,2023-09-24 15:01:06.629
845.0,844.23,2023-09-24 15:01:18.486,,595,2048,2023-09-24 15:01:10.312
3828.0,3827.15,2023-09-24 15:01:11.417,669.55,593,2048,2023-09-24 15:01:06.848
882.0,881.3,2023-09-24 15:01:11.417,,594,2048,2023-09-24 15:01:10.345
4190.0,4189.25,2023-09-24 15:01:16.194,587.05,593,2048,2023-09-24 15:01:07.127
991.0,990.21,2023-09-24 15:01:16.194,,622,2048,2023-09-24 15:01:10.450
2815.0,2814.55,2023-09-24 15:01:07.882,607.71,594,2048,2023-09-24 15:01:05.770
912.0,911.84,2023-09-24 15:01:18.494,,595,2048,2023-09-24 15:01:10.383
3989.0,3988.91,2023-09-24 15:01:08.086,631.23,593,2048,2023-09-24 15:01:06.904
927.0,926.19,2023-09-24 15:01:18.479,,594,2048,2023-09-24 15:01:10.388
4205.0,4204.94,2023-09-24 15:01:10.330,760.61,593,2048,2023-09-24 15:01:07.230
914.0,913.63,2023-09-24 15:01:19.392,,595,2048,2023-09-24 15:01:10.374
4230.0,4229.29,2023-09-24 15:01:11.426,669.91,622,2048,2023-09-24 15:01:07.258
912.0,911.79,2023-09-24 15:01:11.426,,622,2048,2023-09-24 15:01:10.372
4817.0,4816.34,2023-09-24 15:01:12.007,636.33,593,2048,2023-09-24 15:01:07.803
975.0,974.6,2023-09-24 15:01:12.007,,594,2048,2023-09-24 15:01:10.431
5475.0,5474.73,2023-09-24 15:01:17.547,691.88,595,2048,2023-09-24 15:01:08.529
902.0,901.08,2023-09-24 15:01:17.547,,595,2048,2023-09-24 15:01:10.355
3113.0,3112.55,2023-09-24 15:01:15.133,641.93,593,2048,2023-09-24 15:01:06.112
922.0,921.01,2023-09-24 15:01:15.133,,594,2048,2023-09-24 15:01:10.388
2560.0,2559.86,2023-09-24 15:01:10.248,552.57,594,2048,2023-09-24 15:01:05.453
853.0,852.01,2023-09-24 15:01:19.349,,595,2048,2023-09-24 15:01:10.328
3728.0,3727.59,2023-09-24 15:01:07.800,556.01,593,2048,2023-09-24 15:01:06.632
