@billedDuration,@duration,@ingestionTime,@initDuration,@maxMemoryUsed/1000 /1000,@memorySize/1000 /1000,@timestamp
2103.0,2102.9,2023-09-24 15:33:03.157,647.2,380,1024,2023-09-24 15:33:00.036
837.0,836.01,2023-09-24 15:33:03.157,,381,1024,2023-09-24 15:33:02.133
1666.0,1665.44,2023-09-24 15:33:06.846,632.18,381,1024,2023-09-24 15:32:59.487
816.0,815.4,2023-09-24 15:33:06.846,,382,1024,2023-09-24 15:33:02.117
2093.0,2092.53,2023-09-24 15:33:06.255,652.18,380,1024,2023-09-24 15:32:59.932
857.0,856.73,2023-09-24 15:33:06.255,,381,1024,2023-09-24 15:33:02.153
1884.0,1883.34,2023-09-24 15:33:08.799,707.26,379,1024,2023-09-24 15:32:59.793
829.0,828.72,2023-09-24 15:33:08.799,,382,1024,2023-09-24 15:33:02.130
1999.0,1998.24,2023-09-24 15:33:04.486,667.62,380,1024,2023-09-24 15:32:59.953
806.0,805.72,2023-09-24 15:33:04.486,,381,1024,2023-09-24 15:33:02.101
1791.0,1790.01,2023-09-24 15:33:00.398,639.91,380,1024,2023-09-24 15:32:59.620
802.0,801.74,2023-09-24 15:33:10.314,,380,1024,2023-09-24 15:33:02.100
1973.0,1972.35,2023-09-24 15:33:05.095,696.47,380,1024,2023-09-24 15:32:59.859
812.0,811.55,2023-09-24 15:33:05.095,,380,1024,2023-09-24 15:33:02.109
1495.0,1494.48,2023-09-24 15:33:02.196,573.04,381,1024,2023-09-24 15:32:59.244
855.0,854.48,2023-09-24 15:33:11.159,,382,1024,2023-09-24 15:33:02.157
1955.0,1954.67,2023-09-24 15:33:04.205,683.96,380,1024,2023-09-24 15:32:59.838
858.0,857.06,2023-09-24 15:33:04.205,,381,1024,2023-09-24 15:33:02.154
2243.0,2242.23,2023-09-24 15:33:02.028,572.2,380,1024,2023-09-24 15:33:00.143
810.0,809.54,2023-09-24 15:33:11.110,,381,1024,2023-09-24 15:33:02.103
2351.0,2350.26,2023-09-24 15:33:03.951,638.1,380,1024,2023-09-24 15:33:00.272
820.0,819.82,2023-09-24 15:33:03.951,,381,1024,2023-09-24 15:33:02.112
2243.0,2242.48,2023-09-24 15:33:04.366,666.44,380,1024,2023-09-24 15:33:00.097
845.0,844.83,2023-09-24 15:33:04.366,,382,1024,2023-09-24 15:33:02.138
