@billedDuration,@duration,@ingestionTime,@initDuration,@maxMemoryUsed/1000 /1000,@memorySize/1000 /1000,@timestamp
23427.0,23426.0,2023-10-01 00:30:52.439,563.12,2339,3072,2023-10-01 00:30:43.439
4603.0,4602.99,2023-10-01 00:30:52.439,,2401,3072,2023-10-01 00:30:50.630
23881.0,23880.83,2023-10-01 00:30:52.904,569.74,2340,3072,2023-10-01 00:30:43.903
3707.0,3706.47,2023-10-01 00:30:52.904,,2340,3072,2023-10-01 00:30:49.731
24597.0,24596.69,2023-10-01 00:30:53.606,554.65,2338,3072,2023-10-01 00:30:44.609
3613.0,3612.47,2023-10-01 00:30:53.606,,2340,3072,2023-10-01 00:30:49.635
24513.0,24512.45,2023-10-01 00:30:53.629,580.81,2339,3072,2023-10-01 00:30:44.632
3667.0,3666.46,2023-10-01 00:30:53.629,,2339,3072,2023-10-01 00:30:49.690
22830.0,22829.48,2023-10-01 00:30:51.863,561.26,2339,3072,2023-10-01 00:30:42.862
3685.0,3684.17,2023-10-01 00:30:51.863,,2340,3072,2023-10-01 00:30:49.715
21461.0,21460.53,2023-10-01 00:30:50.414,574.06,2339,3072,2023-10-01 00:30:41.415
3643.0,3642.91,2023-10-01 00:30:50.414,,2340,3072,2023-10-01 00:30:49.679
24723.0,24722.27,2023-10-01 00:30:53.778,586.13,2338,3072,2023-10-01 00:30:44.778
3668.0,3667.66,2023-10-01 00:30:53.778,,2339,3072,2023-10-01 00:30:49.690
22548.0,22547.02,2023-10-01 00:30:51.547,562.33,2338,3072,2023-10-01 00:30:42.548
3663.0,3662.88,2023-10-01 00:30:51.547,,2339,3072,2023-10-01 00:30:49.691
24377.0,24376.09,2023-10-01 00:30:53.398,573.58,2339,3072,2023-10-01 00:30:44.401
3664.0,3663.38,2023-10-01 00:30:53.398,,2340,3072,2023-10-01 00:30:49.688
20155.0,20154.05,2023-10-01 00:30:48.969,605.9,2339,3072,2023-10-01 00:30:39.964
3677.0,3676.22,2023-10-01 00:30:58.715,,2341,3072,2023-10-01 00:30:49.717
24387.0,24386.68,2023-10-01 00:30:53.429,585.18,2340,3072,2023-10-01 00:30:44.433
3696.0,3695.17,2023-10-01 00:30:53.429,,2340,3072,2023-10-01 00:30:49.722
22059.0,22058.9,2023-10-01 00:30:51.010,557.34,2339,3072,2023-10-01 00:30:42.014
3637.0,3636.8,2023-10-01 00:30:51.010,,2341,3072,2023-10-01 00:30:49.671
24560.0,24559.06,2023-10-01 00:30:53.584,576.18,2340,3072,2023-10-01 00:30:44.586
3730.0,3729.3,2023-10-01 00:30:53.584,,2340,3072,2023-10-01 00:30:49.752
24622.0,24621.24,2023-10-01 00:30:53.683,563.18,2340,3072,2023-10-01 00:30:44.686
3650.0,3649.79,2023-10-01 00:30:53.683,,2340,3072,2023-10-01 00:30:49.673
22888.0,22887.62,2023-10-01 00:30:51.929,569.82,2339,3072,2023-10-01 00:30:42.931
3649.0,3648.96,2023-10-01 00:30:51.929,,2340,3072,2023-10-01 00:30:49.678
24168.0,24167.4,2023-10-01 00:30:53.159,566.3,2340,3072,2023-10-01 00:30:44.162
3626.0,3625.8,2023-10-01 00:30:53.159,,2340,3072,2023-10-01 00:30:49.650
23783.0,23782.62,2023-10-01 00:30:52.768,577.97,2338,3072,2023-10-01 00:30:43.768
3693.0,3692.26,2023-10-01 00:30:52.768,,2340,3072,2023-10-01 00:30:49.717
25127.0,25126.65,2023-10-01 00:30:54.133,559.46,2339,3072,2023-10-01 00:30:45.140
3673.0,3672.72,2023-10-01 00:30:54.133,,2339,3072,2023-10-01 00:30:49.694
24848.0,24847.95,2023-10-01 00:30:53.939,583.91,2339,3072,2023-10-01 00:30:44.938
3658.0,3657.66,2023-10-01 00:30:53.939,,2339,3072,2023-10-01 00:30:49.680
23586.0,23585.47,2023-10-01 00:30:52.649,601.59,2340,3072,2023-10-01 00:30:43.651
3762.0,3761.95,2023-10-01 00:30:52.649,,2340,3072,2023-10-01 00:30:49.787
23971.0,23970.73,2023-10-01 00:30:52.938,562.08,2339,3072,2023-10-01 00:30:43.937
3662.0,3661.43,2023-10-01 00:30:52.938,,2340,3072,2023-10-01 00:30:49.688
20490.0,20489.72,2023-10-01 00:30:49.264,569.79,2339,3072,2023-10-01 00:30:40.258
3734.0,3733.07,2023-10-01 00:30:58.768,,2340,3072,2023-10-01 00:30:49.772
25044.0,25043.57,2023-10-01 00:30:54.265,567.75,2339,3072,2023-10-01 00:30:45.265
3692.0,3691.39,2023-10-01 00:30:54.265,,2339,3072,2023-10-01 00:30:49.712
24153.0,24152.53,2023-10-01 00:30:53.243,573.92,2340,3072,2023-10-01 00:30:44.248
3715.0,3714.0,2023-10-01 00:30:53.243,,2340,3072,2023-10-01 00:30:49.739
24401.0,24400.0,2023-10-01 00:30:53.381,560.74,2339,3072,2023-10-01 00:30:44.385
3697.0,3696.81,2023-10-01 00:30:53.381,,2339,3072,2023-10-01 00:30:49.722
23269.0,23268.44,2023-10-01 00:30:52.230,564.84,2338,3072,2023-10-01 00:30:43.233
3656.0,3655.31,2023-10-01 00:30:52.230,,2340,3072,2023-10-01 00:30:49.681
25100.0,25099.76,2023-10-01 00:30:54.054,563.83,2401,3072,2023-10-01 00:30:45.058
3670.0,3669.36,2023-10-01 00:30:54.054,,2401,3072,2023-10-01 00:30:49.689
23994.0,23993.51,2023-10-01 00:30:52.996,606.39,2339,3072,2023-10-01 00:30:43.997
3698.0,3697.54,2023-10-01 00:30:52.996,,2339,3072,2023-10-01 00:30:49.724
24815.0,24814.82,2023-10-01 00:30:53.855,572.8,2339,3072,2023-10-01 00:30:44.859
3667.0,3666.72,2023-10-01 00:30:53.855,,2340,3072,2023-10-01 00:30:49.688
24910.0,24909.22,2023-10-01 00:30:53.954,579.43,2339,3072,2023-10-01 00:30:44.959
3736.0,3735.61,2023-10-01 00:30:53.954,,2340,3072,2023-10-01 00:30:49.756
27134.0,27133.79,2023-10-01 00:31:29.189,565.92,2339,4096,2023-10-01 00:31:20.190
2974.0,2973.27,2023-10-01 00:31:29.189,,2339,4096,2023-10-01 00:31:25.238
26382.0,26381.27,2023-10-01 00:31:28.399,568.82,2340,4096,2023-10-01 00:31:19.400
2968.0,2967.68,2023-10-01 00:31:28.399,,2340,4096,2023-10-01 00:31:25.235
27334.0,27333.74,2023-10-01 00:31:29.357,569.42,2339,4096,2023-10-01 00:31:20.359
2982.0,2981.85,2023-10-01 00:31:29.357,,2339,4096,2023-10-01 00:31:25.246
27586.0,27585.85,2023-10-01 00:31:29.654,561.78,2339,4096,2023-10-01 00:31:20.654
2940.0,2939.35,2023-10-01 00:31:29.654,,2341,4096,2023-10-01 00:31:25.200
27133.0,27132.18,2023-10-01 00:31:29.786,979.91,2339,4096,2023-10-01 00:31:20.784
2995.0,2994.8,2023-10-01 00:31:29.786,,2340,4096,2023-10-01 00:31:25.254
26977.0,26976.01,2023-10-01 00:31:29.038,563.62,2338,4096,2023-10-01 00:31:20.038
2948.0,2947.78,2023-10-01 00:31:29.038,,2339,4096,2023-10-01 00:31:25.215
19726.0,19725.08,2023-10-01 00:31:21.017,561.32,2339,4096,2023-10-01 00:31:12.019
3731.0,3730.85,2023-10-01 00:31:31.301,,2401,4096,2023-10-01 00:31:26.005
26934.0,26933.39,2023-10-01 00:31:28.996,549.91,2339,4096,2023-10-01 00:31:19.996
2997.0,2996.12,2023-10-01 00:31:28.996,,2340,4096,2023-10-01 00:31:25.261
25052.0,25051.71,2023-10-01 00:31:27.077,540.76,2339,4096,2023-10-01 00:31:18.081
2911.0,2910.6,2023-10-01 00:31:27.077,,2341,4096,2023-10-01 00:31:25.183
25670.0,25669.08,2023-10-01 00:31:27.712,554.62,2338,4096,2023-10-01 00:31:18.715
