@billedDuration,@duration,@ingestionTime,@initDuration,@maxMemoryUsed/1000 /1000,@memorySize/1000 /1000,@timestamp
26441.0,26440.6,2023-10-01 00:33:10.521,678.24,2350,3072,2023-10-01 00:33:01.517
3424.0,3423.24,2023-10-01 00:33:10.521,,2352,3072,2023-10-01 00:33:08.548
26150.0,26149.79,2023-10-01 00:33:10.237,650.68,2350,3072,2023-10-01 00:33:01.237
3557.0,3556.26,2023-10-01 00:33:10.237,,2352,3072,2023-10-01 00:33:08.684
28203.0,28202.76,2023-10-01 00:33:13.416,1393.58,2350,3072,2023-10-01 00:33:04.417
3640.0,3639.19,2023-10-01 00:33:13.416,,2350,3072,2023-10-01 00:33:08.757
27151.0,27150.33,2023-10-01 00:33:11.181,621.17,2351,3072,2023-10-01 00:33:02.181
3575.0,3574.41,2023-10-01 00:33:11.181,,2352,3072,2023-10-01 00:33:08.698
22095.0,22094.56,2023-10-01 00:33:06.084,624.58,2351,3072,2023-10-01 00:32:57.084
3594.0,3593.83,2023-10-01 00:33:17.729,,2351,3072,2023-10-01 00:33:08.728
26225.0,26224.24,2023-10-01 00:33:10.257,640.98,2350,3072,2023-10-01 00:33:01.259
3529.0,3528.06,2023-10-01 00:33:10.257,,2350,3072,2023-10-01 00:33:08.653
27922.0,27921.13,2023-10-01 00:33:12.084,616.18,2350,3072,2023-10-01 00:33:03.088
3478.0,3477.45,2023-10-01 00:33:12.084,,2351,3072,2023-10-01 00:33:08.599
28267.0,28266.55,2023-10-01 00:33:12.436,663.67,2351,3072,2023-10-01 00:33:03.433
3832.0,3831.64,2023-10-01 00:33:12.436,,2351,3072,2023-10-01 00:33:08.958
22534.0,22533.13,2023-10-01 00:33:06.587,635.33,2350,3072,2023-10-01 00:32:57.589
3510.0,3509.76,2023-10-01 00:33:17.640,,2352,3072,2023-10-01 00:33:08.643
26698.0,26697.58,2023-10-01 00:33:10.758,636.23,2351,3072,2023-10-01 00:33:01.756
3533.0,3532.82,2023-10-01 00:33:10.758,,2351,3072,2023-10-01 00:33:08.657
28946.0,28945.15,2023-10-01 00:33:13.196,732.61,2350,3072,2023-10-01 00:33:04.198
3725.0,3724.94,2023-10-01 00:33:13.196,,2350,3072,2023-10-01 00:33:08.845
25384.0,25383.47,2023-10-01 00:33:09.413,630.3,2350,3072,2023-10-01 00:33:00.410
3591.0,3590.14,2023-10-01 00:33:09.413,,2351,3072,2023-10-01 00:33:08.719
27953.0,27952.57,2023-10-01 00:33:12.079,654.44,2350,3072,2023-10-01 00:33:03.081
3448.0,3447.46,2023-10-01 00:33:12.079,,2352,3072,2023-10-01 00:33:08.572
25440.0,25439.7,2023-10-01 00:33:09.495,648.01,2349,3072,2023-10-01 00:33:00.498
3571.0,3570.95,2023-10-01 00:33:09.495,,2350,3072,2023-10-01 00:33:08.698
28524.0,28523.35,2023-10-01 00:33:12.687,621.66,2350,3072,2023-10-01 00:33:03.702
3520.0,3519.75,2023-10-01 00:33:12.687,,2351,3072,2023-10-01 00:33:08.640
28147.0,28146.12,2023-10-01 00:33:12.330,756.2,2351,3072,2023-10-01 00:33:03.329
3453.0,3452.72,2023-10-01 00:33:12.330,,2351,3072,2023-10-01 00:33:08.576
24621.0,24620.14,2023-10-01 00:33:08.645,627.95,2350,3072,2023-10-01 00:32:59.646
3489.0,3488.18,2023-10-01 00:33:08.645,,2352,3072,2023-10-01 00:33:08.621
28806.0,28805.44,2023-10-01 00:33:13.005,718.68,2350,3072,2023-10-01 00:33:04.003
3512.0,3511.18,2023-10-01 00:33:13.005,,2352,3072,2023-10-01 00:33:08.630
27957.0,27956.02,2023-10-01 00:33:12.080,617.5,2350,3072,2023-10-01 00:33:03.080
3467.0,3466.04,2023-10-01 00:33:12.080,,2351,3072,2023-10-01 00:33:08.588
24610.0,24609.28,2023-10-01 00:33:08.664,612.14,2351,3072,2023-10-01 00:32:59.666
3446.0,3445.83,2023-10-01 00:33:08.664,,2352,3072,2023-10-01 00:33:08.576
