id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
16-000000027473,1695566954.9536793,1695566961.650251,6.696568107,1695566956.5941703,1695566961.6456876,5.05150957,1695566956.666063,1695566961.6455586,4.97928612
24-000000105659,1695566954.991824,1695566961.669443,6.677615302,1695566956.6227937,1695566961.6660516,5.043250004,1695566956.6884468,1695566961.6658807,4.977218597
1-000000000001,1695566954.8465126,1695566961.6800456,6.833529344,1695566956.5920413,1695566961.667934,5.075881526,1695566956.6628973,1695566961.667758,5.004647412
29-000000574730,1695566955.0308022,1695566961.6976423,6.666834905,1695566956.584845,1695566961.694025,5.109171892,1695566956.6597865,1695566961.6938825,5.033872628
10-000000007242,1695566954.906434,1695566962.061833,7.155395491,1695566956.6723487,1695566962.0584774,5.386119656,1695566956.7442784,1695566962.0582469,5.313730604
0-000000000178,1695566954.8406491,1695566962.1285121,7.287859831,1695566956.6256468,1695566962.1164403,5.490784983,1695566956.705217,1695566962.1163013,5.410857227
28-000000576965,1695566955.0174024,1695566962.1825702,7.165164542,1695566956.6319544,1695566962.178885,5.546913521,1695566956.7033732,1695566962.1787312,5.475119005
26-000000571463,1695566955.0094843,1695566962.4079826,7.398493443,1695566956.6628897,1695566962.4039302,5.741031839,1695566956.742061,1695566962.403716,5.66140708
3-000000000549,1695566954.8533778,1695566962.5314949,7.67811388,1695566956.638949,1695566962.5279715,5.889016086,1695566956.7110844,1695566962.527834,5.816491314
15-000000114471,1695566954.9430256,1695566962.5944133,7.651384475,1695566956.673867,1695566962.5901244,5.916248109,1695566956.7515576,1695566962.5899444,5.838138582
8-000000000771,1695566954.8929536,1695566962.7038636,7.810906554,1695566956.6850963,1695566962.699924,6.014818623,1695566956.7594829,1695566962.699774,5.940050244
21-000000219090,1695566954.9745226,1695566962.8005874,7.826061761,1695566956.667916,1695566962.7967954,6.128870485,1695566956.74917,1695566962.7966068,6.047157056
18-000000033030,1695566954.9617941,1695566963.0344436,8.072646372,1695566956.7068558,1695566963.0300367,6.323173066,1695566956.7901087,1695566963.0298352,6.239494843
7-000000000694,1695566954.886771,1695566963.2607105,8.373936239,1695566956.6840384,1695566963.256572,6.572523976,1695566956.756318,1695566963.256394,6.499806762
12-000000018852,1695566954.9247284,1695566963.3420827,8.417351566,1695566956.728902,1695566963.3379514,6.609040398,1695566956.8044844,1695566963.3377337,6.533000984
6-000000000570,1695566954.8632884,1695566963.480338,8.617047126,1695566956.6574082,1695566963.476758,6.819338804,1695566956.753131,1695566963.4765031,6.72312934
22-000000020503,1695566954.9782035,1695566963.5106537,8.532446956,1695566956.6837115,1695566963.5069363,6.823216679,1695566956.7598028,1695566963.506793,6.746753469
5-000000011517,1695566954.8597453,1695566963.5876715,8.727923491,1695566956.6595228,1695566963.5845633,6.9250325,1695566956.7396698,1695566963.584365,6.844446336
25-000000560759,1695566954.9987051,1695566963.686936,8.688226927,1695566956.692618,1695566963.6834123,6.990786259,1695566956.7622313,1695566963.683243,6.920782957
20-000000568423,1695566954.9716153,1695566963.7819006,8.810282262,1695566956.680927,1695566963.77779,7.096854996,1695566956.763173,1695566963.7776084,7.014159959
11-000000012287,1695566954.9190626,1695566963.818487,8.899421214,1695566956.6714303,1695566963.8143954,7.142650964,1695566956.7485301,1695566963.814203,7.065147953
27-000000579670,1695566955.0136812,1695566963.9183085,8.904623486,1695566956.7073777,1695566963.9146793,7.207292375,1695566956.7781863,1695566963.914517,7.136089311
4-000000000718,1695566954.856971,1695566964.0763454,9.219371428,1695566956.745873,1695566964.0721493,7.326267757,1695566956.8245075,1695566964.0719516,7.247214921
9-000000001371,1695566954.9012375,1695566964.2211163,9.319875068,1695566956.7116473,1695566964.215612,7.50395498,1695566956.7899582,1695566964.2154675,7.425262962
23-000000576217,1695566954.9858692,1695566964.2710497,9.285177005,1695566956.7194703,1695566964.267074,7.547122839,1695566956.7963233,1695566964.266846,7.469806535
17-000000020717,1695566954.9590452,1695566964.300312,9.341264207,1695566956.7673073,1695566964.2973256,7.530002996,1695566956.84071,1695566964.2971191,7.456169308
2-000000000276,1695566954.8500154,1695566964.342944,9.492925004,1695566956.6915905,1695566964.3385222,7.646923226,1695566956.76426,1695566964.3383086,7.573808355
19-000000569105,1695566954.9673786,1695566964.5132818,9.545899252,1695566956.6432917,1695566964.5089424,7.865641697,1695566956.7247522,1695566964.5087996,7.783803022
13-000000000535,1695566954.9285097,1695566964.5831747,9.654661442,1695566956.8027616,1695566964.5786135,7.775843178,1695566956.8819175,1695566964.5784605,7.696286629
14-000000020674,1695566954.9367466,1695566964.647465,9.710715726,1695566956.8143559,1695566964.6429467,7.828581993,1695566956.8861926,1695566964.6427486,7.75632002
