id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
11-000000012287,1695566732.088771,1695566734.0514657,1.962691698,1695566732.2704911,1695566734.0475504,1.777054004,1695566732.275669,1695566734.0474613,1.771594188
20-000000568423,1695566732.1350183,1695566734.084061,1.949039539,1695566732.267879,1695566734.0802348,1.812350586,1695566732.2726452,1695566734.0801508,1.807289884
5-000000011517,1695566732.0595765,1695566734.0884485,2.028868355,1695566732.2698426,1695566734.0826855,1.812837601,1695566732.2754366,1695566734.0825932,1.806925232
13-000000000535,1695566732.0998216,1695566734.0965874,1.996762508,1695566732.276847,1695566734.092857,1.816005191,1695566732.2843091,1695566734.092762,1.808239669
29-000000574730,1695566732.1674726,1695566734.0994627,1.931987627,1695566732.273428,1695566734.0955522,1.82211893,1695566732.2778099,1695566734.0954556,1.817442188
25-000000560759,1695566732.153558,1695566734.10055,1.946989124,1695566732.274683,1695566734.0958383,1.821149979,1695566732.2794309,1695566734.095752,1.816101626
16-000000027473,1695566732.1150517,1695566734.101599,1.98654506,1695566732.2791328,1695566734.0975904,1.81845274,1695566732.2855606,1695566734.097503,1.811738237
4-000000000718,1695566732.0567033,1695566734.102547,2.04584099,1695566732.2688098,1695566734.097679,1.828864523,1695566732.2735925,1695566734.0976179,1.823805708
15-000000114471,1695566732.110193,1695566734.1067417,1.996546877,1695566732.2701998,1695566734.1034794,1.833274303,1695566732.2765336,1695566734.1033835,1.826636174
3-000000000549,1695566732.0528343,1695566734.1075542,2.054718126,1695566732.2719202,1695566734.102818,1.83089301,1695566732.277496,1695566734.102733,1.825015587
19-000000569105,1695566732.1295917,1695566734.1127462,1.983151357,1695566732.2713404,1695566734.1079278,1.836581856,1695566732.2777047,1695566734.107811,1.829895292
14-000000020674,1695566732.1061883,1695566734.1144297,2.008238741,1695566732.2737553,1695566734.1106448,1.836883936,1695566732.2797012,1695566734.1105473,1.830636986
22-000000020503,1695566732.144123,1695566734.1166387,1.972513152,1695566732.2749338,1695566734.1131082,1.838169868,1695566732.2800906,1695566734.113028,1.832729859
12-000000018852,1695566732.0927298,1695566734.1197243,2.026992095,1695566732.2744493,1695566734.1158104,1.841355599,1695566732.2797,1695566734.1157346,1.835820337
10-000000007242,1695566732.0846217,1695566734.1238635,2.039239004,1695566732.2680337,1695566734.1199458,1.851906541,1695566732.2729557,1695566734.1198518,1.846687792
27-000000579670,1695566732.1600156,1695566734.1259139,1.965895183,1695566732.2685158,1695566734.1200948,1.851573872,1695566732.2739224,1695566734.1200128,1.845879341
28-000000576965,1695566732.1635067,1695566734.1266453,1.963136511,1695566732.2742667,1695566734.1203685,1.846096981,1695566732.2800572,1695566734.1202931,1.840030356
17-000000020717,1695566732.119531,1695566734.1274977,2.007964686,1695566732.2753274,1695566734.1205688,1.84523587,1695566732.280198,1695566734.1204767,1.840070479
1-000000000001,1695566732.0457616,1695566734.1280816,2.082317934,1695566732.2661452,1695566734.1220317,1.855881367,1695566732.2714634,1695566734.1219327,1.850252149
18-000000033030,1695566732.1235533,1695566734.12898,2.00539558,1695566732.2750537,1695566734.1137612,1.838702307,1695566732.2819467,1695566734.1136587,1.831502094
26-000000571463,1695566732.1565962,1695566734.1298432,1.973245028,1695566732.2742867,1695566734.1259346,1.851642762,1695566732.2795527,1695566734.1258383,1.846071382
8-000000000771,1695566732.076046,1695566734.1315758,2.055527507,1695566732.2707036,1695566734.1280203,1.857311529,1695566732.2759206,1695566734.127929,1.851802417
23-000000576217,1695566732.1476429,1695566734.1341546,1.986509114,1695566732.270537,1695566734.1311233,1.860581536,1695566732.275299,1695566734.130982,1.855481548
24-000000105659,1695566732.1506524,1695566734.1348987,1.984244315,1695566732.272976,1695566734.123642,1.850660928,1695566732.2778423,1695566734.1235545,1.845486652
2-000000000276,1695566732.0496018,1695566734.1362116,2.086607929,1695566732.2667751,1695566734.1326265,1.865846176,1695566732.2719648,1695566734.1325297,1.86034339
9-000000001371,1695566732.0792153,1695566734.13959,2.060372601,1695566732.274322,1695566734.136278,1.861951324,1695566732.2808938,1695566734.1361876,1.855076707
7-000000000694,1695566732.0711722,1695566734.1416953,2.070520511,1695566732.2726026,1695566734.1388268,1.866218902,1695566732.2783995,1695566734.1387274,1.860117068
0-000000000178,1695566732.0395555,1695566734.144146,2.10458801,1695566732.2647204,1695566734.1400023,1.875271931,1695566732.2702003,1695566734.1398928,1.869438635
21-000000219090,1695566732.1390977,1695566734.150531,2.011378418,1695566732.2773058,1695566734.1458323,1.868521318,1695566732.2829123,1695566734.1457412,1.862614487
6-000000000570,1695566732.063438,1695566734.340807,2.27736619,1695566732.2748837,1695566734.3373218,2.062431906,1695566732.2841396,1695566734.3372166,2.052870791
