id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
12-000000018852,1695566746.4654958,1695566751.609111,5.143611942,1695566747.818992,1695566751.6047795,3.785779629,1695566747.8590426,1695566751.6045756,3.745304339
10-000000007242,1695566746.4594908,1695566751.6323824,5.172888067,1695566747.8648586,1695566751.6280634,3.763197279,1695566747.904976,1695566751.6278276,3.722605106
23-000000576217,1695566746.5180585,1695566751.9812536,5.46319228,1695566747.8768823,1695566751.976943,4.10005327,1695566747.9170058,1695566751.9766614,4.059434907
28-000000576965,1695566746.5352757,1695566752.1648846,5.629605306,1695566747.8375711,1695566752.160878,4.323298718,1695566747.879347,1695566752.160679,4.281102713
3-000000000549,1695566746.4238098,1695566752.2372391,5.813426291,1695566747.8481154,1695566752.233913,4.385787563,1695566747.889117,1695566752.2336626,4.34431699
24-000000105659,1695566746.521429,1695566752.310709,5.789277321,1695566747.8477428,1695566752.3067112,4.458960297,1695566747.8879032,1695566752.306513,4.418377897
26-000000571463,1695566746.5270698,1695566752.491133,5.964060357,1695566747.8479335,1695566752.4861171,4.638158221,1695566747.8888896,1695566752.4858582,4.59674122
5-000000011517,1695566746.4345622,1695566752.7160819,6.281516576,1695566747.8668804,1695566752.712413,4.845524423,1695566747.9085615,1695566752.7122386,4.803454369
27-000000579670,1695566746.5309272,1695566753.0384052,6.507474754,1695566747.8709033,1695566753.0346735,5.163761584,1695566747.911417,1695566753.0344322,5.122787217
6-000000000570,1695566746.438685,1695566753.0701387,6.631450595,1695566747.867793,1695566753.0664222,5.19862089,1695566747.913929,1695566753.0661545,5.151994249
25-000000560759,1695566746.5242093,1695566753.4250023,6.900790402,1695566747.9561121,1695566753.421784,5.465663894,1695566747.996039,1695566753.4215806,5.425313683
19-000000569105,1695566746.5002756,1695566753.439691,6.939412172,1695566747.8773448,1695566753.4352171,5.557863991,1695566747.920182,1695566753.4350212,5.514611758
21-000000219090,1695566746.50987,1695566753.5101328,7.000259153,1695566747.967971,1695566753.506385,5.538405817,1695566748.0091128,1695566753.5061264,5.496780563
15-000000114471,1695566746.4809315,1695566753.7681005,7.287166095,1695566748.0242217,1695566753.7644997,5.740269711,1695566748.0662065,1695566753.7642758,5.697843265
2-000000000276,1695566746.4188197,1695566753.7742639,7.355441129,1695566747.8741229,1695566753.770288,5.896156365,1695566747.9153018,1695566753.7700994,5.854566514
18-000000033030,1695566746.4944277,1695566753.872449,7.37801751,1695566747.8762147,1695566753.867987,5.991763593,1695566747.9183214,1695566753.8677723,5.949219536
4-000000000718,1695566746.4317038,1695566754.0229132,7.591207102,1695566747.9696815,1695566754.018311,6.048621571,1695566748.0099335,1695566754.018069,6.007891568
16-000000027473,1695566746.4865856,1695566754.1609085,7.674319375,1695566747.9373844,1695566754.1572578,6.219865468,1695566747.9784079,1695566754.1570354,6.178411626
14-000000020674,1695566746.476341,1695566754.2056746,7.729330136,1695566747.9470253,1695566754.201382,6.254348626,1695566747.9875636,1695566754.2011893,6.213406055
11-000000012287,1695566746.4622703,1695566754.2092462,7.746973151,1695566747.9545565,1695566754.2051952,6.250630826,1695566747.9955027,1695566754.2050207,6.209294514
0-000000000178,1695566746.408832,1695566754.216823,7.807987596,1695566748.0630414,1695566754.212722,6.149671671,1695566748.103572,1695566754.2125387,6.108737139
17-000000020717,1695566746.4917183,1695566754.2207427,7.729021394,1695566747.9704568,1695566754.2176502,6.247184877,1695566748.0113513,1695566754.2174103,6.205820594
8-000000000771,1695566746.4506724,1695566754.2271876,7.776512358,1695566747.9604125,1695566754.2229671,6.262546846,1695566748.0019207,1695566754.2227812,6.220626075
22-000000020503,1695566746.5141604,1695566754.2360432,7.721879555,1695566747.955683,1695566754.2322676,6.276555905,1695566747.99554,1695566754.2320743,6.236308462
13-000000000535,1695566746.4695435,1695566754.2992148,7.829668662,1695566747.9647543,1695566754.2949653,6.330202912,1695566748.0081978,1695566754.2947211,6.286291125
9-000000001371,1695566746.4537804,1695566754.3016765,7.847893432,1695566747.9600863,1695566754.2954159,6.33532141,1695566748.0023704,1695566754.2951663,6.292568262
7-000000000694,1695566746.4464262,1695566754.3225055,7.876076092,1695566747.949527,1695566754.3183439,6.368808589,1695566747.9899578,1695566754.3181138,6.327933628
20-000000568423,1695566746.5068688,1695566754.3591435,7.852271219,1695566748.0588806,1695566754.3542154,6.295327334,1695566748.0982914,1695566754.3540072,6.255492011
1-000000000001,1695566746.4149573,1695566754.3604195,7.945459699,1695566747.96333,1695566754.356557,6.393218165,1695566748.0048978,1695566754.3563235,6.35119373
29-000000574730,1695566746.5511293,1695566754.3818917,7.830758512,1695566747.9640896,1695566754.3776248,6.413526661,1695566748.0038052,1695566754.3774302,6.373400254
