id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
10-000000007242,1695566999.1560864,1695567000.2262323,1.070142254,1695566999.3170898,1695567000.2224598,0.905365098,1695566999.3214781,1695567000.2223656,0.900679941
2-000000000276,1695566999.113309,1695567000.2392552,1.125942895,1695566999.3194714,1695567000.2348695,0.91539342,1695566999.3240175,1695567000.2347844,0.910584374
27-000000579670,1695566999.2199159,1695567000.2404928,1.020574531,1695566999.3214889,1695567000.2356899,0.914196079,1695566999.3261948,1695567000.2356117,0.909227591
9-000000001371,1695566999.150967,1695567000.2493513,1.098381597,1695566999.3197749,1695567000.2461784,0.926398207,1695566999.326318,1695567000.2460892,0.919566871
12-000000018852,1695566999.1624787,1695567000.2547069,1.09222558,1695566999.3431828,1695567000.2498534,0.906665929,1695566999.3477423,1695567000.249766,0.901837069
25-000000560759,1695566999.2139182,1695567000.2591481,1.045227692,1695566999.3142436,1695567000.2563577,0.942108614,1695566999.3190463,1695567000.256261,0.937006787
23-000000576217,1695566999.208345,1695567000.2661486,1.05780101,1695566999.3209925,1695567000.262092,0.941094236,1695566999.3258586,1695567000.2619834,0.935916492
26-000000571463,1695566999.216529,1695567000.2682114,1.05167979,1695566999.3227968,1695567000.264736,0.940918807,1695566999.3280847,1695567000.264635,0.935330545
28-000000576965,1695566999.223227,1695567000.275251,1.052021107,1695566999.3203123,1695567000.271604,0.951286207,1695566999.3263488,1695567000.2715137,0.944941433
29-000000574730,1695566999.2269528,1695567000.276455,1.049500181,1695566999.3221073,1695567000.271688,0.94957559,1695566999.3265646,1695567000.271588,0.944808761
20-000000568423,1695566999.1987634,1695567000.279495,1.080728924,1695566999.315075,1695567000.2755344,0.960454487,1695566999.3195074,1695567000.2754688,0.955748469
5-000000011517,1695566999.1256866,1695567000.2855625,1.159872331,1695566999.3160245,1695567000.277256,0.961226147,1695566999.3218713,1695567000.2771525,0.955074321
0-000000000178,1695566999.0976217,1695567000.2944448,1.196818898,1695566999.3165717,1695567000.2776864,0.961110065,1695566999.3220818,1695567000.2775836,0.955269118
16-000000027473,1695566999.182119,1695567000.2982743,1.116152116,1695566999.321413,1695567000.2794523,0.958034339,1695566999.3278112,1695567000.2793467,0.951326221
8-000000000771,1695566999.1443446,1695567000.3060184,1.161669835,1695566999.3353372,1695567000.2807157,0.945372971,1695566999.340608,1695567000.2806165,0.939818849
15-000000114471,1695566999.1762297,1695567000.3099277,1.133695079,1695566999.3219209,1695567000.283904,0.961977747,1695566999.328398,1695567000.2837844,0.955177836
21-000000219090,1695566999.2016802,1695567000.312321,1.110637926,1695566999.3170288,1695567000.2893014,0.97226799,1695566999.322571,1695567000.2892125,0.966434976
17-000000020717,1695566999.186658,1695567000.3149297,1.128268311,1695566999.3117676,1695567000.286536,0.974763521,1695566999.3165042,1695567000.2864296,0.969713289
1-000000000001,1695566999.1079917,1695567000.3164513,1.20845566,1695566999.3118224,1695567000.2869296,0.975102087,1695566999.3170831,1695567000.2868204,0.969523654
18-000000033030,1695566999.1895244,1695567000.3181632,1.128636027,1695566999.3243203,1695567000.2881281,0.963803516,1695566999.3312173,1695567000.2880123,0.956588814
3-000000000549,1695566999.1164713,1695567000.3205483,1.204074463,1695566999.3099728,1695567000.2879753,0.977997132,1695566999.3156748,1695567000.2878904,0.971981899
11-000000012287,1695566999.1593897,1695567000.3218646,1.162472626,1695566999.3235712,1695567000.298754,0.975177323,1695566999.329104,1695567000.2986581,0.969333491
24-000000105659,1695566999.2111876,1695567000.3224957,1.111305901,1695566999.3227372,1695567000.3044434,0.981701371,1695566999.3276134,1695567000.3043494,0.976523079
22-000000020503,1695566999.2052798,1695567000.3234003,1.118118808,1695566999.3151608,1695567000.3074362,0.992270363,1695566999.3203428,1695567000.3073246,0.986762802
13-000000000535,1695566999.1658623,1695567000.3240297,1.158165026,1695566999.3179224,1695567000.318569,1.000641231,1695566999.325657,1695567000.3184614,0.992591388
7-000000000694,1695566999.138033,1695567000.3396688,1.201632775,1695566999.3155062,1695567000.3367496,1.021238033,1695566999.3222182,1695567000.3366666,1.014230858
19-000000569105,1695566999.1943793,1695567000.3591633,1.164781212,1695566999.320532,1695567000.3556178,1.035080672,1695566999.3268533,1695567000.3555326,1.028469204
6-000000000570,1695566999.129454,1695567000.4306545,1.301197946,1695566999.3340101,1695567000.4274447,1.093429976,1695566999.3435473,1695567000.4273615,1.083599774
14-000000020674,1695566999.1722748,1695567000.444686,1.272407675,1695566999.5243614,1695567000.44039,0.91602344,1695566999.5295098,1695567000.440312,0.910604446
4-000000000718,1695566999.12271,1695567000.4834733,1.360759806,1695566999.316704,1695567000.4787812,1.16207231,1695566999.322607,1695567000.4786777,1.155852496
