id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
28-000000576965,1695566865.741872,1695566872.3289394,6.58706425,1695566865.8437576,1695566872.3249557,6.481193254,1695566865.8495467,1695566872.3248496,6.475099198
5-000000011517,1695566865.6491346,1695566872.348047,6.698909031,1695566865.8383043,1695566872.3438528,6.505543432,1695566865.8439326,1695566872.3437467,6.499608261
4-000000000718,1695566865.6463218,1695566872.363062,6.716737164,1695566865.8300488,1695566872.359545,6.529490927,1695566865.834816,1695566872.3594353,6.524402435
23-000000576217,1695566865.7267392,1695566872.3700058,6.643263552,1695566865.8388767,1695566872.3664732,6.527591424,1695566865.8435993,1695566872.3664112,6.522610821
15-000000114471,1695566865.6944313,1695566872.3743954,6.67996116,1695566865.8500648,1695566872.3708982,6.520828421,1695566865.8564088,1695566872.3708034,6.51419181
24-000000105659,1695566865.7294576,1695566872.3812582,6.651798228,1695566865.8405764,1695566872.3776126,6.537031022,1695566865.8453174,1695566872.3774993,6.531977131
27-000000579670,1695566865.7383344,1695566872.3866453,6.648308611,1695566865.8405719,1695566872.3831682,6.542590768,1695566865.8459733,1695566872.3830543,6.536872556
18-000000033030,1695566865.7079446,1695566872.3877997,6.679852341,1695566865.8464925,1695566872.3840537,6.537555838,1695566865.853332,1695566872.3839474,6.530400967
2-000000000276,1695566865.639055,1695566872.4044456,6.765387183,1695566865.8398666,1695566872.4002197,6.56034728,1695566865.8449452,1695566872.400151,6.554989766
9-000000001371,1695566865.6689532,1695566872.4057784,6.736823078,1695566865.8370106,1695566872.401348,6.564332568,1695566865.8434863,1695566872.4012136,6.557519202
12-000000018852,1695566865.680438,1695566872.4083953,6.727955006,1695566865.8360755,1695566872.4054325,6.569351539,1695566865.8413239,1695566872.4052892,6.563763822
11-000000012287,1695566865.677414,1695566872.4121788,6.734762452,1695566865.8353572,1695566872.4098363,6.574473984,1695566865.8406215,1695566872.409726,6.568887851
0-000000000178,1695566865.628135,1695566872.4131277,6.784989951,1695566865.8330855,1695566872.4096131,6.576522452,1695566865.8384395,1695566872.4095025,6.570849418
3-000000000549,1695566865.642684,1695566872.4154506,6.772763942,1695566865.8359652,1695566872.4129748,6.577004519,1695566865.841619,1695566872.4128623,6.571034731
13-000000000535,1695566865.6838956,1695566872.4173315,6.733433383,1695566865.8437614,1695566872.4139926,6.570226403,1695566865.8512373,1695566872.4138896,6.56244598
19-000000569105,1695566865.7129085,1695566872.4288,6.715888161,1695566865.8401196,1695566872.4253914,6.585266788,1695566865.8465745,1695566872.4253259,6.578546033
25-000000560759,1695566865.7323449,1695566872.430845,6.698497301,1695566865.8432217,1695566872.4275098,6.584283272,1695566865.8479693,1695566872.4273553,6.579170271
8-000000000771,1695566865.6658459,1695566872.43432,6.768470859,1695566865.8446372,1695566872.430578,6.585935736,1695566865.8499315,1695566872.430468,6.580323453
26-000000571463,1695566865.735037,1695566872.4353585,6.700319168,1695566865.8421278,1695566872.4318285,6.58969544,1695566865.8476012,1695566872.4317272,6.583924708
20-000000568423,1695566865.7171202,1695566872.447981,6.730857616,1695566865.8296561,1695566872.4451873,6.615525791,1695566865.8341575,1695566872.4450736,6.610695711
22-000000020503,1695566865.7233875,1695566872.4631965,6.739806109,1695566865.8419874,1695566872.4556208,6.613628609,1695566865.8470278,1695566872.4555097,6.608275182
1-000000000001,1695566865.6354928,1695566872.4664564,6.830959297,1695566865.8362086,1695566872.4591491,6.622935046,1695566865.8415055,1695566872.4590387,6.617322468
10-000000007242,1695566865.6745105,1695566872.4705632,6.79604845,1695566865.84068,1695566872.4639974,6.6233124,1695566865.845632,1695566872.4638925,6.618052847
21-000000219090,1695566865.7196836,1695566872.4721782,6.752492331,1695566865.8415296,1695566872.4643865,6.622851953,1695566865.8470807,1695566872.4642699,6.616983826
29-000000574730,1695566865.7456949,1695566872.4751318,6.72943433,1695566865.8407133,1695566872.4713132,6.630594583,1695566865.8451648,1695566872.4711914,6.625791022
7-000000000694,1695566865.6613355,1695566872.488265,6.826926577,1695566865.8359454,1695566872.4851925,6.649241853,1695566865.8417795,1695566872.4850821,6.643090296
17-000000020717,1695566865.7039394,1695566872.495321,6.791378627,1695566865.8366294,1695566872.4916837,6.655049393,1695566865.8414738,1695566872.4915652,6.649869487
14-000000020674,1695566865.6901581,1695566872.5050282,6.814866468,1695566865.8401663,1695566872.5019147,6.661743694,1695566865.8460248,1695566872.501798,6.655563863
16-000000027473,1695566865.6993818,1695566872.5193188,6.819933696,1695566865.841935,1695566872.515465,6.673525446,1695566865.848285,1695566872.5153525,6.666862497
6-000000000570,1695566865.6533651,1695566872.7779896,7.124621645,1695566865.838509,1695566872.7747948,6.936280597,1695566865.8479214,1695566872.7747302,6.926578754
