id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
22-000000020503,1695567102.0397482,1695567105.3153853,3.275633827,1695567102.1746666,1695567105.3112702,3.136598922,1695567102.1791675,1695567105.3111682,3.131814735
28-000000576965,1695567102.0616176,1695567105.3738647,3.312243524,1695567102.1730273,1695567105.3702562,3.197223993,1695567102.1784177,1695567105.3701594,3.191553018
16-000000027473,1695567101.9966838,1695567105.4403384,3.44365113,1695567102.1733797,1695567105.4363892,3.263004797,1695567102.1789174,1695567105.436287,3.257184342
13-000000000535,1695567101.9793131,1695567105.4505534,3.471237472,1695567102.1685536,1695567105.4474237,3.278865874,1695567102.175184,1695567105.44732,3.271944052
25-000000560759,1695567102.0503347,1695567105.4543521,3.404014547,1695567102.1691804,1695567105.4506161,3.281430921,1695567102.1732285,1695567105.4505253,3.277110192
26-000000571463,1695567102.053416,1695567105.490551,3.437131408,1695567102.1679914,1695567105.4802823,3.312285744,1695567102.1733751,1695567105.4801786,3.306588167
10-000000007242,1695567101.9691892,1695567105.53476,3.56556753,1695567102.1715326,1695567105.530411,3.358873866,1695567102.1766813,1695567105.5303526,3.353464356
2-000000000276,1695567101.9324908,1695567105.5403967,3.607903024,1695567102.168015,1695567105.536664,3.368644277,1695567102.1731966,1695567105.5365472,3.363031323
8-000000000771,1695567101.960776,1695567105.545994,3.585214869,1695567102.163663,1695567105.5427485,3.379080455,1695567102.1687582,1695567105.5426428,3.37367027
15-000000114471,1695567101.9905994,1695567105.5520027,3.561400234,1695567102.1833599,1695567105.5479321,3.364566186,1695567102.1898022,1695567105.5478177,3.357810041
29-000000574730,1695567102.0663326,1695567105.5745096,3.508173812,1695567102.1664546,1695567105.5695958,3.403136512,1695567102.1711724,1695567105.5694726,3.398084708
14-000000020674,1695567101.9862113,1695567105.5768898,3.590675608,1695567102.1695473,1695567105.571091,3.40153802,1695567102.1752367,1695567105.5709972,3.395559482
3-000000000549,1695567101.9366813,1695567105.5857222,3.649037618,1695567102.163626,1695567105.5767438,3.413113048,1695567102.1691601,1695567105.5766346,3.407262166
0-000000000178,1695567101.9192324,1695567105.5882797,3.669044143,1695567102.1825848,1695567105.5817788,3.399188702,1695567102.1878877,1695567105.5816724,3.393575262
7-000000000694,1695567101.9562309,1695567105.5929186,3.636684467,1695567102.16861,1695567105.588312,3.419697286,1695567102.1742923,1695567105.5881958,3.413677244
4-000000000718,1695567101.940686,1695567105.596575,3.655886111,1695567102.1586564,1695567105.5930214,3.434359833,1695567102.1633759,1695567105.592905,3.429317895
5-000000011517,1695567101.943529,1695567105.6007762,3.657245081,1695567102.1639886,1695567105.597949,3.433954989,1695567102.1696014,1695567105.5978382,3.428032321
24-000000105659,1695567102.0470576,1695567105.6134832,3.56642203,1695567102.1664662,1695567105.6104524,3.443981359,1695567102.1713405,1695567105.6103532,3.438798997
12-000000018852,1695567101.9757936,1695567105.6233969,3.647600186,1695567102.1621575,1695567105.6200936,3.457931032,1695567102.167491,1695567105.619983,3.452263809
9-000000001371,1695567101.9641206,1695567105.6326396,3.668516683,1695567102.1926513,1695567105.6288776,3.436219954,1695567102.1990926,1695567105.6287653,3.429429548
23-000000576217,1695567102.0438619,1695567105.6429076,3.599042649,1695567102.1729057,1695567105.639324,3.466412702,1695567102.177703,1695567105.6392121,3.461297164
11-000000012287,1695567101.9723027,1695567105.6553993,3.683094072,1695567102.1698472,1695567105.65144,3.481587668,1695567102.1752005,1695567105.6513228,3.475898891
17-000000020717,1695567102.0045965,1695567105.659411,3.654811149,1695567102.164834,1695567105.6557496,3.490910424,1695567102.1701055,1695567105.6556368,3.485315087
21-000000219090,1695567102.0354002,1695567105.6804976,3.645093991,1695567102.169305,1695567105.677236,3.507925608,1695567102.174247,1695567105.6771297,3.502690395
1-000000000001,1695567101.9286046,1695567105.6872265,3.758618733,1695567102.162973,1695567105.6836452,3.520667484,1695567102.1684713,1695567105.683541,3.514862134
20-000000568423,1695567102.030365,1695567105.6964622,3.666093939,1695567102.1621428,1695567105.693451,3.531303031,1695567102.166675,1695567105.6933484,3.526427776
6-000000000570,1695567101.9478133,1695567105.700424,3.752608128,1695567102.1763754,1695567105.6965919,3.520211039,1695567102.1847107,1695567105.6965313,3.511611211
18-000000033030,1695567102.008056,1695567105.7100756,3.702016822,1695567102.374092,1695567105.7069795,3.332882967,1695567102.3808453,1695567105.7068903,3.325842766
19-000000569105,1695567102.020131,1695567105.7189376,3.698803417,1695567102.1662333,1695567105.715839,3.549600398,1695567102.1726363,1695567105.7157779,3.542931494
27-000000579670,1695567102.0574064,1695567105.7765138,3.719104662,1695567102.3771071,1695567105.7726984,3.395586274,1695567102.382598,1695567105.7725897,3.389784386
