id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
25-000000560759,1695567123.2730184,1695567129.150318,5.877295519,1695567125.347971,1695567129.1462088,3.798230545,1695567125.389089,1695567129.1460323,3.756735146
6-000000000570,1695567123.0319397,1695567129.353799,6.321855689,1695567125.3514934,1695567129.3510277,3.999304629,1695567125.39915,1695567129.3508337,3.951248651
21-000000219090,1695567123.2269146,1695567129.6636336,6.436715664,1695567125.4267836,1695567129.6602707,4.23304105,1695567125.4763157,1695567129.6600783,4.183091047
11-000000012287,1695567123.0783882,1695567129.7240896,6.645698128,1695567125.4154875,1695567129.7205555,4.305058794,1695567125.4599555,1695567129.7203724,4.260137326
13-000000000535,1695567123.0898368,1695567129.9144886,6.824648259,1695567125.4272377,1695567129.9106946,4.483440984,1695567125.4774315,1695567129.9104836,4.432825841
19-000000569105,1695567123.1825395,1695567130.11599,6.933446641,1695567125.4313915,1695567130.1124015,4.680513071,1695567125.4812953,1695567130.1121962,4.630181808
27-000000579670,1695567123.2919836,1695567130.2946384,7.002651807,1695567125.414312,1695567130.2899027,4.875582502,1695567125.4619458,1695567130.2897017,4.827486954
8-000000000771,1695567123.0558727,1695567130.338908,7.28303186,1695567125.46625,1695567130.3354712,4.86921248,1695567125.5152943,1695567130.3352702,4.819735925
7-000000000694,1695567123.0462122,1695567130.3550253,7.308786553,1695567125.4756742,1695567130.351155,4.875471264,1695567125.525,1695567130.3509452,4.825708302
16-000000027473,1695567123.1217291,1695567130.4480371,7.326305271,1695567125.4185717,1695567130.4449568,5.026376573,1695567125.4682093,1695567130.4447632,4.976319267
4-000000000718,1695567123.0106142,1695567130.585026,7.574408379,1695567125.423668,1695567130.5808117,5.157135644,1695567125.4746692,1695567130.580607,5.105708931
24-000000105659,1695567123.2589724,1695567130.7254674,7.466492325,1695567125.4315772,1695567130.7215047,5.289916078,1695567125.4810839,1695567130.7213187,5.239990545
9-000000001371,1695567123.060523,1695567130.7941763,7.733650129,1695567125.4328067,1695567130.7908592,5.358042392,1695567125.4826684,1695567130.7906578,5.307760876
10-000000007242,1695567123.0733807,1695567131.1184335,8.045048918,1695567125.4437757,1695567131.1143944,5.670609934,1695567125.4919717,1695567131.114189,5.621977664
1-000000000001,1695567122.9860818,1695567131.2844164,8.298331532,1695567125.4527516,1695567131.2804644,5.827694765,1695567125.5023408,1695567131.2802553,5.777681464
22-000000020503,1695567123.2426896,1695567137.5865624,14.343869195,1695567125.3548262,1695567137.5837789,12.228785467,1695567125.396924,1695567137.5836003,12.186307423
29-000000574730,1695567123.3139136,1695567137.6088195,14.29490237,1695567125.3730042,1695567137.6058514,12.23282978,1695567125.4138415,1695567137.6056652,12.191607129
2-000000000276,1695567122.994865,1695567137.6633444,14.668475351,1695567125.4080782,1695567137.6589339,12.250845908,1695567125.4516904,1695567137.658726,12.206817691
0-000000000178,1695567122.9756913,1695567137.7937138,14.818018955,1695567125.421922,1695567137.790289,12.368354679,1695567125.47021,1695567137.7900953,12.319656187
12-000000018852,1695567123.0846725,1695567137.798088,14.713411497,1695567125.425386,1695567137.7936778,12.368283883,1695567125.4738467,1695567137.793489,12.319413115
5-000000011517,1695567123.0163496,1695567137.843096,14.82674332,1695567125.3840435,1695567137.839598,12.45515247,1695567125.4323106,1695567137.8393881,12.406442859
28-000000576965,1695567123.3019097,1695567137.8817825,14.579869084,1695567125.4192338,1695567137.8781557,12.45891275,1695567125.467724,1695567137.8779557,12.410001821
23-000000576217,1695567123.2557616,1695567138.0600815,14.804316264,1695567125.4304583,1695567138.0564594,12.625540769,1695567125.479227,1695567138.0562139,12.576290314
26-000000571463,1695567123.2830172,1695567138.0896711,14.806650719,1695567125.432798,1695567138.0861282,12.653321806,1695567125.481615,1695567138.085932,12.604076625
3-000000000549,1695567123.0058055,1695567138.2703097,15.264500956,1695567125.449868,1695567138.267049,12.817170166,1695567125.49789,1695567138.2668562,12.768737114
20-000000568423,1695567123.2185698,1695567138.3178473,15.099273704,1695567125.4379137,1695567138.3134234,12.875501168,1695567125.4850936,1695567138.3131983,12.827872644
15-000000114471,1695567123.1135967,1695567138.3232794,15.209679469,1695567125.4150968,1695567138.3199759,12.904869347,1695567125.4841218,1695567138.319777,12.835394856
18-000000033030,1695567123.1563568,1695567138.3751903,15.218830274,1695567125.4433851,1695567138.3714845,12.928089906,1695567125.4941592,1695567138.3712707,12.876854933
14-000000020674,1695567123.0994272,1695567138.824178,15.724747225,1695567125.5195415,1695567138.8205934,13.301042801,1695567125.5924094,1695567138.82039,13.227728755
17-000000020717,1695567123.1334329,1695567139.2408204,16.107383817,1695567125.4318879,1695567139.2344615,13.802564861,1695567125.4846082,1695567139.2342546,13.749409286
