id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
1-000000000001,1695566936.102061,1695566945.164682,9.06261769,1695566937.5138507,1695566945.1599777,7.646120301,1695566937.5533342,1695566945.1597521,7.606195426
19-000000569105,1695566936.187081,1695566945.6504922,9.463407978,1695566937.5276635,1695566945.6467419,8.119070568,1695566937.5694318,1695566945.646504,8.076848045
0-000000000178,1695566936.095635,1695566946.1534631,10.057825354,1695566937.5159385,1695566946.1486394,8.632693296,1695566937.5564222,1695566946.1484034,8.591756311
15-000000114471,1695566936.1619413,1695566946.1549273,9.992983562,1695566937.5464194,1695566946.1517553,8.605327741,1695566937.5887547,1695566946.1515195,8.562533846
3-000000000549,1695566936.1094296,1695566946.7357452,10.626312752,1695566937.5627809,1695566946.7318602,9.169071346,1695566937.6034293,1695566946.731628,9.127975527
24-000000105659,1695566936.2082458,1695566947.1386259,10.930376892,1695566937.513056,1695566947.1351714,9.622106759,1695566937.552885,1695566947.1348941,9.581783025
14-000000020674,1695566936.1581178,1695566947.293282,11.135161123,1695566937.5841558,1695566947.289565,9.705399986,1695566937.6252065,1695566947.289312,9.663881183
21-000000219090,1695566936.1955495,1695566947.4107704,11.215218109,1695566937.5218182,1695566947.405996,9.884169413,1695566937.562828,1695566947.405763,9.842681463
8-000000000771,1695566936.1330702,1695566947.7217338,11.588660558,1695566937.5278397,1695566947.7172246,10.189359443,1695566937.568403,1695566947.7169652,10.148332038
23-000000576217,1695566936.2043831,1695566948.0679188,11.863532894,1695566937.5238605,1695566948.0649152,10.541046705,1695566937.5632734,1695566948.0646765,10.50118688
10-000000007242,1695566936.1419654,1695566948.1998076,12.05783966,1695566937.5947208,1695566948.196049,10.601319606,1695566937.6360776,1695566948.195776,10.55947155
28-000000576965,1695566936.2273343,1695566948.2375255,12.010189025,1695566937.5503752,1695566948.234088,10.683705108,1695566937.5924554,1695566948.2338464,10.641159639
5-000000011517,1695566936.116615,1695566948.3726494,12.256031687,1695566937.5279684,1695566948.3681095,10.84013303,1695566937.5686703,1695566948.3678613,10.798962995
13-000000000535,1695566936.1517618,1695566948.4547184,12.302954074,1695566937.552487,1695566948.4509673,10.898471885,1695566937.5956132,1695566948.4507325,10.854861966
12-000000018852,1695566936.148596,1695566948.6487918,12.50019317,1695566937.5581036,1695566948.6449418,11.08682953,1695566937.5983891,1695566948.644709,11.0460939
7-000000000694,1695566936.1284275,1695566948.649868,12.521438124,1695566937.5969162,1695566948.6457155,11.048790704,1695566937.6386135,1695566948.6454706,11.006631352
18-000000033030,1695566936.1803184,1695566948.7163956,12.536073516,1695566937.5578551,1695566948.7124476,11.154583631,1695566937.601089,1695566948.7121983,11.110883126
29-000000574730,1695566936.2311997,1695566948.848464,12.617261902,1695566937.6012056,1695566948.8444111,11.243196849,1695566937.6405346,1695566948.8441586,11.203395824
20-000000568423,1695566936.1927507,1695566948.9275074,12.734753843,1695566937.566986,1695566948.923358,11.356363864,1695566937.6065176,1695566948.9231243,11.316376697
16-000000027473,1695566936.1704214,1695566949.1352415,12.964816927,1695566937.5869143,1695566949.1309838,11.544062317,1695566937.6291397,1695566949.1307552,11.501392787
17-000000020717,1695566936.1762009,1695566949.1516623,12.975458312,1695566937.540601,1695566949.147663,11.607053783,1695566937.581102,1695566949.1474292,11.566100192
11-000000012287,1695566936.14513,1695566949.164543,13.019410226,1695566937.580793,1695566949.160395,11.579577484,1695566937.6210575,1695566949.1601403,11.538861406
6-000000000570,1695566936.1204352,1695566949.180659,13.060221126,1695566937.62148,1695566949.176643,11.555154395,1695566937.6675448,1695566949.1763637,11.508597168
2-000000000276,1695566936.1057513,1695566949.3376527,13.231898653,1695566937.5983875,1695566949.3324168,11.734020692,1695566937.6388843,1695566949.332234,11.693127999
25-000000560759,1695566936.2164667,1695566949.4502525,13.233782559,1695566937.6571207,1695566949.4464307,11.78930221,1695566937.696892,1695566949.4461904,11.749051199
26-000000571463,1695566936.2206464,1695566949.615962,13.39531307,1695566937.5493045,1695566949.6118257,12.062487383,1695566937.5897403,1695566949.6115706,12.02161165
4-000000000718,1695566936.1136265,1695566949.7543373,13.640708192,1695566937.5928018,1695566949.7506845,12.157874099,1695566937.6327097,1695566949.7504191,12.117487071
22-000000020503,1695566936.2009056,1695566949.7883525,13.58744388,1695566937.5619354,1695566949.7836182,12.221673861,1695566937.6014066,1695566949.7833705,12.181738131
27-000000579670,1695566936.224008,1695566950.1709306,13.946920194,1695566937.6370308,1695566950.166863,12.529823973,1695566937.6823416,1695566950.1666121,12.484042459
9-000000001371,1695566936.1365795,1695566950.4639893,14.327406823,1695566937.657842,1695566950.460476,12.802624498,1695566937.7043262,1695566950.4602358,12.755684534
