id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
19-000000569105,1695567468.9354467,1695567470.2826006,1.347150989,1695567469.0631852,1695567470.279363,1.21617238,1695567469.0696332,1695567470.279291,1.209447842
25-000000560759,1695567468.9558945,1695567470.2837677,1.327871495,1695567469.0690265,1695567470.2793107,1.210279252,1695567469.073632,1695567470.2792215,1.205384712
23-000000576217,1695567468.9499946,1695567470.2843735,1.334377329,1695567469.0794163,1695567470.278677,1.199256187,1695567469.0842855,1695567470.2785912,1.194108461
24-000000105659,1695567468.9527318,1695567470.2851613,1.33242741,1695567469.0636451,1695567470.2818124,1.218161934,1695567469.0684907,1695567470.2817478,1.213051502
28-000000576965,1695567468.966066,1695567470.2943935,1.328322783,1695567469.0686662,1695567470.2853343,1.216662784,1695567469.0745273,1695567470.2852557,1.210521869
1-000000000001,1695567468.8456173,1695567470.3013852,1.455764456,1695567469.064537,1695567470.2867286,1.222187116,1695567469.0697904,1695567470.2866576,1.216652594
3-000000000549,1695567468.8549573,1695567470.3040025,1.449041856,1695567469.0622602,1695567470.286676,1.224411149,1695567469.067929,1695567470.2865818,1.218431038
11-000000012287,1695567468.8943317,1695567470.3059545,1.41162031,1695567469.0669746,1695567470.2875032,1.220523658,1695567469.0722935,1695567470.2874036,1.21489901
12-000000018852,1695567468.8976574,1695567470.3072236,1.409563955,1695567469.070744,1695567470.286767,1.21601759,1695567469.0759745,1695567470.2866535,1.210462932
20-000000568423,1695567468.9402518,1695567470.3118696,1.371615126,1695567469.0657828,1695567470.2867641,1.220975735,1695567469.0703483,1695567470.286655,1.216095333
14-000000020674,1695567468.9092975,1695567470.3128781,1.403578087,1695567469.067988,1695567470.287688,1.219695604,1695567469.0738451,1695567470.2875645,1.213499395
4-000000000718,1695567468.859497,1695567470.3146253,1.455125922,1695567469.056461,1695567470.2892528,1.23278696,1695567469.0611725,1695567470.28914,1.227757767
26-000000571463,1695567468.9587126,1695567470.3157961,1.357081653,1695567469.0775423,1695567470.2890024,1.211455038,1695567469.0828168,1695567470.2889287,1.205905968
29-000000574730,1695567468.9700348,1695567470.3167176,1.346680848,1695567469.0684905,1695567470.289226,1.22073037,1695567469.0729601,1695567470.2891624,1.215980503
13-000000000535,1695567468.9012907,1695567470.3182328,1.416939365,1695567469.0675213,1695567470.2912316,1.223705311,1695567469.07499,1695567470.2911308,1.215932298
2-000000000276,1695567468.8492694,1695567470.3192873,1.470015378,1695567469.0620759,1695567470.291186,1.229104466,1695567469.0670676,1695567470.291081,1.223805414
10-000000007242,1695567468.891313,1695567470.3198762,1.428560992,1695567469.06439,1695567470.2914593,1.227064605,1695567469.0693028,1695567470.2913623,1.221848811
8-000000000771,1695567468.882181,1695567470.3204145,1.438230815,1695567469.0627322,1695567470.2930586,1.230321467,1695567469.0680227,1695567470.2929888,1.224758964
22-000000020503,1695567468.9466097,1695567470.3212814,1.374670186,1695567469.06624,1695567470.2975593,1.231314288,1695567469.0714822,1695567470.2974381,1.225745992
16-000000027473,1695567468.9202535,1695567470.3223953,1.40213993,1695567469.0682259,1695567470.3009057,1.232675026,1695567469.0745492,1695567470.300812,1.226017023
17-000000020717,1695567468.9260042,1695567470.322968,1.396960969,1695567469.0637846,1695567470.300772,1.236982176,1695567469.0686014,1695567470.3006968,1.231880187
9-000000001371,1695567468.8857305,1695567470.3234982,1.437765625,1695567469.0724285,1695567470.3056207,1.233187453,1695567469.0788503,1695567470.3055475,1.226482525
5-000000011517,1695567468.8631284,1695567470.324055,1.460924256,1695567469.061839,1695567470.3092828,1.247438267,1695567469.067561,1695567470.309174,1.24140191
15-000000114471,1695567468.9138186,1695567470.3245673,1.410746686,1695567469.077615,1695567470.3087106,1.231090682,1695567469.0839298,1695567470.3086088,1.224469061
0-000000000178,1695567468.8391428,1695567470.3251379,1.485992115,1695567469.0669675,1695567470.3095503,1.242577803,1695567469.0724516,1695567470.3094468,1.236788454
27-000000579670,1695567468.962323,1695567470.32571,1.363385208,1695567469.0708818,1695567470.3112738,1.240386755,1695567469.076354,1695567470.3111768,1.234602525
21-000000219090,1695567468.9427805,1695567470.3262315,1.383449188,1695567469.0764737,1695567470.313063,1.236583998,1695567469.082038,1695567470.3129609,1.230714198
7-000000000694,1695567468.8777332,1695567470.3317647,1.454028715,1695567469.0717728,1695567470.3282244,1.256446973,1695567469.07752,1695567470.3281517,1.250418517
18-000000033030,1695567468.92928,1695567470.3369853,1.40770308,1695567469.073159,1695567470.333859,1.260694407,1695567469.0800788,1695567470.3337407,1.253453192
6-000000000570,1695567468.8674939,1695567470.574409,1.706912513,1695567469.0741076,1695567470.5710223,1.496909823,1695567469.0835176,1695567470.5709257,1.487162369
