id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
21-000000219090,1695567471.1554172,1695567475.531537,4.376116332,1695567472.9985657,1695567475.5272396,2.528666532,1695567473.0385368,1695567475.526995,2.488234204
11-000000012287,1695567471.113456,1695567475.6080275,4.494568211,1695567473.0806997,1695567475.6030653,2.522357321,1695567473.1213996,1695567475.602829,2.481203763
4-000000000718,1695567471.0842712,1695567475.6744885,4.590195131,1695567473.0900958,1695567475.6711674,2.581063134,1695567473.1298048,1695567475.6709645,2.540925765
16-000000027473,1695567471.135667,1695567475.7489152,4.613245212,1695567473.097232,1695567475.744789,2.647548616,1695567473.1381073,1695567475.7446039,2.606279282
24-000000105659,1695567471.1654599,1695567475.8796163,4.714151928,1695567473.1828003,1695567475.8756855,2.69287705,1695567473.2224889,1695567475.8754878,2.652777735
27-000000579670,1695567471.1745698,1695567476.0873008,4.912727624,1695567473.2223468,1695567476.0832634,2.860908172,1695567473.2637327,1695567476.083006,2.819035089
23-000000576217,1695567471.1623595,1695567476.2116477,5.049285179,1695567473.197574,1695567476.2078211,3.010239002,1695567473.2369263,1695567476.207601,2.970455044
29-000000574730,1695567471.1818216,1695567477.9736784,6.79185366,1695567473.007036,1695567477.9696283,4.962582975,1695567473.0456762,1695567477.9694083,4.923516883
9-000000001371,1695567471.1058435,1695567478.1827335,7.076886825,1695567473.0005033,1695567478.1788728,5.178361543,1695567473.04341,1695567478.178643,5.135007926
28-000000576965,1695567471.1779587,1695567478.4590154,7.281054053,1695567473.016985,1695567478.4557142,5.43872096,1695567473.0588996,1695567478.4555082,5.396381924
7-000000000694,1695567471.098489,1695567478.4614666,7.362974536,1695567473.0645509,1695567478.4579482,5.393381571,1695567473.1052675,1695567478.4577208,5.352194306
10-000000007242,1695567471.1107,1695567478.4760468,7.365343384,1695567473.0894022,1695567478.4707048,5.381293153,1695567473.1291108,1695567478.4703534,5.341011299
20-000000568423,1695567471.1526449,1695567478.478193,7.325544925,1695567473.0717678,1695567478.4733074,5.401531036,1695567473.1115386,1695567478.4730973,5.361314133
14-000000020674,1695567471.1257882,1695567478.4889023,7.363111728,1695567473.0892153,1695567478.4852645,5.396041756,1695567473.131329,1695567478.4850008,5.353440058
13-000000000535,1695567471.1198823,1695567478.5824008,7.46251534,1695567473.0689743,1695567478.578577,5.509594536,1695567473.1116068,1695567478.5783324,5.46649856
19-000000569105,1695567471.1480718,1695567478.6690853,7.521010652,1695567473.19486,1695567478.665662,5.4707936,1695567473.236344,1695567478.6654584,5.428889551
12-000000018852,1695567471.1166997,1695567478.7079263,7.591223842,1695567473.201519,1695567478.7042038,5.502676193,1695567473.242547,1695567478.7039514,5.461177305
5-000000011517,1695567471.0875359,1695567478.7162101,7.628671417,1695567473.2113633,1695567478.7106848,5.499312771,1695567473.2525103,1695567478.710469,5.45772256
1-000000000001,1695567471.068624,1695567478.7193487,7.650721146,1695567473.210951,1695567478.7125647,5.501605391,1695567473.251308,1695567478.712363,5.460833994
6-000000000570,1695567471.0910795,1695567478.7911842,7.700101201,1695567473.1019773,1695567478.7868822,5.684896328,1695567473.14861,1695567478.7866576,5.637810789
26-000000571463,1695567471.171024,1695567478.9639826,7.79295567,1695567473.2163928,1695567478.9607668,5.744366506,1695567473.2566547,1695567478.9605062,5.703599712
8-000000000771,1695567471.1027007,1695567479.4974718,8.394767711,1695567472.9841564,1695567479.4938524,6.509687704,1695567473.0248048,1695567479.493613,6.468581857
25-000000560759,1695567471.1681583,1695567479.6421666,8.474005328,1695567473.074381,1695567479.6385238,6.564134784,1695567473.1142747,1695567479.638338,6.523839654
22-000000020503,1695567471.1591551,1695567479.6962194,8.537060892,1695567472.9911401,1695567479.6918316,6.700682879,1695567473.031021,1695567479.691583,6.660337508
15-000000114471,1695567471.129666,1695567479.9509892,8.821320287,1695567473.2104015,1695567479.9469814,6.736553804,1695567473.2535245,1695567479.946768,6.693020872
2-000000000276,1695567471.0736992,1695567479.9523997,8.878697456,1695567473.07833,1695567479.948707,6.87036808,1695567473.1184402,1695567479.9485157,6.829851821
0-000000000178,1695567471.0628328,1695567479.9656546,8.902818615,1695567473.0748875,1695567479.9619966,6.887101282,1695567473.1150684,1695567479.9617448,6.846450164
18-000000033030,1695567471.142874,1695567479.9688518,8.825975028,1695567473.1033132,1695567479.9658673,6.862544975,1695567473.1462152,1695567479.9656258,6.819179075
3-000000000549,1695567471.0805104,1695567480.0461464,8.963431783,1695567473.212969,1695567480.0369344,6.823956699,1695567473.254147,1695567480.0366778,6.782305558
17-000000020717,1695567471.1402175,1695567480.0850863,8.944865351,1695567473.0790539,1695567480.0808716,7.001790866,1695567473.1188562,1695567480.0806308,6.961547222
