id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
7-000000000694,1695567596.8806825,1695567600.8756886,3.995002261,1695567598.5709116,1695567600.8717363,2.300816316,1695567598.6192706,1695567600.8715792,2.252075525
10-000000007242,1695567596.8957598,1695567601.0683131,4.172550486,1695567598.5863373,1695567601.0649288,2.478582715,1695567598.633833,1695567601.064769,2.430679646
20-000000568423,1695567596.9434466,1695567601.28572,4.342270674,1695567598.605621,1695567601.281505,2.675874498,1695567598.6530209,1695567601.2812335,2.627967005
17-000000020717,1695567596.929881,1695567601.3247428,4.394859101,1695567598.4791026,1695567601.3213053,2.842183036,1695567598.5203264,1695567601.3211606,2.800618583
8-000000000771,1695567596.8856976,1695567601.3329618,4.447259928,1695567598.493712,1695567601.326064,2.832343709,1695567598.5363662,1695567601.3258936,2.789312999
13-000000000535,1695567596.9082484,1695567601.3828485,4.474596608,1695567598.6045218,1695567601.3786955,2.774160901,1695567598.6551795,1695567601.3784919,2.723080704
12-000000018852,1695567596.903842,1695567601.390303,4.486457536,1695567598.5333347,1695567601.3834648,2.850115149,1695567598.5761223,1695567601.3832808,2.806951356
9-000000001371,1695567596.8897927,1695567601.433304,4.543508033,1695567598.544364,1695567601.4297214,2.885346442,1695567598.587475,1695567601.4295347,2.841844199
6-000000000570,1695567596.8716664,1695567601.454629,4.582959293,1695567598.5205994,1695567601.4501488,2.929541458,1695567598.5678506,1695567601.4499896,2.881918569
18-000000033030,1695567596.9333124,1695567601.536987,4.603671809,1695567598.621057,1695567601.5331168,2.912050791,1695567598.6712313,1695567601.5328958,2.861440765
24-000000105659,1695567596.9561043,1695567601.635255,4.679148364,1695567598.650533,1695567601.6267684,2.976226311,1695567598.6990712,1695567601.6265783,2.927267732
5-000000011517,1695567596.8676171,1695567601.7669182,4.899298267,1695567598.5678763,1695567601.7622485,3.194363229,1695567598.6164012,1695567601.7620769,3.145441713
29-000000574730,1695567596.9726706,1695567601.8601444,4.887471064,1695567598.6043122,1695567601.8557434,3.251418151,1695567598.651119,1695567601.8555446,3.204194509
26-000000571463,1695567596.9618158,1695567601.8845105,4.922692392,1695567598.654098,1695567601.8806129,3.226503026,1695567598.7021205,1695567601.8804379,3.178086503
0-000000000178,1695567596.847466,1695567601.937651,5.090181059,1695567598.6063051,1695567601.9332094,3.326895764,1695567598.6545632,1695567601.9330096,3.278202567
16-000000027473,1695567596.9251435,1695567602.0484393,5.123292838,1695567598.6040034,1695567602.0449567,3.440943422,1695567598.6530986,1695567602.0447981,3.391456003
4-000000000718,1695567596.8641217,1695567602.1592574,5.295132683,1695567598.608689,1695567602.155388,3.54669125,1695567598.6567986,1695567602.155228,3.49818153
15-000000114471,1695567596.9195607,1695567602.2914562,5.371891727,1695567598.612766,1695567602.2877026,3.674922998,1695567598.6605504,1695567602.2875338,3.626745967
1-000000000001,1695567596.8533323,1695567602.4184864,5.565150138,1695567598.6090765,1695567602.4143593,3.805274534,1695567598.6575558,1695567602.414217,3.756306704
21-000000219090,1695567596.9462872,1695567602.572,5.625710269,1695567598.6136549,1695567602.5653594,3.951697398,1695567598.6613965,1695567602.5651495,3.903516919
11-000000012287,1695567596.9004276,1695567602.7310872,5.830656463,1695567598.6283984,1695567602.7272453,4.098838643,1695567598.6769326,1695567602.7270846,4.04992168
27-000000579670,1695567596.9652836,1695567602.7978628,5.832576503,1695567598.5670767,1695567602.7932062,4.22611248,1695567598.6156292,1695567602.793029,4.177164103
23-000000576217,1695567596.9531288,1695567602.892329,5.939197533,1695567598.6312287,1695567602.8881953,4.256951875,1695567598.679966,1695567602.8879921,4.207799044
25-000000560759,1695567596.9588377,1695567603.1535757,6.194734739,1695567598.6256418,1695567603.149591,4.523941707,1695567598.6738334,1695567603.1494334,4.47536386
3-000000000549,1695567596.8602426,1695567603.4304469,6.570201749,1695567598.5890677,1695567603.4205322,4.831456988,1695567598.636782,1695567603.4203722,4.783364223
14-000000020674,1695567596.9149559,1695567603.539047,6.624088005,1695567598.641677,1695567603.5326254,4.890938558,1695567598.6910963,1695567603.532453,4.841114366
28-000000576965,1695567596.9686518,1695567603.6878948,6.71924024,1695567598.6304154,1695567603.6833484,5.052923697,1695567598.6793597,1695567603.683152,5.003553
19-000000569105,1695567596.9391046,1695567603.79107,6.851962309,1695567598.7054985,1695567603.7875133,5.082006392,1695567598.7580116,1695567603.787363,5.029109894
22-000000020503,1695567596.9499266,1695567603.7972727,6.847343188,1695567598.6115923,1695567603.7929616,5.181362255,1695567598.660521,1695567603.7927825,5.132027607
2-000000000276,1695567596.8568614,1695567603.7982626,6.94139864,1695567598.6148744,1695567603.7937267,5.178844749,1695567598.6635664,1695567603.7935066,5.129700371
