id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
22-000000020503,1695567605.3904502,1695567606.6953177,1.304862772,1695567605.7492547,1695567606.690511,0.941251952,1695567605.7537985,1695567606.690423,0.9364417
16-000000027473,1695567605.3001256,1695567606.7258575,1.42572775,1695567605.7547255,1695567606.7213964,0.966665656,1695567605.761142,1695567606.7213337,0.959990068
12-000000018852,1695567605.2244275,1695567606.7354743,1.511042787,1695567605.7387807,1695567606.7307105,0.991924392,1695567605.743936,1695567606.7306094,0.986471548
18-000000033030,1695567605.3503473,1695567606.737668,1.387316911,1695567605.7577977,1695567606.7324078,0.974604975,1695567605.763907,1695567606.7323484,0.968239842
25-000000560759,1695567605.421651,1695567606.7421772,1.320522706,1695567605.7314644,1695567606.7385256,1.007056287,1695567605.7360523,1695567606.7384615,1.002208555
14-000000020674,1695567605.2368205,1695567606.7485006,1.511675253,1695567605.75424,1695567606.742324,0.98807978,1695567605.7594283,1695567606.7422233,0.982603839
2-000000000276,1695567605.1138062,1695567606.759642,1.645831619,1695567605.7399619,1695567606.7548854,1.014918332,1695567605.744975,1695567606.7548153,1.009632597
7-000000000694,1695567605.1685352,1695567606.7642088,1.595669383,1695567605.7397044,1695567606.7578135,1.018104246,1695567605.7455192,1695567606.7577438,1.012015254
8-000000000771,1695567605.195245,1695567606.76647,1.571221216,1695567605.7429707,1695567606.7550213,1.012045011,1695567605.7481208,1695567606.7549095,1.006561544
21-000000219090,1695567605.3854334,1695567606.7676976,1.382260723,1695567605.7462976,1695567606.7604847,1.014181874,1695567605.7519162,1695567606.7604136,1.008293093
9-000000001371,1695567605.1992774,1695567606.7700765,1.570795503,1695567605.7388504,1695567606.7661085,1.027252714,1695567605.7457643,1695567606.766039,1.02006558
13-000000000535,1695567605.2281165,1695567606.773288,1.545168213,1695567605.7552812,1695567606.7689555,1.013668641,1695567605.7619061,1695567606.7688565,1.006758196
15-000000114471,1695567605.2664847,1695567606.7766247,1.510135393,1695567605.741375,1695567606.7717795,1.030398903,1695567605.7479038,1695567606.7717116,1.023593824
24-000000105659,1695567605.417221,1695567606.777932,1.36070825,1695567605.7492318,1695567606.7720888,1.02285208,1695567605.7542267,1695567606.7720182,1.017579741
4-000000000718,1695567605.1208873,1695567606.7791545,1.658264587,1695567605.7267897,1695567606.7739408,1.047146083,1695567605.7325177,1695567606.7738743,1.041136643
1-000000000001,1695567605.110432,1695567606.7804148,1.669911764,1695567605.7350044,1695567606.77566,1.040650622,1695567605.740232,1695567606.7755747,1.035125995
19-000000569105,1695567605.3625543,1695567606.7813673,1.418809951,1695567605.7584426,1695567606.7759004,1.017451503,1695567605.7647476,1695567606.7757933,1.010838181
10-000000007242,1695567605.2129738,1695567606.784215,1.571237868,1695567605.738815,1695567606.7802737,1.041453761,1695567605.743835,1695567606.7802014,1.036138391
26-000000571463,1695567605.4375892,1695567606.7916358,1.354041774,1695567605.7466614,1695567606.785267,1.038598128,1695567605.752092,1695567606.7851484,1.032843495
27-000000579670,1695567605.446283,1695567606.7981932,1.351906156,1695567605.7604988,1695567606.794516,1.034011288,1695567605.7658906,1695567606.7944357,1.028339381
3-000000000549,1695567605.1169858,1695567606.8020842,1.685094621,1695567605.7321677,1695567606.7971277,1.064135173,1695567605.7467308,1695567606.796969,1.049160165
17-000000020717,1695567605.3281596,1695567606.8032496,1.475085875,1695567605.7308934,1695567606.7965372,1.065639062,1695567605.7356522,1695567606.7964683,1.060602748
28-000000576965,1695567605.4639168,1695567606.809274,1.345352585,1695567605.7500548,1695567606.8047838,1.054724125,1695567605.758449,1695567606.8047128,1.046035781
29-000000574730,1695567605.4791436,1695567606.8109078,1.331759631,1695567605.7586772,1695567606.80582,1.047138307,1695567605.763092,1695567606.805708,1.042401443
20-000000568423,1695567605.3788989,1695567606.812485,1.433582828,1695567605.7357616,1695567606.8076367,1.071870111,1695567605.7403057,1695567606.8075533,1.067031421
11-000000012287,1695567605.2159827,1695567606.8155272,1.599540352,1695567605.7324224,1695567606.8112206,1.078793069,1695567605.7376878,1695567606.8111494,1.073249288
23-000000576217,1695567605.4105008,1695567606.8259566,1.415449252,1695567605.7475798,1695567606.8197846,1.072200094,1695567605.7525043,1695567606.8197072,1.066988844
0-000000000178,1695567605.1047626,1695567606.8297648,1.724998195,1695567605.7406201,1695567606.8259096,1.085284212,1695567605.7461004,1695567606.8258405,1.079524764
5-000000011517,1695567605.1450758,1695567606.9193566,1.774276338,1695567605.7370067,1695567606.9123662,1.175354402,1695567605.744546,1695567606.9122927,1.167488657
6-000000000570,1695567605.1566792,1695567606.9291203,1.772435038,1695567605.7573283,1695567606.9156063,1.158273125,1695567605.766718,1695567606.9154994,1.14856363
