id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
16-000000027473,1695567660.965387,1695567665.4588132,4.493421399,1695567662.8981047,1695567665.4509077,2.552794762,1695567662.9408453,1695567665.4507806,2.509721018
17-000000020717,1695567660.9701748,1695567665.6217647,4.651587376,1695567662.9387863,1695567665.6186757,2.679880932,1695567662.9866168,1695567665.618451,2.631572204
7-000000000694,1695567660.9200635,1695567665.7727706,4.852702758,1695567662.9613056,1695567665.7679849,2.8066706,1695567663.0170815,1695567665.7678165,2.750488449
20-000000568423,1695567660.9927022,1695567665.7790833,4.786376673,1695567662.9596112,1695567665.7750754,2.815455397,1695567663.0063002,1695567665.77494,2.768364618
11-000000012287,1695567660.9398725,1695567665.8340702,4.894194346,1695567662.9681573,1695567665.8301246,2.861956872,1695567663.0152864,1695567665.829931,2.814412793
0-000000000178,1695567660.8837903,1695567666.1149106,5.231117103,1695567663.004134,1695567666.110879,3.106736962,1695567663.0525236,1695567666.110663,3.057905213
27-000000579670,1695567661.0225573,1695567666.2107317,5.188171624,1695567662.9927046,1695567666.2071397,3.214423624,1695567663.0411325,1695567666.2069933,3.165621333
9-000000001371,1695567660.9304545,1695567666.377792,5.447334554,1695567662.986798,1695567666.373518,3.386710398,1695567663.0365849,1695567666.3733828,3.336554347
5-000000011517,1695567660.9071677,1695567666.566797,5.659626435,1695567663.0078938,1695567666.561751,3.55384329,1695567663.056958,1695567666.5615518,3.504328219
26-000000571463,1695567661.0180411,1695567666.6288676,5.610823644,1695567662.9904904,1695567666.6256006,3.635097198,1695567663.0477562,1695567666.6253903,3.577388377
21-000000219090,1695567660.998796,1695567666.6319234,5.633124292,1695567662.9214532,1695567666.628097,3.706635223,1695567662.9630013,1695567666.6279216,3.664710346
22-000000020503,1695567661.0038488,1695567666.6354809,5.631628812,1695567662.9087281,1695567666.6312108,3.722475125,1695567662.9505274,1695567666.6310372,3.680300803
14-000000020674,1695567660.955151,1695567666.7228706,5.767716031,1695567663.0282483,1695567666.7192028,3.690945565,1695567663.0776224,1695567666.7190547,3.641177733
1-000000000001,1695567660.890721,1695567666.757946,5.867221736,1695567663.01956,1695567666.7538264,3.734258561,1695567663.0686297,1695567666.7536867,3.684810265
8-000000000771,1695567660.9255757,1695567666.850616,5.925037685,1695567663.0264206,1695567666.8468883,3.820458865,1695567663.0863109,1695567666.8467488,3.760198489
18-000000033030,1695567660.9743214,1695567666.8938172,5.919492088,1695567663.014521,1695567666.8864393,3.871908598,1695567663.074336,1695567666.8862364,3.811668547
12-000000018852,1695567660.9436636,1695567666.9072144,5.963547456,1695567662.919331,1695567666.9025161,3.983168678,1695567662.9720414,1695567666.9023252,3.930029393
3-000000000549,1695567660.9004362,1695567667.1293406,6.228901186,1695567662.9418902,1695567667.1257887,4.183890607,1695567662.9859324,1695567667.1256404,4.139485484
10-000000007242,1695567660.9361675,1695567667.2073388,6.271167552,1695567663.0353098,1695567667.1970558,4.161737359,1695567663.0855873,1695567667.1969066,4.111080402
4-000000000718,1695567660.9041762,1695567667.23317,6.328990507,1695567663.0333025,1695567667.2290697,4.195147945,1695567663.0821657,1695567667.2289212,4.145910384
6-000000000570,1695567660.9109263,1695567667.259843,6.348913878,1695567663.0386972,1695567667.2558098,4.21710402,1695567663.0994644,1695567667.2556365,4.155898077
29-000000574730,1695567661.04201,1695567667.4060931,6.364079011,1695567663.0404656,1695567667.4021766,4.361694204,1695567663.091886,1695567667.4020214,4.309891173
19-000000569105,1695567660.9802897,1695567667.510397,6.530104232,1695567663.1181166,1695567667.506329,4.38820161,1695567663.1684268,1695567667.5061536,4.337482236
23-000000576217,1695567661.0072699,1695567667.6253188,6.618045882,1695567663.180081,1695567667.6215096,4.441410683,1695567663.2332313,1695567667.6213717,4.387887901
2-000000000276,1695567660.8964627,1695567667.7492445,6.852777608,1695567662.9947906,1695567667.743776,4.748972911,1695567663.044487,1695567667.7435935,4.698868978
25-000000560759,1695567661.0147786,1695567667.805721,6.790939458,1695567662.9901705,1695567667.8012908,4.811111477,1695567663.0427947,1695567667.801151,4.758117425
24-000000105659,1695567661.0110297,1695567668.193765,7.182731779,1695567663.0020173,1695567668.1900938,5.187473183,1695567663.0502238,1695567668.1899562,5.138901073
13-000000000535,1695567660.9478931,1695567668.5324526,7.58455633,1695567663.0630805,1695567668.527579,5.464488773,1695567663.1207733,1695567668.527444,5.406439302
15-000000114471,1695567660.9601026,1695567668.562467,7.602360569,1695567663.0241938,1695567668.5577729,5.53357019,1695567663.0755913,1695567668.5576007,5.481746658
28-000000576965,1695567661.0296748,1695567668.6128757,7.583196762,1695567663.0494447,1695567668.607281,5.557824775,1695567663.0984313,1695567668.6070185,5.508342244
