id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
14-000000020674,1695567680.5550108,1695567681.5136578,0.958643801,1695567680.782481,1695567681.5102067,0.727721162,1695567680.78768,1695567681.5101423,0.722269225
0-000000000178,1695567680.4952042,1695567681.517455,1.022247889,1695567680.7576494,1695567681.5138304,0.756175862,1695567680.763248,1695567681.5137336,0.75026894
15-000000114471,1695567680.5586987,1695567681.519441,0.960739343,1695567680.7717829,1695567681.5164096,0.744248461,1695567680.7780962,1695567681.5163505,0.737645835
1-000000000001,1695567680.5017302,1695567681.5204608,1.018727795,1695567680.7696679,1695567681.5167184,0.747045378,1695567680.774867,1695567681.5166264,0.741558749
25-000000560759,1695567680.6463466,1695567681.5213952,0.875046178,1695567680.767291,1695567681.5181873,0.750890661,1695567680.7719173,1695567681.5181248,0.745992204
29-000000574730,1695567680.6621792,1695567681.5221899,0.860008,1695567680.778606,1695567681.5186007,0.739990357,1695567680.7829688,1695567681.518527,0.735348724
3-000000000549,1695567680.5086594,1695567681.5230803,1.014418563,1695567680.7670684,1695567681.5196564,0.752583351,1695567680.773054,1695567681.519586,0.746324206
27-000000579670,1695567680.6538641,1695567681.526518,0.872651471,1695567680.7718601,1695567681.522411,0.750546039,1695567680.7772257,1695567681.522349,0.744917164
21-000000219090,1695567680.60051,1695567681.5351002,0.934585477,1695567680.7671645,1695567681.5310588,0.763889514,1695567680.77269,1695567681.5309963,0.758093865
18-000000033030,1695567680.5841644,1695567681.5378032,0.953636084,1695567680.7705061,1695567681.5322754,0.761764042,1695567680.778461,1695567681.5321922,0.753516193
7-000000000694,1695567680.527269,1695567681.5387106,1.011439199,1695567680.7719398,1695567681.5345297,0.762585633,1695567680.7776592,1695567681.5344625,0.756598272
9-000000001371,1695567680.5346043,1695567681.539445,1.004838838,1695567680.7764833,1695567681.5355365,0.759048738,1695567680.7832997,1695567681.535468,0.751958363
4-000000000718,1695567680.5124035,1695567681.5403051,1.027899598,1695567680.7618737,1695567681.5378563,0.775977982,1695567680.766783,1695567681.5377822,0.770782318
19-000000569105,1695567680.592265,1695567681.5410657,0.94879838,1695567680.768617,1695567681.5374372,0.768815429,1695567680.7749913,1695567681.537376,0.762168527
5-000000011517,1695567680.5154278,1695567681.5417466,1.026317126,1695567680.7642362,1695567681.5378654,0.773623296,1695567680.7699544,1695567681.5377996,0.767605147
20-000000568423,1695567680.5976386,1695567681.5424845,0.944843019,1695567680.7686694,1695567681.5389302,0.770241629,1695567680.7730918,1695567681.5388527,0.765558318
12-000000018852,1695567680.54561,1695567681.5433102,0.99769802,1695567680.7627518,1695567681.5380645,0.77530365,1695567680.7682087,1695567681.5379903,0.76956805
2-000000000276,1695567680.5053658,1695567681.5459728,1.040604461,1695567680.765274,1695567681.5423605,0.777081293,1695567680.7704747,1695567681.5422645,0.771571412
23-000000576217,1695567680.6201656,1695567681.5543487,0.934180469,1695567680.7848856,1695567681.5506637,0.765773571,1695567680.7918665,1695567681.5506024,0.758519712
26-000000571463,1695567680.6496205,1695567681.555414,0.905790814,1695567680.771574,1695567681.5510573,0.779478517,1695567680.7770474,1695567681.5509582,0.773700146
10-000000007242,1695567680.5395033,1695567681.5573654,1.017859658,1695567680.7663274,1695567681.5470366,0.780703825,1695567680.7714672,1695567681.5469725,0.775293016
8-000000000771,1695567680.53145,1695567681.5581384,1.026685434,1695567680.763363,1695567681.554089,0.790721029,1695567680.7686398,1695567681.553989,0.785129084
11-000000012287,1695567680.5423656,1695567681.5670052,1.024636144,1695567680.7904804,1695567681.5639334,0.773447787,1695567680.7971413,1695567681.563862,0.766507141
22-000000020503,1695567680.6069355,1695567681.5683246,0.961385559,1695567680.7621212,1695567681.5648892,0.802762646,1695567680.7682772,1695567681.564824,0.796332603
13-000000000535,1695567680.5485876,1695567681.5727968,1.024206836,1695567680.7800488,1695567681.569371,0.789315399,1695567680.7879043,1695567681.56904,0.780913871
17-000000020717,1695567680.580433,1695567681.5754209,0.994984224,1695567680.767846,1695567681.5702894,0.802437684,1695567680.772809,1695567681.5702155,0.797191241
16-000000027473,1695567680.5644128,1695567681.589434,1.025018177,1695567680.7775767,1695567681.5838246,0.806241588,1695567680.7842162,1695567681.5837226,0.799295058
6-000000000570,1695567680.5190217,1695567681.6245234,1.105499221,1695567680.77031,1695567681.6211915,0.850876022,1695567680.7798827,1695567681.6211267,0.841012676
28-000000576965,1695567680.6576412,1695567681.631742,0.974097687,1695567680.7653916,1695567681.6264596,0.861062948,1695567680.7714512,1695567681.626352,0.854689667
24-000000105659,1695567680.6423037,1695567681.6962132,1.053905328,1695567680.9789908,1695567681.6927395,0.713744146,1695567680.983363,1695567681.6926858,0.709134735
