id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
25-000000560759,1695567553.0930119,1695567556.190943,3.097927819,1695567554.4451861,1695567556.1873267,1.74211025,1695567554.4856548,1695567556.1870909,1.701206536
0-000000000178,1695567552.970482,1695567556.2283494,3.257863064,1695567554.4698145,1695567556.2243178,1.754494824,1695567554.5095255,1695567556.2240868,1.714339706
15-000000114471,1695567553.0444124,1695567556.2837307,3.239315321,1695567554.4677165,1695567556.2804127,1.812688022,1695567554.5100875,1695567556.2802122,1.769861527
4-000000000718,1695567552.9912283,1695567556.318523,3.327291214,1695567554.4708347,1695567556.3146532,1.843810082,1695567554.511604,1695567556.3144796,1.802650402
1-000000000001,1695567552.9781961,1695567556.3393757,3.361176269,1695567554.4975998,1695567556.335569,1.837960391,1695567554.5376549,1695567556.3353615,1.797479283
11-000000012287,1695567553.0247319,1695567556.3693645,3.344629752,1695567554.4936898,1695567556.365589,1.871891065,1695567554.534285,1695567556.3653631,1.830849359
21-000000219090,1695567553.0771005,1695567556.422557,3.345452581,1695567554.549206,1695567556.4184384,1.869224835,1695567554.589106,1695567556.4182549,1.828934586
20-000000568423,1695567553.0738368,1695567556.5011394,3.427299717,1695567554.5585928,1695567556.4976304,1.939030224,1695567554.5982554,1695567556.4973998,1.898889753
9-000000001371,1695567553.0155993,1695567556.59956,3.583957167,1695567554.5831177,1695567556.5957236,2.012596953,1695567554.6250343,1695567556.5955286,1.970259041
16-000000027473,1695567553.0523658,1695567556.6399732,3.587603394,1695567554.562632,1695567556.636103,2.073462323,1695567554.6045046,1695567556.6358378,2.031081646
8-000000000771,1695567553.0117695,1695567556.6999907,3.688218233,1695567554.5940423,1695567556.6953971,2.101327365,1695567554.6343625,1695567556.69516,2.060571993
18-000000033030,1695567553.0634084,1695567556.7299402,3.666528423,1695567554.5649848,1695567556.7258625,2.160868083,1695567554.6066842,1695567556.7256284,2.118720842
19-000000569105,1695567553.068827,1695567556.788188,3.719357723,1695567554.5658405,1695567556.7841942,2.218345802,1695567554.607884,1695567556.7840164,2.175907
13-000000000535,1695567553.032362,1695567556.8436718,3.811307325,1695567554.6090212,1695567556.839808,2.230778048,1695567554.6527374,1695567556.839612,2.186649367
5-000000011517,1695567552.9946983,1695567556.8625152,3.867814284,1695567554.575734,1695567556.8587825,2.283040029,1695567554.6168728,1695567556.8585613,2.241414888
10-000000007242,1695567553.0212834,1695567556.9005015,3.879215255,1695567554.5874872,1695567556.896243,2.30874677,1695567554.627688,1695567556.89607,2.268150651
3-000000000549,1695567552.9855518,1695567556.9486783,3.963123736,1695567554.7312286,1695567556.943871,2.212634647,1695567554.771261,1695567556.9436986,2.172212001
26-000000571463,1695567553.0965583,1695567557.0570242,3.9604629,1695567554.5966623,1695567557.0536482,2.456976833,1695567554.637649,1695567557.053396,2.415509223
22-000000020503,1695567553.0814438,1695567557.079122,3.997675539,1695567554.7322578,1695567557.0752206,2.342955049,1695567554.7725613,1695567557.0750499,2.302258368
7-000000000694,1695567553.0070822,1695567558.3986547,5.391569234,1695567554.4707174,1695567558.394933,3.924207026,1695567554.5113883,1695567558.394751,3.88314068
23-000000576217,1695567553.0852156,1695567558.4072526,5.322033399,1695567554.4673119,1695567558.4031312,3.935811654,1695567554.5074806,1695567558.4029515,3.895245844
12-000000018852,1695567553.0282981,1695567558.451183,5.422882393,1695567554.4826033,1695567558.446871,3.964259547,1695567554.524145,1695567558.4467015,3.922323227
28-000000576965,1695567553.1043792,1695567558.4731686,5.368786324,1695567554.517321,1695567558.4691663,3.951836483,1695567554.558321,1695567558.4689672,3.910412819
17-000000020717,1695567553.060065,1695567558.5384903,5.478421856,1695567554.5875666,1695567558.5349233,3.947348745,1695567554.6272125,1695567558.5347512,3.90730726
14-000000020674,1695567553.0397103,1695567558.5399206,5.500207971,1695567554.5816212,1695567558.5355155,3.953885327,1695567554.623626,1695567558.5352895,3.911431682
24-000000105659,1695567553.0891602,1695567558.634212,5.545048771,1695567554.5868134,1695567558.6303437,4.043522308,1695567554.626693,1695567558.6300817,4.0031633
29-000000574730,1695567553.1087081,1695567558.6415691,5.532857344,1695567554.633674,1695567558.6378384,4.004156277,1695567554.6757374,1695567558.6376014,3.961560134
6-000000000570,1695567552.9983878,1695567558.646275,5.647884634,1695567554.571341,1695567558.6428552,4.071504872,1695567554.6176615,1695567558.6426466,4.024753627
27-000000579670,1695567553.1007688,1695567558.7157943,5.615023021,1695567554.5908241,1695567558.7119045,4.121072117,1695567554.630958,1695567558.7117279,4.080530324
2-000000000276,1695567552.981948,1695567558.7439544,5.762002582,1695567554.5835009,1695567558.7384982,4.154989369,1695567554.630167,1695567558.738324,4.107926788
