id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
24-000000105659,1695567559.5726976,1695567560.293635,0.720933382,1695567559.7107315,1695567560.2896216,0.578885702,1695567559.7154992,1695567560.289537,0.573841403
23-000000576217,1695567559.5684922,1695567560.2986524,0.730156819,1695567559.7135043,1695567560.2948108,0.581302087,1695567559.7182298,1695567560.2947233,0.5762805
10-000000007242,1695567559.4949872,1695567560.2997746,0.804784534,1695567559.7045078,1695567560.2960136,0.591500865,1695567559.7095065,1695567560.2959518,0.586227634
14-000000020674,1695567559.5146754,1695567560.3027442,0.788066008,1695567559.7133203,1695567560.2986498,0.585324857,1695567559.7190921,1695567560.2985713,0.579275872
26-000000571463,1695567559.5790904,1695567560.304249,0.725156372,1695567559.7060313,1695567560.3015544,0.595518342,1695567559.711323,1695567560.3014624,0.589932298
5-000000011517,1695567559.4693077,1695567560.3051567,0.835846129,1695567559.7079139,1695567560.3014526,0.593533702,1695567559.7134814,1695567560.301378,0.587673435
3-000000000549,1695567559.4612362,1695567560.3071737,0.84593494,1695567559.7065833,1695567560.3038304,0.597241879,1695567559.7121682,1695567560.3037393,0.591364947
1-000000000001,1695567559.4510298,1695567560.3077247,0.856692103,1695567559.7114727,1695567560.3009982,0.589520729,1695567559.7167773,1695567560.300936,0.583947379
8-000000000771,1695567559.4861472,1695567560.3152614,0.82911132,1695567559.7085574,1695567560.3046074,0.596044783,1695567559.7137911,1695567560.3045404,0.590535326
21-000000219090,1695567559.5583577,1695567560.3176098,0.759248707,1695567559.709786,1695567560.3041537,0.594363273,1695567559.7153165,1695567560.304085,0.588561386
16-000000027473,1695567559.5250633,1695567560.3193867,0.794319518,1695567559.7056332,1695567560.3046763,0.599037923,1695567559.7122014,1695567560.3045774,0.592132028
2-000000000276,1695567559.4568007,1695567560.3208168,0.864013148,1695567559.7119467,1695567560.3062196,0.594267248,1695567559.7169764,1695567560.3061504,0.588970001
4-000000000718,1695567559.46553,1695567560.3214512,0.85591921,1695567559.70325,1695567560.3082006,0.604945386,1695567559.7079327,1695567560.3081357,0.599988971
17-000000020717,1695567559.5400357,1695567560.3220239,0.781985188,1695567559.7066185,1695567560.3100173,0.603394149,1695567559.711457,1695567560.3099415,0.598274116
29-000000574730,1695567559.5910363,1695567560.3226023,0.73156399,1695567559.7114472,1695567560.3092337,0.597781669,1695567559.715858,1695567560.3091657,0.593098838
11-000000012287,1695567559.4982767,1695567560.3231325,0.824853395,1695567559.7074442,1695567560.3098292,0.602380422,1695567559.7126334,1695567560.3097675,0.596927614
15-000000114471,1695567559.5192928,1695567560.3244092,0.805114192,1695567559.7183962,1695567560.3120728,0.593671089,1695567559.7248712,1695567560.3119776,0.586888368
9-000000001371,1695567559.4891546,1695567560.3250227,0.835865991,1695567559.7147005,1695567560.3133328,0.598627305,1695567559.721092,1695567560.3132699,0.591981152
19-000000569105,1695567559.5503895,1695567560.325693,0.775301181,1695567559.7128863,1695567560.3156154,0.602723585,1695567559.7193732,1695567560.315544,0.595962501
20-000000568423,1695567559.5557346,1695567560.326511,0.7707741,1695567559.702822,1695567560.315969,0.613142793,1695567559.7072914,1695567560.3159068,0.608408483
13-000000000535,1695567559.5081942,1695567560.3272135,0.819016558,1695567559.711823,1695567560.3161826,0.604354362,1695567559.7192535,1695567560.3161216,0.596656688
0-000000000178,1695567559.4423435,1695567560.3278058,0.885459992,1695567559.7074528,1695567560.317645,0.610187453,1695567559.7129092,1695567560.3175645,0.604434551
18-000000033030,1695567559.543184,1695567560.3286695,0.785482956,1695567559.7114468,1695567560.3195074,0.608056032,1695567559.7182949,1695567560.3194468,0.600944237
12-000000018852,1695567559.5029464,1695567560.3292675,0.826319143,1695567559.7075438,1695567560.3203177,0.612768024,1695567559.7127478,1695567560.3202555,0.607298961
7-000000000694,1695567559.4818962,1695567560.329779,0.847880361,1695567559.713571,1695567560.321227,0.607650937,1695567559.7193801,1695567560.3211677,0.601551785
28-000000576965,1695567559.5870492,1695567560.3306355,0.743584303,1695567559.718824,1695567560.3210766,0.602247859,1695567559.72463,1695567560.321013,0.596179651
27-000000579670,1695567559.5833044,1695567560.3312232,0.747916249,1695567559.7180266,1695567560.3213315,0.603299929,1695567559.723401,1695567560.321255,0.597651913
25-000000560759,1695567559.5760355,1695567560.3317847,0.755746418,1695567559.7147477,1695567560.3210196,0.606267011,1695567559.7194622,1695567560.320959,0.601290568
22-000000020503,1695567559.5627847,1695567560.332478,0.76969114,1695567559.715632,1695567560.3279572,0.612320295,1695567559.72075,1695567560.3278556,0.606889099
6-000000000570,1695567559.4740148,1695567560.380947,0.906929524,1695567559.720985,1695567560.3772893,0.656299864,1695567559.730316,1695567560.3772247,0.646702128
