id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
8-000000000771,1696120282.0928257,1696120285.1733778,3.080548831,1696120282.2635338,1696120285.1478982,2.884357329,1696120282.2689033,1696120285.0512824,2.782161686
13-000000000535,1696120282.1152854,1696120285.185765,3.070446066,1696120282.2750292,1696120285.1598158,2.884780287,1696120282.282422,1696120285.0637462,2.781121087
10-000000007242,1696120282.105091,1696120285.1870756,3.081981926,1696120282.2600482,1696120285.160201,2.900146014,1696120282.264961,1696120285.0588493,2.793682088
4-000000000718,1696120282.0650735,1696120285.1979063,3.132830302,1696120282.2643104,1696120285.172544,2.908226294,1696120282.268971,1696120285.0747557,2.805575331
9-000000001371,1696120282.0967019,1696120285.2000985,3.103394024,1696120282.2744057,1696120285.173156,2.898743224,1696120282.2808151,1696120285.0765445,2.795520234
18-000000033030,1696120282.1429791,1696120285.2021332,3.059151642,1696120282.2637186,1696120285.1774135,2.91368752,1696120282.2705877,1696120285.0790353,2.808229666
25-000000560759,1696120282.1661706,1696120285.2136588,3.047485435,1696120282.2694564,1696120285.1874356,2.917971819,1696120282.274092,1696120285.0889094,2.814604722
27-000000579670,1696120282.1716864,1696120285.2153578,3.043668984,1696120282.2773604,1696120285.1887004,2.911327249,1696120282.282819,1696120285.0910668,2.808029215
29-000000574730,1696120282.1786935,1696120285.218268,3.039571924,1696120282.2742264,1696120285.1895027,2.91526873,1696120282.2785974,1696120285.0904157,2.811608037
0-000000000178,1696120282.0497055,1696120285.2206264,3.170916805,1696120282.276083,1696120285.1894453,2.913354785,1696120282.281478,1696120285.0857863,2.80409296
23-000000576217,1696120282.1609106,1696120285.2213557,3.060443423,1696120282.2697494,1696120285.1906745,2.920918109,1696120282.2745357,1696120285.092788,2.818041366
24-000000105659,1696120282.1636367,1696120285.2219794,3.058340459,1696120282.2686043,1696120285.1915374,2.922926248,1696120282.2733967,1696120285.0937958,2.820187228
26-000000571463,1696120282.168672,1696120285.2226756,3.054001575,1696120282.269704,1696120285.193481,2.923768217,1696120282.27503,1696120285.0959084,2.820661599
15-000000114471,1696120282.1270015,1696120285.2237422,3.096738466,1696120282.2659247,1696120285.1981666,2.93223376,1696120282.2723138,1696120285.0999043,2.827368349
3-000000000549,1696120282.0616677,1696120285.2245715,3.162901913,1696120282.265248,1696120285.198501,2.933246904,1696120282.2708333,1696120285.1041112,2.8330664
2-000000000276,1696120282.05852,1696120285.2269812,3.168458925,1696120282.2665658,1696120285.200746,2.934174067,1696120282.2716377,1696120285.100266,2.828411557
5-000000011517,1696120282.0713093,1696120285.2278357,3.156523843,1696120282.2633953,1696120285.2031229,2.939720594,1696120282.2689898,1696120285.1053853,2.836184291
14-000000020674,1696120282.1211557,1696120285.2310877,3.109929173,1696120282.2799792,1696120285.2055295,2.925542601,1696120282.285746,1696120285.1087058,2.822739565
20-000000568423,1696120282.1519651,1696120285.2319977,3.080030357,1696120282.2599561,1696120285.206699,2.946735618,1696120282.264455,1696120285.104031,2.839356115
21-000000219090,1696120282.1545336,1696120285.232551,3.078015587,1696120282.2782192,1696120285.2054665,2.927240283,1696120282.2837179,1696120285.1060853,2.822166445
1-000000000001,1696120282.055399,1696120285.234279,3.178877805,1696120282.2643461,1696120285.2088244,2.944471774,1696120282.2696748,1696120285.111595,2.841700287
17-000000020717,1696120282.1403253,1696120285.2377698,3.097442002,1696120282.2695527,1696120285.2115986,2.942038749,1696120282.2744262,1696120285.1092322,2.834589198
22-000000020503,1696120282.1578512,1696120285.2433114,3.08543281,1696120282.2662907,1696120285.2140121,2.947713095,1696120282.2713227,1696120285.1162844,2.844747188
11-000000012287,1696120282.1078598,1696120285.248525,3.140646688,1696120282.2671957,1696120285.2211947,2.953992833,1696120282.272816,1696120285.117805,2.84477598
28-000000576965,1696120282.1748598,1696120285.2496579,3.074795706,1696120282.2746851,1696120285.2244227,2.949731237,1696120282.2806864,1696120285.1276927,2.846765215
12-000000018852,1696120282.110878,1696120285.2567322,3.145851217,1696120282.2613769,1696120285.2316513,2.970267507,1696120282.2667603,1696120285.1326375,2.865662658
19-000000569105,1696120282.14782,1696120285.2592783,3.111455249,1696120282.2697058,1696120285.233284,2.963571368,1696120282.2761693,1696120285.133462,2.857082441
16-000000027473,1696120282.1359174,1696120285.26298,3.12705881,1696120282.2679002,1696120285.237061,2.969153965,1696120282.2742617,1696120285.1395385,2.865057497
7-000000000694,1696120282.0871608,1696120285.263998,3.176834642,1696120282.2672338,1696120285.238262,2.971021403,1696120282.272984,1696120285.1417186,2.868510412
6-000000000570,1696120282.07533,1696120286.0077245,3.932391611,1696120282.2787056,1696120285.974609,3.695896954,1696120282.2880461,1696120285.8591492,3.570886542
