id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
21-000000219090,1696120420.325756,1696120423.34513,3.019370879,1696120420.4580593,1696120423.321441,2.863375901,1696120420.4640412,1696120423.2122068,2.747951597
8-000000000771,1696120420.25353,1696120423.3810687,3.127535772,1696120420.4475272,1696120423.3549545,2.907419414,1696120420.4529815,1696120423.2482276,2.795040614
3-000000000549,1696120420.2249763,1696120423.3821504,3.157171528,1696120420.4575267,1696120423.358115,2.900581014,1696120420.4633014,1696120423.2641098,2.800592568
23-000000576217,1696120420.3395278,1696120423.3830104,3.043480073,1696120420.4547803,1696120423.3604612,2.905674487,1696120420.4597948,1696120423.2527683,2.792757885
22-000000020503,1696120420.3343563,1696120423.385135,3.050776271,1696120420.4523456,1696120423.3623369,2.909982617,1696120420.4574573,1696120423.2495809,2.791918034
9-000000001371,1696120420.2582104,1696120423.3935368,3.135323262,1696120420.4567552,1696120423.370497,2.913734512,1696120420.4634264,1696120423.2622888,2.798596818
18-000000033030,1696120420.3056307,1696120423.4073405,3.101706477,1696120420.4582238,1696120423.3841443,2.925912918,1696120420.4651546,1696120423.2770462,2.81168142
24-000000105659,1696120420.3426495,1696120423.4106627,3.068010822,1696120420.4563417,1696120423.3873239,2.930974898,1696120420.461256,1696120423.2795937,2.818131635
15-000000114471,1696120420.2928855,1696120423.4241095,3.131220879,1696120420.456674,1696120423.399857,2.943176328,1696120420.4631438,1696120423.2838354,2.820487831
16-000000027473,1696120420.2979968,1696120423.4258566,3.127857462,1696120420.4523642,1696120423.401941,2.949569507,1696120420.4588478,1696120423.2914534,2.832392632
13-000000000535,1696120420.280921,1696120423.4307153,3.149791224,1696120420.4524465,1696120423.4075575,2.955103702,1696120420.460562,1696120423.3026917,2.84190048
4-000000000718,1696120420.2284715,1696120423.4317849,3.20331079,1696120420.4479365,1696120423.4067907,2.958847683,1696120420.4527738,1696120423.2942936,2.841305185
5-000000011517,1696120420.231292,1696120423.4337356,3.202441403,1696120420.4548168,1696120423.410517,2.955642562,1696120420.4605594,1696120423.3025293,2.84171141
10-000000007242,1696120420.2651246,1696120423.4412882,3.17616024,1696120420.4539433,1696120423.4173865,2.963436423,1696120420.4590418,1696120423.3121293,2.852861748
25-000000560759,1696120420.3453817,1696120423.4421635,3.096779988,1696120420.4543157,1696120423.4162877,2.96196492,1696120420.459136,1696120423.2990496,2.839705568
29-000000574730,1696120420.3599353,1696120423.4445593,3.084621972,1696120420.4528606,1696120423.4217348,2.968868008,1696120420.4572995,1696120423.3145657,2.857061598
11-000000012287,1696120420.2684398,1696120423.447135,3.178692606,1696120420.4579859,1696120423.4236767,2.965684587,1696120420.4631479,1696120423.3175187,2.854162029
28-000000576965,1696120420.3560464,1696120423.4701614,3.11411257,1696120420.4607553,1696120423.446483,2.985720286,1696120420.4666948,1696120423.3358612,2.868914941
12-000000018852,1696120420.2719893,1696120423.4713974,3.199405608,1696120420.4572973,1696120423.4468005,2.98899158,1696120420.4628131,1696120423.3316853,2.868166458
1-000000000001,1696120420.218336,1696120423.4746723,3.256333386,1696120420.4532194,1696120423.451032,2.997805429,1696120420.4585762,1696120423.3378448,2.87904024
27-000000579670,1696120420.3525498,1696120423.477383,3.12483057,1696120420.4612787,1696120423.4537501,2.992463074,1696120420.468204,1696120423.3413508,2.872925069
26-000000571463,1696120420.3488812,1696120423.478364,3.129480377,1696120420.454842,1696120423.4536717,2.998823934,1696120420.4603803,1696120423.345433,2.884836207
2-000000000276,1696120420.221659,1696120423.480693,3.259031973,1696120420.4546518,1696120423.4571707,3.002510695,1696120420.460222,1696120423.346726,2.886234243
19-000000569105,1696120420.310738,1696120423.4894938,3.178752666,1696120420.4587345,1696120423.4642913,3.005548551,1696120420.465394,1696120423.3509748,2.885372955
0-000000000178,1696120420.212533,1696120423.4905145,3.277978682,1696120420.448476,1696120423.4660137,3.017530334,1696120420.454068,1696120423.351914,2.897630867
17-000000020717,1696120420.3026018,1696120423.4972897,3.194685639,1696120420.4517689,1696120423.4733808,3.021605386,1696120420.4568412,1696120423.3643415,2.907258535
14-000000020674,1696120420.2890882,1696120423.5158153,3.22672426,1696120420.4549003,1696120423.4927955,3.037887893,1696120420.460965,1696120423.3837137,2.922536031
7-000000000694,1696120420.2457712,1696120423.54925,3.303475322,1696120420.4542618,1696120423.5246615,3.070392102,1696120420.4603233,1696120423.4141068,2.953581666
20-000000568423,1696120420.320615,1696120423.609798,3.2891793,1696120420.4564154,1696120423.5849595,3.128535991,1696120420.461042,1696120423.4710321,3.009773226
6-000000000570,1696120420.2351394,1696120423.9708982,3.735756477,1696120420.464472,1696120423.9410856,3.476606043,1696120420.4736576,1696120423.8101022,3.336218874
