id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
11-000000012287,1696120286.69191,1696120306.2822356,19.590321418,1696120287.9195971,1696120306.2560906,18.336484363,1696120287.9610846,1696120306.1836486,18.222331534
14-000000020674,1696120286.7054234,1696120308.1062024,21.400775942,1696120287.9012382,1696120308.0802927,20.17904477,1696120287.9438224,1696120308.007756,20.063702115
29-000000574730,1696120286.7958236,1696120309.997276,23.201448876,1696120288.4840374,1696120309.9727573,21.488709958,1696120288.5237415,1696120309.8981612,21.374189417
24-000000105659,1696120286.779417,1696120310.7039733,23.924553288,1696120288.4645264,1696120310.6785269,22.213991163,1696120288.5049357,1696120310.606385,22.101217469
8-000000000771,1696120286.6770666,1696120311.336902,24.65983139,1696120288.591415,1696120311.3111377,22.719713476,1696120288.6318986,1696120311.2385912,22.606465936
9-000000001371,1696120286.680087,1696120311.5291417,24.849051862,1696120288.4730093,1696120311.50388,23.030861143,1696120288.5150766,1696120311.4320867,22.916783802
28-000000576965,1696120286.7917333,1696120312.4428535,25.65111719,1696120288.6175528,1696120312.4171479,23.799585228,1696120288.661694,1696120312.3441896,23.682261273
16-000000027473,1696120286.7395072,1696120312.6487017,25.909190081,1696120288.7417233,1696120312.623953,23.882221199,1696120288.783085,1696120312.5516884,23.768377335
4-000000000718,1696120286.657916,1696120312.9162798,26.258360648,1696120288.616538,1696120312.8909397,24.27439221,1696120288.6574426,1696120312.8185446,24.160872407
21-000000219090,1696120286.7691467,1696120312.9620674,26.192917735,1696120288.586273,1696120312.9359822,24.349685396,1696120288.6268299,1696120312.863666,24.236608349
5-000000011517,1696120286.6609068,1696120313.1153276,26.454417284,1696120288.7483463,1696120313.0876439,24.339287939,1696120288.791025,1696120313.0163589,24.225073055
22-000000020503,1696120286.7729826,1696120313.2911544,26.518168576,1696120288.7511234,1696120313.265763,24.514629043,1696120288.791561,1696120313.194529,24.40273868
6-000000000570,1696120286.6648777,1696120313.4978364,26.832956002,1696120288.5401156,1696120313.4651594,24.925033694,1696120288.5921369,1696120313.37392,24.781513801
25-000000560759,1696120286.7822697,1696120313.9228568,27.140583747,1696120288.7515135,1696120313.8967028,25.145178884,1696120288.7920454,1696120313.8244274,25.0321533
15-000000114471,1696120286.7199843,1696120313.998071,27.278082851,1696120288.6216197,1696120313.972332,25.350701705,1696120288.664474,1696120313.8984103,25.233704676
23-000000576217,1696120286.7763913,1696120314.0355463,27.259152023,1696120288.762154,1696120314.010383,25.248219876,1696120288.8024135,1696120313.9251337,25.12248811
27-000000579670,1696120286.7882037,1696120314.1021366,27.313930163,1696120288.7560225,1696120314.0762458,25.32021437,1696120288.797516,1696120314.0042052,25.206461952
18-000000033030,1696120286.755883,1696120314.1519952,27.396108418,1696120288.7496297,1696120314.1261728,25.376533624,1696120288.7917824,1696120314.0547972,25.262788844
17-000000020717,1696120286.7522745,1696120314.440824,27.688546501,1696120288.6415448,1696120314.4151583,25.773603588,1696120288.6817875,1696120314.3418202,25.659803112
0-000000000178,1696120286.6146424,1696120314.5285418,27.913895863,1696120288.753396,1696120314.503332,25.749927183,1696120288.794008,1696120314.430627,25.63638694
1-000000000001,1696120286.6313877,1696120314.6423101,28.010919348,1696120288.8066504,1696120314.616185,25.809525221,1696120288.84904,1696120314.5426939,25.693420286
13-000000000535,1696120286.6990495,1696120314.6949546,27.995902429,1696120288.758682,1696120314.6694083,25.910716408,1696120288.8037496,1696120314.5952206,25.791230468
20-000000568423,1696120286.7662723,1696120314.7585428,27.992267133,1696120288.7625859,1696120314.7325492,25.969953397,1696120288.802724,1696120314.6600802,25.857130521
7-000000000694,1696120286.6724212,1696120314.791214,28.118789847,1696120288.7622917,1696120314.7653418,26.003039633,1696120288.8037012,1696120314.6919472,25.888018398
2-000000000276,1696120286.6410959,1696120314.8483648,28.207265774,1696120288.6581929,1696120314.822431,26.164227448,1696120288.7011454,1696120314.749553,26.048175871
26-000000571463,1696120286.7850294,1696120314.8533595,28.068326452,1696120288.7612426,1696120314.8271108,26.065858489,1696120288.8022256,1696120314.7520297,25.949569438
19-000000569105,1696120286.7618682,1696120314.89786,28.135987397,1696120288.7616851,1696120314.8706262,26.10891233,1696120288.8039076,1696120314.7951794,25.991027744
12-000000018852,1696120286.6956112,1696120315.0058095,28.310195242,1696120288.7862945,1696120314.9762108,26.189906898,1696120288.8274179,1696120314.8959765,26.068324442
3-000000000549,1696120286.647411,1696120315.0839384,28.436523827,1696120288.7724805,1696120315.0577693,26.285279584,1696120288.814386,1696120314.9854622,26.170842061
10-000000007242,1696120286.6848679,1696120315.360225,28.67535404,1696120288.8086243,1696120315.3336983,26.525064338,1696120288.8495643,1696120315.2599714,26.410176994
