id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
23-000000576217,1696120424.5834148,1696120449.0126042,24.4291863,1696120426.5414631,1696120448.988296,22.446823067,1696120426.5902548,1696120448.907267,22.316782711
8-000000000771,1696120424.5218155,1696120449.436072,24.914253902,1696120426.5791967,1696120449.41168,22.832474037,1696120426.627539,1696120449.3308637,22.703094643
28-000000576965,1696120424.6000426,1696120449.7219224,25.121877221,1696120426.572643,1696120449.6971462,23.123854715,1696120426.620756,1696120449.6167357,22.995121868
0-000000000178,1696120424.4865808,1696120449.7407978,25.254214066,1696120426.6096714,1696120449.716383,23.106698067,1696120426.6574357,1696120449.6307285,22.973053492
19-000000569105,1696120424.5691717,1696120449.9497333,25.380558439,1696120426.5732217,1696120449.9244156,23.351184173,1696120426.622538,1696120449.841802,23.219034535
25-000000560759,1696120424.5893943,1696120450.892782,26.303384956,1696120426.6246731,1696120450.867509,24.242826693,1696120426.6718402,1696120450.7853029,24.113232153
13-000000000535,1696120424.5400755,1696120450.9473398,26.407261395,1696120426.5795684,1696120450.9231622,24.343582839,1696120426.6348798,1696120450.8426547,24.207510114
1-000000000001,1696120424.4922822,1696120451.1873097,26.695024784,1696120426.5789883,1696120451.163679,24.584680311,1696120426.6270432,1696120451.0843177,24.457038047
9-000000001371,1696120424.5248213,1696120451.368065,26.843240735,1696120426.7222712,1696120451.340561,24.618280757,1696120426.7727308,1696120451.2611952,24.488228798
2-000000000276,1696120424.4954634,1696120451.6801116,27.184645512,1696120426.5905898,1696120451.6557162,25.064330101,1696120426.6381638,1696120451.5665987,24.927415316
14-000000020674,1696120424.5463529,1696120452.0521529,27.505796285,1696120426.5961342,1696120452.0279427,25.431798241,1696120426.6453922,1696120451.9457986,25.300166973
29-000000574730,1696120424.609394,1696120452.325963,27.716565319,1696120426.7695312,1696120452.3003995,25.530858242,1696120426.8169496,1696120452.211685,25.39448953
17-000000020717,1696120424.5608613,1696120452.44168,27.880815893,1696120426.5848513,1696120452.418349,25.83312879,1696120426.6311107,1696120452.338384,25.70668291
20-000000568423,1696120424.5736456,1696120452.536341,27.962692522,1696120426.6839688,1696120452.511918,25.827843428,1696120426.73201,1696120452.427306,25.694961089
24-000000105659,1696120424.5865223,1696120452.5971935,28.01066857,1696120426.6215336,1696120452.573042,25.951489935,1696120426.6692972,1696120452.4909732,25.821447589
18-000000033030,1696120424.56386,1696120452.6361969,28.07233419,1696120426.6191452,1696120452.6124852,25.993329055,1696120426.6724818,1696120452.5319953,25.859280718
11-000000012287,1696120424.5331945,1696120453.08911,28.555912039,1696120426.6753864,1696120453.065682,26.389349073,1696120426.7344131,1696120452.9850066,26.249416422
4-000000000718,1696120424.5027905,1696120453.119448,28.616654966,1696120426.8361702,1696120453.0927606,26.256111158,1696120426.883788,1696120453.0112276,26.126735625
16-000000027473,1696120424.555852,1696120453.1311152,28.575259985,1696120426.9375129,1696120453.1070368,26.16951486,1696120426.98655,1696120453.0269415,26.040150815
21-000000219090,1696120424.5763493,1696120453.6771598,29.100807645,1696120427.1918757,1696120453.6528893,26.460211228,1696120427.2400079,1696120453.5713549,26.330297536
22-000000020503,1696120424.5800834,1696120453.7384763,29.158390266,1696120427.089381,1696120453.7144217,26.625025668,1696120427.1371841,1696120453.6354697,26.498044677
10-000000007242,1696120424.5301929,1696120453.9811206,29.450924988,1696120427.1733804,1696120453.9548557,26.781466676,1696120427.2202795,1696120453.8743393,26.653831515
3-000000000549,1696120424.499146,1696120454.09319,29.594041177,1696120427.3416092,1696120454.0704901,26.728389879,1696120427.3898275,1696120453.9908974,26.600359307
7-000000000694,1696120424.5176082,1696120454.132343,29.614731977,1696120427.3429682,1696120454.1062927,26.762936237,1696120427.3916883,1696120454.0236244,26.631310951
12-000000018852,1696120424.5363793,1696120454.1441412,29.607759291,1696120427.5948675,1696120454.1177971,26.522918156,1696120427.644321,1696120454.03076,26.38620234
27-000000579670,1696120424.5959399,1696120454.1582572,29.562314122,1696120427.595973,1696120454.1337392,26.537056713,1696120427.6487076,1696120454.0484273,26.398776314
5-000000011517,1696120424.5054164,1696120454.2712731,29.765853769,1696120427.501808,1696120454.246615,26.744797605,1696120427.5642412,1696120454.1667168,26.602244209
15-000000114471,1696120424.550657,1696120454.315695,29.765035442,1696120427.5982254,1696120454.2898993,26.691324337,1696120427.6486347,1696120454.2042692,26.555066686
26-000000571463,1696120424.592318,1696120454.4762852,29.883964264,1696120427.5937486,1696120454.4520133,26.857877171,1696120427.6445136,1696120454.3675117,26.722386608
6-000000000570,1696120424.5095584,1696120454.5579917,30.048430114,1696120427.3852649,1696120454.5273526,27.14207711,1696120427.4427493,1696120454.4268088,26.983767576
