id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
25-000000560759,1695569545.2657533,1695569546.1485112,0.882754069,1695569545.4179976,1695569546.1310608,0.713055491,1695569545.4226556,1695569546.0994778,0.676620832
21-000000219090,1695569545.2457173,1695569546.1520662,0.906344635,1695569545.4179847,1695569546.1308658,0.712873247,1695569545.4234874,1695569546.0950816,0.671364725
11-000000012287,1695569545.1958468,1695569546.163266,0.967416708,1695569545.410129,1695569546.133111,0.722973841,1695569545.4156365,1695569546.0940683,0.678208491
3-000000000549,1695569545.160537,1695569546.1703098,1.009770292,1695569545.4137444,1695569546.1364443,0.722691306,1695569545.419341,1695569546.1093013,0.68975652
5-000000011517,1695569545.1686127,1695569546.171133,1.002517986,1695569545.4179502,1695569546.1455204,0.727563093,1695569545.423659,1695569546.0967646,0.672892652
4-000000000718,1695569545.1655414,1695569546.1717181,1.006174322,1695569545.4126577,1695569546.1452618,0.732596594,1695569545.4173126,1695569546.1104577,0.692940061
12-000000018852,1695569545.1989067,1695569546.172861,0.973952712,1695569545.417114,1695569546.1392512,0.722129246,1695569545.4223075,1695569546.1034284,0.680904894
15-000000114471,1695569545.2149186,1695569546.1737785,0.958856737,1695569545.4213798,1695569546.1357126,0.714324791,1695569545.4276917,1695569546.0994308,0.671534456
0-000000000178,1695569545.1470542,1695569546.174352,1.027295215,1695569545.4127364,1695569546.1480165,0.735272803,1695569545.418062,1695569546.11077,0.692499076
13-000000000535,1695569545.2021384,1695569546.175032,0.972891285,1695569545.4154382,1695569546.1494992,0.73405275,1695569545.423008,1695569546.1132655,0.690045915
1-000000000001,1695569545.1531804,1695569546.1757607,1.022576958,1695569545.4136958,1695569546.1503773,0.736673574,1695569545.4189227,1695569546.112924,0.693791252
18-000000033030,1695569545.2304146,1695569546.1763847,0.945968189,1695569545.4270885,1695569546.150827,0.72373092,1695569545.4338756,1695569546.1158051,0.681725324
20-000000568423,1695569545.2425551,1695569546.177173,0.934615163,1695569545.4148304,1695569546.1502762,0.735437579,1695569545.4193795,1695569546.1095731,0.689979371
2-000000000276,1695569545.1570833,1695569546.177989,1.020903108,1695569545.4157357,1695569546.1514754,0.73573115,1695569545.4207916,1695569546.1107342,0.689738411
27-000000579670,1695569545.2845147,1695569546.1787882,0.894270963,1695569545.4188724,1695569546.150995,0.732115313,1695569545.4243164,1695569546.1153972,0.690874214
23-000000576217,1695569545.2589579,1695569546.1795645,0.920604277,1695569545.4223204,1695569546.151476,0.729147979,1695569545.4270997,1695569546.1158512,0.688549702
9-000000001371,1695569545.1882179,1695569546.1801403,0.991920345,1695569545.420053,1695569546.153789,0.733727892,1695569545.4265041,1695569546.1160831,0.689371601
24-000000105659,1695569545.2622774,1695569546.1808136,0.918533776,1695569545.424418,1695569546.1540558,0.729630251,1695569545.4291945,1695569546.117302,0.68790308
8-000000000771,1695569545.1851768,1695569546.1821237,0.996944241,1695569545.4170158,1695569546.1478217,0.730797415,1695569545.422209,1695569546.1070516,0.684637357
19-000000569105,1695569545.2378428,1695569546.1830244,0.945179198,1695569545.4198232,1695569546.1455593,0.725728992,1695569545.426219,1695569546.1143732,0.687949439
17-000000020717,1695569545.2272182,1695569546.1836667,0.956446473,1695569545.4216714,1695569546.1567256,0.735046604,1695569545.4264653,1695569546.1229887,0.696310777
7-000000000694,1695569545.1810267,1695569546.1855097,1.004479502,1695569545.4207685,1695569546.157256,0.736480007,1695569545.4266446,1695569546.1187787,0.69192964
10-000000007242,1695569545.1931603,1695569546.1860633,0.992900744,1695569545.41524,1695569546.158796,0.743548085,1695569545.4201715,1695569546.1210976,0.700712984
28-000000576965,1695569545.2881825,1695569546.1868193,0.898634518,1695569545.4222934,1695569546.1587722,0.736470892,1695569545.4281473,1695569546.1238549,0.695500652
14-000000020674,1695569545.2081149,1695569546.18798,0.979862413,1695569545.4154315,1695569546.162258,0.746818543,1695569545.4218504,1695569546.1122303,0.690173456
16-000000027473,1695569545.2218063,1695569546.1886125,0.966803618,1695569545.4218411,1695569546.1634486,0.741600319,1695569545.4281564,1695569546.125844,0.697477882
26-000000571463,1695569545.2794368,1695569546.1891441,0.909704537,1695569545.4196324,1695569546.15098,0.731340183,1695569545.4249609,1695569546.1137223,0.688547199
29-000000574730,1695569545.2927005,1695569546.189887,0.897184336,1695569545.4160812,1695569546.157094,0.741005177,1695569545.4204934,1695569546.1203253,0.699622957
22-000000020503,1695569545.2545347,1695569546.1903875,0.935850547,1695569545.434125,1695569546.1636684,0.729536081,1695569545.4392538,1695569546.1359107,0.69644895
6-000000000570,1695569545.1731436,1695569546.3666787,1.193531552,1695569545.4179711,1695569546.353222,0.935243322,1695569545.427304,1695569546.2935483,0.866025263
