id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
2-000000000276,1695569587.643134,1695569588.2908359,0.647698837,1695569587.883716,1695569588.2826643,0.398351614,1695569587.8892193,1695569588.2647002,0.375297659
0-000000000178,1695569587.6310506,1695569588.3058453,0.674791152,1695569587.877527,1695569588.2975721,0.420037132,1695569587.8828795,1695569588.2776814,0.394595666
26-000000571463,1695569587.7608578,1695569588.3090975,0.548236811,1695569587.884981,1695569588.2995162,0.414527824,1695569587.8901904,1695569588.2805948,0.390199991
15-000000114471,1695569587.7085364,1695569588.3112762,0.602736984,1695569587.887038,1695569588.300985,0.413939506,1695569587.8935657,1695569588.2800143,0.386235647
1-000000000001,1695569587.6388435,1695569588.3166075,0.677760302,1695569587.8902025,1695569588.2990448,0.408835492,1695569587.89542,1695569588.2796397,0.384006061
23-000000576217,1695569587.7508209,1695569588.319311,0.5684866,1695569587.8922563,1695569588.3035517,0.411288833,1695569587.8966072,1695569588.2854302,0.388629144
22-000000020503,1695569587.745389,1695569588.3251271,0.579734898,1695569587.894967,1695569588.3061645,0.411190803,1695569587.9001448,1695569588.2875881,0.387243705
10-000000007242,1695569587.6833086,1695569588.3270261,0.643714362,1695569587.883951,1695569588.3064706,0.422512662,1695569587.8890293,1695569588.286699,0.397459387
9-000000001371,1695569587.6782336,1695569588.3282886,0.650052002,1695569587.8821058,1695569588.308573,0.426459848,1695569587.8887918,1695569588.2864177,0.397409649
17-000000020717,1695569587.7236733,1695569588.3293097,0.605633982,1695569587.868449,1695569588.3081179,0.439661294,1695569587.8732767,1695569588.28871,0.41522766
19-000000569105,1695569587.7316136,1695569588.3298547,0.598239159,1695569587.8855512,1695569588.3082075,0.422648987,1695569587.8918948,1695569588.2888057,0.396692793
21-000000219090,1695569587.7400637,1695569588.3304417,0.590376271,1695569587.887441,1695569588.308818,0.421369153,1695569587.892904,1695569588.2893655,0.396250174
25-000000560759,1695569587.7572544,1695569588.3309872,0.57373081,1695569587.8877735,1695569588.3085892,0.420808356,1695569587.8925798,1695569588.289634,0.396854332
20-000000568423,1695569587.7374306,1695569588.3321702,0.594737872,1695569587.869682,1695569588.3115895,0.44189845,1695569587.8744988,1695569588.2900894,0.415378414
5-000000011517,1695569587.6545691,1695569588.332726,0.67815467,1695569587.8853784,1695569588.313493,0.428106291,1695569587.8909497,1695569588.29232,0.401159277
13-000000000535,1695569587.6955104,1695569588.3332837,0.637771267,1695569587.8905542,1695569588.3157582,0.425196626,1695569587.8980644,1695569588.2952425,0.396962322
8-000000000771,1695569587.673106,1695569588.3349276,0.661818853,1695569587.8855083,1695569588.3165731,0.431056989,1695569587.891058,1695569588.294201,0.402926401
27-000000579670,1695569587.764465,1695569588.3364794,0.572011588,1695569587.8920043,1695569588.31317,0.421158355,1695569587.8976338,1695569588.2910442,0.39320232
29-000000574730,1695569587.7730103,1695569588.337226,0.564213812,1695569587.8903873,1695569588.316633,0.426239292,1695569587.8949478,1695569588.2964234,0.401271254
16-000000027473,1695569587.718555,1695569588.3378205,0.619262909,1695569587.8827546,1695569588.3184023,0.435640844,1695569587.889098,1695569588.2968712,0.407565857
3-000000000549,1695569587.6466656,1695569588.3385236,0.691855589,1695569587.8838975,1695569588.3183494,0.434441815,1695569587.8913453,1695569588.2975183,0.405938232
11-000000012287,1695569587.6870334,1695569588.339041,0.652005356,1695569587.8824193,1695569588.3211298,0.438703069,1695569587.8876357,1695569588.300491,0.412615578
24-000000105659,1695569587.7543185,1695569588.339646,0.58532527,1695569587.8915107,1695569588.3197143,0.428194202,1695569587.8964427,1695569588.3000598,0.403414615
28-000000576965,1695569587.768474,1695569588.3404958,0.572019322,1695569587.8870738,1695569588.3235624,0.43648091,1695569587.8930078,1695569588.3041596,0.410924808
12-000000018852,1695569587.6913495,1695569588.3410683,0.649716692,1695569587.8831396,1695569588.3236306,0.440483168,1695569587.8899872,1695569588.3024251,0.412220631
4-000000000718,1695569587.651113,1695569588.341928,0.690812788,1695569587.8665867,1695569588.3304813,0.463885948,1695569587.8715765,1695569588.3107407,0.438927688
14-000000020674,1695569587.703734,1695569588.3426373,0.638901065,1695569587.8970258,1695569588.3339396,0.436904602,1695569587.9030118,1695569588.3141527,0.410921688
7-000000000694,1695569587.6683307,1695569588.343499,0.67516558,1695569587.8899643,1695569588.3337348,0.443762234,1695569587.8958492,1695569588.3047435,0.408674761
18-000000033030,1695569587.726576,1695569588.3729002,0.646321498,1695569587.890124,1695569588.3645077,0.474374743,1695569587.8974302,1695569588.343755,0.446106101
6-000000000570,1695569587.659422,1695569588.417192,0.757766587,1695569587.9060361,1695569588.407534,0.501489908,1695569587.9144995,1695569588.3772726,0.462589001
