id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
9-000000001371,1695569589.0113158,1695569591.8610785,2.849678012,1695569591.1404376,1695569591.8523753,0.711927819,1695569591.1834528,1695569591.83721,0.653526287
4-000000000718,1695569588.9776843,1695569591.8994505,2.92176251,1695569591.1355915,1695569591.8908398,0.755238821,1695569591.1824145,1695569591.8750744,0.692432871
24-000000105659,1695569589.0773828,1695569592.0297823,2.952395114,1695569591.1720912,1695569592.0186374,0.846536299,1695569591.2266083,1695569592.0009716,0.774122368
5-000000011517,1695569588.9807556,1695569592.089753,3.108994503,1695569591.201834,1695569592.0814762,0.879633822,1695569591.2496367,1695569592.0651164,0.815250444
1-000000000001,1695569588.9621658,1695569592.1718316,3.209661591,1695569591.265909,1695569592.1623733,0.896451464,1695569591.314283,1695569592.145875,0.831362356
21-000000219090,1695569589.0657923,1695569592.2161505,3.150355679,1695569591.189236,1695569592.207198,1.017951967,1695569591.2376125,1695569592.190126,0.952284577
0-000000000178,1695569588.955688,1695569592.251107,3.295415835,1695569591.2872624,1695569592.2423856,0.955113412,1695569591.335058,1695569592.2257204,0.890435677
2-000000000276,1695569588.9664173,1695569592.3475351,3.38111421,1695569591.3382077,1695569592.3395176,1.001288888,1695569591.3915799,1695569592.3231363,0.931315388
8-000000000771,1695569589.0070438,1695569592.3574185,3.350370078,1695569591.1929715,1695569592.3461952,1.153208611,1695569591.246648,1695569592.328069,1.081184718
16-000000027473,1695569589.0449357,1695569592.3956788,3.350740102,1695569591.232858,1695569592.3872886,1.154420101,1695569591.2776434,1695569592.371715,1.093858269
20-000000568423,1695569589.0629056,1695569592.421213,3.358304297,1695569591.1951082,1695569592.413608,1.2184901,1695569591.240958,1695569592.3970132,1.155830799
29-000000574730,1695569589.1029375,1695569592.458393,3.355452581,1695569591.3601034,1695569592.44694,1.086826906,1695569591.4097252,1695569592.4301057,1.020051066
14-000000020674,1695569589.0343254,1695569592.5407596,3.506431425,1695569591.23199,1695569592.5323591,1.300358113,1695569591.2814944,1695569592.5155518,1.233814283
19-000000569105,1695569589.0579336,1695569592.5722718,3.514334948,1695569591.2995434,1695569592.56399,1.264437145,1695569591.3503516,1695569592.5472806,1.196699016
23-000000576217,1695569589.074228,1695569592.5797694,3.505538591,1695569591.232448,1695569592.5690887,1.336614905,1695569591.280894,1695569592.551669,1.270540208
13-000000000535,1695569589.0279403,1695569592.5808706,3.552928006,1695569591.2356005,1695569592.5699422,1.334332272,1695569591.2879765,1695569592.5524366,1.264229764
18-000000033030,1695569589.0523846,1695569592.6467004,3.594312795,1695569591.3053718,1695569592.6380005,1.332619112,1695569591.3589993,1695569592.6195517,1.260311574
6-000000000570,1695569588.98936,1695569592.6611125,3.671749069,1695569591.4538267,1695569592.6483874,1.194550113,1695569591.510132,1695569592.6253107,1.114938364
3-000000000549,1695569588.9706895,1695569592.701095,3.73040284,1695569591.3526921,1695569592.6929045,1.340200779,1695569591.4087837,1695569592.675659,1.266632933
27-000000579670,1695569589.0867848,1695569592.757164,3.670375985,1695569591.383531,1695569592.7478693,1.364326342,1695569591.4441152,1695569592.7298667,1.285515356
26-000000571463,1695569589.0833557,1695569592.795021,3.711662379,1695569591.2351792,1695569592.7868512,1.551662199,1695569591.286032,1695569592.7689579,1.482665819
15-000000114471,1695569589.0391867,1695569593.0199404,3.980750585,1695569591.2791965,1695569593.0108037,1.731595859,1695569591.3289292,1695569592.993895,1.664729997
12-000000018852,1695569589.0243628,1695569593.188344,4.163978366,1695569591.294539,1695569593.1799843,1.885434231,1695569591.3435378,1695569593.1630235,1.818739432
10-000000007242,1695569589.0167923,1695569593.1913345,4.17453944,1695569591.3111875,1695569593.1822727,1.871074428,1695569591.3600345,1695569593.1656399,1.805369305
22-000000020503,1695569589.0697536,1695569593.2773228,4.207566449,1695569591.2891424,1695569593.2686312,1.979479681,1695569591.3401797,1695569593.2518806,1.911433244
11-000000012287,1695569589.019815,1695569593.3098178,4.289999951,1695569591.329511,1695569593.3009427,1.97141499,1695569591.3769655,1695569593.2837415,1.906538069
25-000000560759,1695569589.080345,1695569593.316466,4.236118641,1695569591.3203006,1695569593.30747,1.987156959,1695569591.3712873,1695569593.2862778,1.914745723
28-000000576965,1695569589.091517,1695569593.332414,4.240893427,1695569591.307327,1695569593.31907,2.011733609,1695569591.356947,1695569593.3010683,1.943890263
7-000000000694,1695569588.9984303,1695569593.374171,4.375737732,1695569591.327503,1695569593.3654826,2.037967228,1695569591.382881,1695569593.348067,1.96490307
17-000000020717,1695569589.0496106,1695569593.3989704,4.349356907,1695569591.321662,1695569593.3897395,2.068067445,1695569591.3764443,1695569593.3727207,1.996035744
