id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
11-000000012287,1695569558.8325524,1695569560.9657986,2.133242617,1695569560.141287,1695569560.9565883,0.81529128,1695569560.1821408,1695569560.94074,0.758368549
23-000000576217,1695569558.8879113,1695569560.9832036,2.095288734,1695569560.1485064,1695569560.973489,0.824973579,1695569560.1887105,1695569560.9580038,0.769068848
27-000000579670,1695569558.900797,1695569561.0554407,2.154640387,1695569560.153106,1695569561.0461922,0.893076725,1695569560.1935272,1695569561.0306177,0.83686998
22-000000020503,1695569558.8845706,1695569561.096655,2.212081338,1695569560.1710331,1695569561.0867624,0.915720532,1695569560.2121747,1695569561.070936,0.858525759
4-000000000718,1695569558.7979054,1695569561.1879442,2.390036282,1695569560.1319926,1695569561.175912,1.043891239,1695569560.1720014,1695569561.1601892,0.987963321
26-000000571463,1695569558.8971694,1695569561.2095542,2.312381985,1695569560.134327,1695569561.2010288,1.066693201,1695569560.1744611,1695569561.1855567,1.010866115
1-000000000001,1695569558.781218,1695569561.244233,2.463012263,1695569560.1376848,1695569561.2358146,1.098121098,1695569560.1789753,1695569561.2204468,1.04122491
29-000000574730,1695569558.908851,1695569561.2712207,2.362366913,1695569560.1414747,1695569561.2620053,1.120520663,1695569560.1809096,1695569561.2437286,1.06258541
24-000000105659,1695569558.891073,1695569561.303385,2.412309409,1695569560.1469598,1695569561.2942944,1.147324339,1695569560.1879084,1695569561.2785978,1.09045439
6-000000000570,1695569558.804402,1695569561.318203,2.513797751,1695569560.13551,1695569561.3074474,1.171927285,1695569560.181703,1695569561.287748,1.10581384
3-000000000549,1695569558.7895043,1695569561.3330772,2.543570135,1695569560.150976,1695569561.3243275,1.173341635,1695569560.1919477,1695569561.3088665,1.116693717
12-000000018852,1695569558.8359632,1695569561.368889,2.532923388,1695569560.1609864,1695569561.3594854,1.19849055,1695569560.201829,1695569561.3434174,1.141360892
19-000000569105,1695569558.873218,1695569561.3946745,2.521453309,1695569560.1597118,1695569561.3848193,1.225097623,1695569560.2019622,1695569561.3694344,1.167247334
21-000000219090,1695569558.880638,1695569561.4594269,2.578786239,1695569560.167338,1695569561.4504874,1.283138903,1695569560.2090774,1695569561.4348853,1.225549971
13-000000000535,1695569558.8399653,1695569562.3842347,3.544266618,1695569560.1104257,1695569562.3756897,2.265255168,1695569560.1526854,1695569562.3611066,2.208199684
8-000000000771,1695569558.8187017,1695569562.3987274,3.58002275,1695569560.1311758,1695569562.3895843,2.258382413,1695569560.1712396,1695569562.3740396,2.202569515
10-000000007242,1695569558.8281283,1695569562.4072397,3.579108658,1695569560.1153746,1695569562.3970532,2.281669354,1695569560.155237,1695569562.3811915,2.225722466
7-000000000694,1695569558.814101,1695569562.423356,3.609194305,1695569560.1354682,1695569562.4141762,2.278698557,1695569560.1758242,1695569562.3983762,2.222324198
17-000000020717,1695569558.8636289,1695569562.4966495,3.633017534,1695569560.1325157,1695569562.4874837,2.354958602,1695569560.1726027,1695569562.4721856,2.29936076
0-000000000178,1695569558.77519,1695569562.6049948,3.829801815,1695569560.1449172,1695569562.5956752,2.450747713,1695569560.185772,1695569562.579903,2.393905588
20-000000568423,1695569558.8778567,1695569562.702086,3.824225919,1695569560.1354814,1695569562.6929922,2.55750206,1695569560.175376,1695569562.6773024,2.501698204
9-000000001371,1695569558.8221166,1695569562.7095273,3.88740639,1695569560.1358666,1695569562.699546,2.563670158,1695569560.178491,1695569562.6839635,2.505245133
15-000000114471,1695569558.8534863,1695569562.7611265,3.907636396,1695569560.1560967,1695569562.7520893,2.595983627,1695569560.1977482,1695569562.7361338,2.538160341
2-000000000276,1695569558.7846837,1695569562.8350637,4.05037668,1695569560.130621,1695569562.824421,2.693790814,1695569560.170834,1695569562.8092067,2.638147664
14-000000020674,1695569558.849249,1695569562.871851,4.022597768,1695569560.157335,1695569562.862621,2.705277182,1695569560.198021,1695569562.8469245,2.648682679
16-000000027473,1695569558.858916,1695569562.8767116,4.01779265,1695569560.1510715,1695569562.8668082,2.715726068,1695569560.193233,1695569562.8510642,2.657605141
25-000000560759,1695569558.8941176,1695569562.9005866,4.006465725,1695569560.1652215,1695569562.8919463,2.726715779,1695569560.2055428,1695569562.8760376,2.670265924
18-000000033030,1695569558.8667552,1695569562.9218514,4.055092724,1695569560.1666496,1695569562.9120235,2.745363992,1695569560.2093153,1695569562.8959994,2.686459098
5-000000011517,1695569558.8008623,1695569562.9392142,4.138349655,1695569560.162389,1695569562.9273255,2.764927996,1695569560.2040148,1695569562.910552,2.706300689
28-000000576965,1695569558.9047804,1695569563.1277504,4.222967318,1695569561.9925385,1695569563.1187804,1.126232556,1695569562.0339634,1695569563.1032062,1.069013077
