id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
11-000000012287,1695576725.0807104,1695576726.3466933,1.265980526,1695576725.2412825,1695576726.3235624,1.082274908,1695576725.246294,1695576726.3235004,1.077012324
27-000000579670,1695576725.1066926,1695576726.3531084,1.246413335,1695576725.2094758,1695576726.331755,1.122274626,1695576725.2151406,1695576726.331687,1.116344214
21-000000219090,1695576725.0983615,1695576726.3653054,1.266941207,1695576725.2260458,1695576726.3421516,1.116101764,1695576725.2316394,1695576726.342086,1.110233086
22-000000020503,1695576725.0997968,1695576726.367661,1.267861947,1695576725.2271688,1695576726.3482437,1.121071651,1695576725.2324371,1695576726.3481436,1.11551161
0-000000000178,1695576725.057709,1695576726.3709152,1.313202618,1695576725.2226508,1695576726.3454576,1.122803094,1695576725.2281713,1695576726.3453422,1.116967921
18-000000033030,1695576725.0933983,1695576726.3726726,1.279271262,1695576725.2299416,1695576726.3533485,1.123404057,1695576725.2372055,1695576726.3532639,1.115865651
16-000000027473,1695576725.0891166,1695576726.3750591,1.285940148,1695576725.211002,1695576726.3515882,1.140582702,1695576725.2179518,1695576726.3514822,1.133326109
10-000000007242,1695576725.0791957,1695576726.3825037,1.303305156,1695576725.2249138,1695576726.3611193,1.136201647,1695576725.229856,1695576726.361054,1.131005772
19-000000569105,1695576725.0951488,1695576726.3835642,1.28841357,1695576725.221832,1695576726.3582468,1.136411529,1695576725.229568,1695576726.3581808,1.128407338
1-000000000001,1695576725.0634167,1695576726.3850868,1.321666658,1695576725.2229128,1695576726.3598297,1.136912815,1695576725.2282267,1695576726.3597274,1.131306151
14-000000020674,1695576725.0857482,1695576726.39113,1.305379132,1695576725.2389462,1695576726.3666506,1.127700476,1695576725.2450128,1695576726.36657,1.121361495
25-000000560759,1695576725.1038353,1695576726.393144,1.289305817,1695576725.2029912,1695576726.3658867,1.162892186,1695576725.2079892,1695576726.3657644,1.15757416
4-000000000718,1695576725.0683587,1695576726.3966503,1.328289119,1695576725.2126684,1695576726.3707433,1.158070976,1695576725.217361,1695576726.3706362,1.153077195
7-000000000694,1695576725.0741463,1695576726.3980224,1.323873779,1695576725.2196424,1695576726.3557758,1.136129931,1695576725.2267656,1695576726.3556814,1.12871336
3-000000000549,1695576725.0666206,1695576726.4004426,1.333819598,1695576725.224045,1695576726.3757691,1.151720448,1695576725.22988,1695576726.3756614,1.145585054
28-000000576965,1695576725.1082573,1695576726.4023612,1.294101766,1695576725.2390862,1695576726.3790255,1.13993544,1695576725.2453132,1695576726.3789265,1.133408106
2-000000000276,1695576725.065185,1695576726.403215,1.338027819,1695576725.214631,1695576726.3794293,1.16479465,1695576725.21998,1695576726.3793156,1.159138811
26-000000571463,1695576725.105311,1695576726.4075427,1.302229576,1695576725.2261944,1695576726.380523,1.154325124,1695576725.231762,1695576726.380415,1.148444288
24-000000105659,1695576725.102578,1695576726.4129736,1.310393459,1695576725.2039268,1695576726.3931723,1.189241935,1695576725.2093656,1695576726.3930652,1.183489328
9-000000001371,1695576725.0775423,1695576726.4218202,1.344275311,1695576725.2118583,1695576726.398132,1.186270492,1695576725.219995,1695576726.3980248,1.177780245
13-000000000535,1695576725.0837467,1695576726.4242418,1.34049261,1695576725.2144969,1695576726.4009852,1.186485219,1695576725.2232325,1695576726.4008782,1.177436948
5-000000011517,1695576725.069798,1695576726.4280078,1.358207552,1695576725.2227807,1695576726.4038203,1.181036138,1695576725.2287452,1695576726.403711,1.174763736
29-000000574730,1695576725.109881,1695576726.4293451,1.319462007,1695576725.2225425,1695576726.4028242,1.180278182,1695576725.2272315,1695576726.4027584,1.175322345
23-000000576217,1695576725.1012888,1695576726.4301991,1.328908129,1695576725.2298634,1695576726.4056833,1.17581536,1695576725.234755,1695576726.4056115,1.170657689
17-000000020717,1695576725.090932,1695576726.4415472,1.350605583,1695576725.2124336,1695576726.4170315,1.204593907,1695576725.2172618,1695576726.416928,1.199472844
12-000000018852,1695576725.0822449,1695576726.4427602,1.360513127,1695576725.2139864,1695576726.4196298,1.205638974,1695576725.2193744,1695576726.419529,1.199955245
8-000000000771,1695576725.0759425,1695576726.444298,1.368353268,1695576725.213484,1695576726.419007,1.205519168,1695576725.218868,1695576726.418934,1.19986716
15-000000114471,1695576725.0872555,1695576726.4804893,1.393231212,1695576725.2359085,1695576726.4592016,1.223289414,1695576725.2414665,1695576726.459125,1.217475797
20-000000568423,1695576725.0971007,1695576726.488985,1.391881435,1695576725.2223272,1695576726.466991,1.244659714,1695576725.229123,1695576726.466878,1.237553878
6-000000000570,1695576725.0713863,1695576726.5126057,1.441216725,1695576725.2351356,1695576726.492961,1.257090345,1695576725.2458265,1695576726.492896,1.246123936
