id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
2-000000000276,1695576737.9218352,1695576744.93364,7.01180041,1695576743.5030837,1695576744.9098182,1.406731017,1695576743.5389307,1695576744.909648,1.370511534
20-000000568423,1695576737.9540803,1695576744.9678767,7.013793886,1695576743.4929082,1695576744.9400816,1.447170144,1695576743.529809,1695576744.9399164,1.409900411
12-000000018852,1695576737.9396343,1695576744.9915462,7.051909384,1695576743.5325415,1695576744.9697604,1.437215987,1695576743.5704918,1695576744.9696217,1.398934498
5-000000011517,1695576737.9275794,1695576745.113505,7.185922776,1695576743.5575097,1695576745.0897577,1.532245042,1695576743.596858,1695576745.089633,1.492568931
22-000000020503,1695576737.956902,1695576745.1914368,7.23453171,1695576743.6010134,1695576745.1683114,1.567294876,1695576743.6387346,1695576745.1681426,1.529194564
23-000000576217,1695576737.9582644,1695576745.2100623,7.251795531,1695576743.5413668,1695576745.1821375,1.640767646,1695576743.5686295,1695576745.1819906,1.613143498
27-000000579670,1695576737.9644177,1695576745.2299974,7.265577244,1695576743.5584345,1695576745.2055578,1.647119214,1695576743.6002803,1695576745.2054148,1.604922031
18-000000033030,1695576737.9494345,1695576745.2551773,7.305740099,1695576743.6360955,1695576745.2310224,1.594923291,1695576743.679281,1695576745.2308254,1.551306689
14-000000020674,1695576737.9429622,1695576745.258557,7.315592894,1695576743.6088307,1695576745.2344453,1.625610689,1695576743.6513104,1695576745.2342403,1.582711958
3-000000000549,1695576737.9240887,1695576745.2661405,7.342048778,1695576743.6291168,1695576745.244458,1.614582897,1695576743.6691334,1695576745.2442772,1.574158522
21-000000219090,1695576737.9554882,1695576745.2787957,7.323304866,1695576743.6521823,1695576745.2559147,1.603728825,1695576743.6935468,1695576745.255763,1.561988478
24-000000105659,1695576737.9598727,1695576745.284937,7.325062036,1695576743.6336913,1695576745.2583542,1.624658994,1695576743.6738527,1695576745.2581692,1.584096871
10-000000007242,1695576737.936682,1695576745.2895033,7.352818918,1695576743.5781076,1695576745.2676127,1.689501665,1695576743.628639,1695576745.267426,1.638575666
0-000000000178,1695576737.9155033,1695576745.297322,7.381814959,1695576743.5825815,1695576745.276609,1.69402351,1695576743.6249237,1695576745.2764235,1.651275125
8-000000000771,1695576737.9334598,1695576745.3212395,7.387776988,1695576743.6239672,1695576745.300846,1.676874825,1695576743.6686397,1695576745.3006513,1.631776433
16-000000027473,1695576737.9464438,1695576745.3271227,7.380675781,1695576743.6603055,1695576745.2632957,1.602986185,1695576743.7047544,1695576745.2631137,1.558127093
28-000000576965,1695576737.9658515,1695576745.3288152,7.362961503,1695576743.6284347,1695576745.2989748,1.670535783,1695576743.6841636,1695576745.2987943,1.614381388
4-000000000718,1695576737.9259903,1695576745.3331811,7.407187039,1695576743.5838535,1695576745.309918,1.726060015,1695576743.6303122,1695576745.3097193,1.679184778
25-000000560759,1695576737.9611523,1695576745.3399022,7.378747697,1695576743.6565518,1695576745.3108912,1.654331184,1695576743.7027302,1695576745.3106833,1.607723164
1-000000000001,1695576737.9193218,1695576745.3458052,7.426480051,1695576743.6461084,1695576745.3228886,1.676775972,1695576743.6919665,1695576745.3227074,1.630514261
19-000000569105,1695576737.95217,1695576745.3561192,7.403946612,1695576743.6570754,1695576745.3347814,1.677702488,1695576743.7030284,1695576745.334587,1.631336164
17-000000020717,1695576737.9480314,1695576745.3612244,7.413190787,1695576743.631848,1695576745.3356698,1.703817839,1695576743.6730695,1695576745.3354921,1.662156832
11-000000012287,1695576737.938079,1695576745.381351,7.44326938,1695576743.798134,1695576745.3567302,1.558592642,1695576743.8394167,1695576745.3565474,1.516911156
7-000000000694,1695576737.931762,1695576745.384698,7.452932872,1695576743.638065,1695576745.3598866,1.721817688,1695576743.6913912,1695576745.3596766,1.66804827
26-000000571463,1695576737.962696,1695576745.4265938,7.463895068,1695576743.678541,1695576745.3857818,1.707237414,1695576743.7231286,1695576745.385595,1.662232413
9-000000001371,1695576737.9349608,1695576745.4487886,7.513825314,1695576743.6543128,1695576745.4247215,1.770405147,1695576743.6968758,1695576745.4245188,1.72741514
13-000000000535,1695576737.9411595,1695576745.4838567,7.542694764,1695576743.7273533,1695576745.4572523,1.729885862,1695576743.7746334,1695576745.4570503,1.682190713
29-000000574730,1695576737.9676497,1695576745.5020015,7.534348774,1695576743.6802034,1695576745.470865,1.790657494,1695576743.7244008,1695576745.4706678,1.746031364
15-000000114471,1695576737.9446228,1695576745.5046673,7.560041272,1695576743.6736078,1695576745.4818516,1.80824013,1695576743.7353072,1695576745.4816546,1.746113741
6-000000000570,1695576737.929328,1695576745.5400639,7.610733449,1695576743.714498,1695576745.5169663,1.802464002,1695576743.7646232,1695576745.5167944,1.751938191
