id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
28-000000576965,1696124429.1022346,1696124464.6303048,35.528067107,1696124434.96303,1696124464.5640738,29.600331559,1696124435.413078,1696124464.5638807,29.149899482
7-000000000694,1696124429.0660973,1696124464.9933243,35.927224403,1696124434.7101243,1696124464.938952,30.228532949,1696124435.3310533,1696124464.9387698,29.607220742
15-000000114471,1696124429.079679,1696124465.0526085,35.972924762,1696124434.970496,1696124464.99158,30.021078321,1696124435.3414836,1696124464.9913883,29.649698844
17-000000020717,1696124429.083672,1696124465.1400707,36.056396402,1696124434.7488315,1696124465.082411,30.332985851,1696124435.3347175,1696124465.0822062,29.746677839
0-000000000178,1696124429.053229,1696124465.22423,36.170998357,1696124434.7051895,1696124465.1585085,30.452764721,1696124435.4147046,1696124465.158328,29.742872806
20-000000568423,1696124429.0897615,1696124465.2388382,36.149072826,1696124435.0078506,1696124465.1791658,30.171310244,1696124435.3183196,1696124465.1789825,29.860459736
23-000000576217,1696124429.094423,1696124465.2488754,36.154449384,1696124434.8154716,1696124465.1892087,30.373731536,1696124435.39901,1696124465.1890066,29.789740339
26-000000571463,1696124429.0991063,1696124465.2670932,36.167984369,1696124434.9884093,1696124465.2057087,30.216458064,1696124435.4117076,1696124465.205512,29.792741167
4-000000000718,1696124429.0612812,1696124465.281111,36.219827175,1696124434.7752075,1696124465.2221136,30.446818649,1696124435.416048,1696124465.221912,29.805534675
12-000000018852,1696124429.0739937,1696124465.2890005,36.215003538,1696124434.782276,1696124465.2288556,30.446574735,1696124435.411028,1696124465.22866,29.817402106
29-000000574730,1696124429.1039588,1696124465.2948864,36.190925149,1696124434.9727876,1696124465.2528448,30.279547378,1696124435.3981164,1696124465.252585,29.853715936
1-000000000001,1696124429.0566516,1696124465.3040626,36.247408015,1696124436.980771,1696124465.2588475,28.277363673,1696124437.02924,1696124465.2586536,28.228492058
27-000000579670,1696124429.1008399,1696124465.3425741,36.241731482,1696124434.8130171,1696124465.2881324,30.47511002,1696124435.4154313,1696124465.2879283,29.872268128
19-000000569105,1696124429.087952,1696124465.345715,36.257759183,1696124434.8701317,1696124465.287176,30.41625931,1696124435.4108636,1696124465.2869833,29.87510349
18-000000033030,1696124429.0859017,1696124465.370205,36.284300599,1696124434.998562,1696124465.3148785,30.315621631,1696124435.421075,1696124465.3146505,29.892651141
3-000000000549,1696124429.0596564,1696124465.3870337,36.327374619,1696124434.7083106,1696124465.3277743,30.619457581,1696124435.4194076,1696124465.3275702,29.907930562
24-000000105659,1696124429.0960028,1696124465.4035,36.307494071,1696124434.7630935,1696124465.358007,30.594544555,1696124435.3339193,1696124465.3577492,30.023227775
25-000000560759,1696124429.0978575,1696124465.4215114,36.323651467,1696124434.7388868,1696124465.3633602,30.624467451,1696124435.39786,1696124465.3631437,29.965052738
11-000000012287,1696124429.0721323,1696124465.422939,36.350804331,1696124434.7915277,1696124465.3728032,30.581270386,1696124435.4005973,1696124465.372594,29.97177727
10-000000007242,1696124429.0705087,1696124465.4265163,36.356005446,1696124434.7371016,1696124465.3605094,30.623402683,1696124435.4013922,1696124465.360308,29.95868691
21-000000219090,1696124429.091418,1696124465.4498715,36.358450279,1696124434.777993,1696124465.3926373,30.614305064,1696124435.3994288,1696124465.3924193,29.992429367
13-000000000535,1696124429.075573,1696124465.4559283,36.380352423,1696124434.9834857,1696124465.4105127,30.42714927,1696124435.4117985,1696124465.4103093,29.998408166
9-000000001371,1696124429.0689325,1696124465.46843,36.399494613,1696124435.05795,1696124465.4260743,30.367500754,1696124435.411652,1696124465.425848,30.013342388
8-000000000771,1696124429.067564,1696124465.4822176,36.414650817,1696124435.010087,1696124465.4284854,30.417600953,1696124435.3993042,1696124465.4282858,30.027961757
2-000000000276,1696124429.0582492,1696124465.4974546,36.43920277,1696124434.9673686,1696124465.4410696,30.473625321,1696124435.432616,1696124465.4408703,30.007950876
16-000000027473,1696124429.0815024,1696124465.5214927,36.439987774,1696124434.8519537,1696124465.4632812,30.611263307,1696124435.4561102,1696124465.4630728,30.006671653
22-000000020503,1696124429.0930743,1696124465.5342445,36.441167526,1696124434.8523664,1696124465.471884,30.619512597,1696124435.4112113,1696124465.4716892,30.060251977
5-000000011517,1696124429.0625885,1696124465.538216,36.47562539,1696124434.8546557,1696124465.4871294,30.632501942,1696124435.350058,1696124465.4868999,30.136647704
14-000000020674,1696124429.0776637,1696124465.5526328,36.474966423,1696124434.872625,1696124465.4991333,30.626503079,1696124435.4003239,1696124465.4989154,30.098355632
6-000000000570,1696124429.0640028,1696124465.620732,36.556726839,1696124435.01202,1696124465.5706758,30.558649366,1696124435.4114242,1696124465.5704262,30.158714711
