id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
26-000000571463,1696124466.218886,1696124475.7136877,9.494798744,1696124466.3946705,1696124475.6446388,9.249769222,1696124466.3994396,1696124475.6443284,9.244687274
24-000000105659,1696124466.2155156,1696124476.082798,9.867279885,1696124466.3502896,1696124476.032259,9.681283021,1696124466.3552155,1696124476.031931,9.675992912
18-000000033030,1696124466.2032108,1696124476.0949244,9.89171134,1696124466.3894553,1696124476.0357475,9.646139974,1696124466.413242,1696124476.0351593,9.621694684
27-000000579670,1696124466.2204356,1696124476.1052122,9.88477404,1696124466.3739293,1696124476.0590057,9.675168153,1696124466.3797793,1696124476.0489671,9.668946353
23-000000576217,1696124466.2140641,1696124476.106891,9.892824426,1696124466.3876467,1696124476.051772,9.663260872,1696124466.3921294,1696124476.0514612,9.658448499
22-000000020503,1696124466.2124403,1696124476.144105,9.93166166,1696124466.3819077,1696124476.0493584,9.655735438,1696124466.3865435,1696124476.0375218,9.650763285
25-000000560759,1696124466.2173138,1696124476.165862,9.948545718,1696124466.374455,1696124476.114896,9.740197949,1696124466.379187,1696124476.1145098,9.735084622
12-000000018852,1696124466.1872406,1696124476.2317045,10.044461025,1696124466.3732066,1696124476.1721191,9.798747057,1696124466.3951204,1696124476.1715193,9.776188675
9-000000001371,1696124466.17937,1696124476.3286617,10.149289034,1696124466.3903008,1696124476.280397,9.889166252,1696124466.4426315,1696124476.2797666,9.836139672
20-000000568423,1696124466.2076912,1696124476.3334181,10.125723672,1696124466.3701568,1696124476.2816157,9.911209999,1696124466.3747036,1696124476.2812333,9.906292684
16-000000027473,1696124466.1982903,1696124476.3344374,10.136144947,1696124466.3782518,1696124476.2971292,9.91867418,1696124466.3849158,1696124476.296795,9.911660598
5-000000011517,1696124466.1706276,1696124476.337502,10.166872827,1696124466.3719893,1696124476.2815742,9.909360062,1696124466.3778524,1696124476.2812023,9.903112451
13-000000000535,1696124466.1902463,1696124476.3382983,10.14805012,1696124466.389289,1696124476.2801538,9.890642564,1696124466.422574,1696124476.2711322,9.848330091
29-000000574730,1696124466.223892,1696124476.3762043,10.152309983,1696124466.3786185,1696124476.329122,9.950355479,1696124466.39204,1696124476.3285544,9.936308434
28-000000576965,1696124466.222132,1696124476.3843367,10.162202397,1696124466.3866081,1696124476.3327434,9.945957917,1696124466.4126065,1696124476.332054,9.919244168
10-000000007242,1696124466.1825,1696124476.417459,10.23495604,1696124466.3670409,1696124476.3722577,10.005023514,1696124466.3720462,1696124476.3718677,9.999588468
0-000000000178,1696124466.1600928,1696124476.4393027,10.279206462,1696124466.378711,1696124476.381858,10.001939964,1696124466.4018226,1696124476.3812249,9.978167558
3-000000000549,1696124466.167423,1696124476.451189,10.283762077,1696124466.3621404,1696124476.393277,10.03086694,1696124466.3681488,1696124476.3928819,10.024511895
4-000000000718,1696124466.1690223,1696124476.4801307,10.311106035,1696124466.3574796,1696124476.4261909,10.067880582,1696124466.36221,1696124476.4258192,10.062756244
2-000000000276,1696124466.1659372,1696124476.4962506,10.330310083,1696124466.3610845,1696124476.4403715,10.079068165,1696124466.3665745,1696124476.4399438,10.073119604
17-000000020717,1696124466.2010963,1696124476.5153167,10.314217157,1696124466.3614485,1696124476.4716983,10.101662562,1696124466.366421,1696124476.4629786,10.096310354
15-000000114471,1696124466.1955252,1696124476.516276,10.320748972,1696124466.3721657,1696124476.462838,10.090479298,1696124466.4032726,1696124476.4622266,10.058707682
8-000000000771,1696124466.1776779,1696124476.5233965,10.345716749,1696124466.3548539,1696124476.474023,10.118467718,1696124466.4266527,1696124476.4733968,10.045978985
19-000000569105,1696124466.205768,1696124476.5258782,10.320107467,1696124466.3731658,1696124476.4768026,10.103438484,1696124466.3936903,1696124476.4761407,10.082224281
21-000000219090,1696124466.2101686,1696124476.5298693,10.319699011,1696124466.3824782,1696124476.4739861,10.091294263,1696124466.4116497,1696124476.4732807,10.061400267
14-000000020674,1696124466.1927068,1696124476.5363626,10.343653228,1696124466.3798728,1696124476.4476619,10.067603434,1696124466.4067366,1696124476.446997,10.040039338
11-000000012287,1696124466.184718,1696124476.5536268,10.368906582,1696124466.3707333,1696124476.5107608,10.139491386,1696124466.3903472,1696124476.498673,10.108079316
6-000000000570,1696124466.17286,1696124476.5555437,10.382681533,1696124466.3952668,1696124476.4981143,10.102648549,1696124466.4163287,1696124476.4978476,10.081312359
1-000000000001,1696124466.1642358,1696124476.6716459,10.507406116,1696124466.364024,1696124476.6184475,10.25419068,1696124466.3885252,1696124476.6094263,10.220670758
7-000000000694,1696124466.1757245,1696124476.8912373,10.715510122,1696124466.3664637,1696124476.8345165,10.467885094,1696124466.3956718,1696124476.8339016,10.437993816
