id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
14-000000020674,1695573627.3735461,1695573635.0217266,7.648177744,1695573633.0333018,1695573634.9981742,1.964868152,1695573633.0716949,1695573634.9980094,1.926112477
1-000000000001,1695573627.3499308,1695573635.0549114,7.704977647,1695573633.0077546,1695573635.0305514,2.022793579,1695573633.0454195,1695573635.030357,1.984738777
4-000000000718,1695573627.3552172,1695573635.0912437,7.736023848,1695573633.032125,1695573635.0591767,2.027048122,1695573633.068523,1695573635.0589464,1.990220105
9-000000001371,1695573627.3648665,1695573635.242279,7.877410155,1695573633.073482,1695573635.2153187,2.14183317,1695573633.1127982,1695573635.2151442,2.102120547
26-000000571463,1695573627.393266,1695573635.243792,7.85052412,1695573633.0473986,1695573635.2221951,2.174792752,1695573633.0898685,1695573635.2220492,2.131965357
25-000000560759,1695573627.3918574,1695573635.2494273,7.857566434,1695573633.0432243,1695573635.221143,2.177914997,1695573633.0856955,1695573635.2209392,2.135010124
24-000000105659,1695573627.390551,1695573635.2596447,7.869091246,1695573633.0358503,1695573635.2354774,2.199623509,1695573633.081099,1695573635.2352295,2.153903567
27-000000579670,1695573627.394672,1695573635.2651823,7.870507925,1695573633.065942,1695573635.2420235,2.176077855,1695573633.1066463,1695573635.241812,2.134941064
28-000000576965,1695573627.3960798,1695573635.3067827,7.910700538,1695573633.1061502,1695573635.2844427,2.178288495,1695573633.1517682,1695573635.2842174,2.132223214
0-000000000178,1695573627.3461735,1695573635.3196318,7.973455436,1695573633.0861797,1695573635.2918684,2.205684564,1695573633.12827,1695573635.2916648,2.163168686
10-000000007242,1695573627.3666894,1695573635.3603504,7.993658457,1695573633.0595725,1695573635.3307536,2.271177648,1695573633.1043835,1695573635.3305306,2.225924512
23-000000576217,1695573627.3890238,1695573635.3652325,7.976206179,1695573633.091262,1695573635.336048,2.244781525,1695573633.117349,1695573635.3358047,2.21819764
5-000000011517,1695573627.3569038,1695573635.3697536,8.012847351,1695573633.1209822,1695573635.3372877,2.216301519,1695573633.180714,1695573635.3370404,2.156102983
7-000000000694,1695573627.3614442,1695573635.3716063,8.010160031,1695573633.0611339,1695573635.3437142,2.282577276,1695573633.1048946,1695573635.3435643,2.238453336
13-000000000535,1695573627.3715186,1695573635.3772979,8.005776539,1695573633.1596913,1695573635.3505728,2.190877732,1695573633.206083,1695573635.350364,2.144040154
11-000000012287,1695573627.3683195,1695573635.3853312,8.01700846,1695573633.0243697,1695573635.358903,2.334528817,1695573633.065024,1695573635.3586705,2.293423449
29-000000574730,1695573627.3976417,1695573635.392577,7.994932696,1695573633.08201,1695573635.3649502,2.282936854,1695573633.1286879,1695573635.364727,2.235800012
18-000000033030,1695573627.3808997,1695573635.400814,8.019912222,1695573633.130515,1695573635.3785417,2.24802234,1695573633.1765373,1695573635.3783028,2.201541655
16-000000027473,1695573627.3777068,1695573635.4078653,8.030155617,1695573633.1984134,1695573635.3733478,2.174930884,1695573633.244061,1695573635.3731856,2.128887906
17-000000020717,1695573627.3794265,1695573635.427928,8.048498828,1695573633.0440702,1695573635.4056525,2.36157854,1695573633.0904007,1695573635.4054801,2.314836721
8-000000000771,1695573627.363117,1695573635.4390745,8.075954346,1695573633.0656698,1695573635.416962,2.351287859,1695573633.1100044,1695573635.41674,2.30650786
3-000000000549,1695573627.353512,1695573635.449217,8.095702616,1695573633.0547745,1695573635.3487313,2.293952758,1695573633.1074626,1695573635.3485143,2.240765164
19-000000569105,1695573627.3827124,1695573635.455611,8.072896045,1695573633.0961924,1695573635.4320288,2.335832706,1695573633.1423123,1695573635.4318178,2.289267824
21-000000219090,1695573627.3859968,1695573635.4597945,8.073795523,1695573633.0789065,1695573635.4367993,2.35788743,1695573633.125925,1695573635.4365847,2.310425753
22-000000020503,1695573627.3876371,1695573635.527483,8.139842446,1695573633.0768926,1695573635.4830585,2.406161434,1695573633.1240835,1695573635.4828146,2.358499512
20-000000568423,1695573627.384637,1695573635.5828185,8.19817917,1695573633.1688714,1695573635.5573537,2.38847838,1695573633.2171557,1695573635.557158,2.339778996
15-000000114471,1695573627.3753586,1695573635.6097221,8.234360936,1695573633.0804741,1695573635.5867288,2.506250158,1695573633.1229844,1695573635.5865471,2.463342323
12-000000018852,1695573627.3698156,1695573635.6404197,8.270602067,1695573633.1147878,1695573635.616734,2.501942404,1695573633.1687891,1695573635.61658,2.447564781
2-000000000276,1695573627.3516731,1695573635.6533604,8.301684319,1695573633.0894911,1695573635.6299574,2.540463285,1695573633.1402009,1695573635.6297886,2.489310611
6-000000000570,1695573627.3588853,1695573639.2255907,11.866702773,1695573633.0438285,1695573639.198002,6.154168838,1695573633.0758533,1695573639.1977832,6.121699266
