id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
29-000000574730,1695573650.528769,1695573651.5385013,1.00972944,1695573650.710425,1695573651.517047,0.806618877,1695573650.7143216,1695573651.5169537,0.802463271
5-000000011517,1695573650.4604301,1695573651.5395312,1.079098644,1695573650.7122588,1695573651.51624,0.803977673,1695573650.7173018,1695573651.516156,0.798681546
11-000000012287,1695573650.4838445,1695573651.5688753,1.085026678,1695573650.7080164,1695573651.540719,0.832698646,1695573650.7128952,1695573651.5406175,0.827536883
4-000000000718,1695573650.4553409,1695573651.5759764,1.120632887,1695573650.6693478,1695573651.554976,0.885623966,1695573650.6752517,1695573651.5548887,0.879423771
2-000000000276,1695573650.449667,1695573651.5826855,1.13301533,1695573650.6947994,1695573651.5574484,0.862645468,1695573650.6999912,1695573651.557353,0.85717071
26-000000571463,1695573650.5197823,1695573651.5843472,1.06456177,1695573650.7004192,1695573651.5620098,0.861587481,1695573650.7070735,1695573651.5619035,0.854626267
28-000000576965,1695573650.5261588,1695573651.589715,1.0635537,1695573650.6909356,1695573651.5664494,0.87551061,1695573650.6970909,1695573651.5663447,0.8690614
12-000000018852,1695573650.4875798,1695573651.5925457,1.104963047,1695573650.678491,1695573651.5731046,0.894609887,1695573650.6841972,1695573651.5729809,0.888573685
7-000000000694,1695573650.4750102,1695573651.5960217,1.121008861,1695573650.6972558,1695573651.5740163,0.876757238,1695573650.7033048,1695573651.5739162,0.870408437
3-000000000549,1695573650.4516418,1695573651.5991704,1.147524189,1695573650.6850803,1695573651.574077,0.888993564,1695573650.6907387,1695573651.5740135,0.883081903
20-000000568423,1695573650.5088408,1695573651.605001,1.096157286,1695573650.6974964,1695573651.5752046,0.877704696,1695573650.7021973,1695573651.5750937,0.872697618
8-000000000771,1695573650.47793,1695573651.608128,1.130195511,1695573650.6710556,1695573651.578088,0.907028136,1695573650.6765642,1695573651.5779705,0.901156647
25-000000560759,1695573650.5174809,1695573651.6089816,1.091498928,1695573650.6917965,1695573651.5780866,0.886286909,1695573650.6967022,1695573651.577979,0.881087947
17-000000020717,1695573650.5018363,1695573651.6102889,1.108450539,1695573650.681444,1695573651.5588732,0.877425653,1695573650.6867943,1695573651.558811,0.871806172
27-000000579670,1695573650.5215049,1695573651.610949,1.089442519,1695573650.6893091,1695573651.578015,0.888702695,1695573650.6949842,1695573651.577941,0.882765508
21-000000219090,1695573650.5102842,1695573651.6116688,1.101382411,1695573650.709368,1695573651.5775895,0.86821875,1695573650.7151055,1695573651.577497,0.862193887
16-000000027473,1695573650.4998562,1695573651.6123006,1.112375472,1695573650.6857445,1695573651.5824058,0.896658254,1695573650.6925194,1695573651.5823293,0.889614681
9-000000001371,1695573650.4796405,1695573651.613118,1.133475346,1695573650.7070885,1695573651.58471,0.877617769,1695573650.7139044,1695573651.5846293,0.870525321
23-000000576217,1695573650.5147078,1695573651.6140025,1.099292916,1695573650.6922016,1695573651.5872416,0.895035856,1695573650.6970575,1695573651.58717,0.889916053
14-000000020674,1695573650.4927495,1695573651.614505,1.1217533,1695573650.6945884,1695573651.570029,0.875437734,1695573650.700672,1695573651.5699394,0.869075851
10-000000007242,1695573650.4823446,1695573651.6150522,1.132705504,1695573650.6616373,1695573651.5938687,0.931469538,1695573650.6666498,1695573651.5937436,0.926132643
0-000000000178,1695573650.4418385,1695573651.618579,1.176737271,1695573650.7015991,1695573651.5938194,0.89221682,1695573650.7071972,1695573651.593707,0.886315142
15-000000114471,1695573650.4944665,1695573651.624199,1.129729815,1695573650.7041776,1695573651.6013567,0.897175796,1695573650.7112422,1695573651.601251,0.889807072
19-000000569105,1695573650.5067408,1695573651.6288912,1.12214708,1695573650.6838787,1695573651.6069114,0.923029535,1695573650.6906164,1695573651.6067965,0.915968542
13-000000000535,1695573650.4901142,1695573651.6302326,1.140115908,1695573650.7053766,1695573651.6027358,0.897355262,1695573650.7132688,1695573651.6026661,0.889192629
1-000000000001,1695573650.4471443,1695573651.656189,1.209041576,1695573650.71164,1695573651.6179574,0.906314025,1695573650.7180262,1695573651.617853,0.899593233
22-000000020503,1695573650.5131042,1695573651.6581917,1.145084425,1695573650.6757162,1695573651.6355913,0.959871152,1695573650.6811604,1695573651.6355114,0.954141786
24-000000105659,1695573650.5160594,1695573651.659074,1.14301277,1695573650.6767871,1695573651.6096196,0.932829285,1695573650.6825063,1695573651.609523,0.926797992
18-000000033030,1695573650.503762,1695573651.6847293,1.180964399,1695573650.6974592,1695573651.582624,0.885161285,1695573650.7047021,1695573651.5825267,0.877626201
6-000000000570,1695573650.4683547,1695573651.7264051,1.258046804,1695573650.7026644,1695573651.7004228,0.997755067,1695573650.7126963,1695573651.7003503,0.987455406
