id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
21-000000219090,1695573725.4118614,1695573726.1797802,0.767916645,1695573725.5608933,1695573726.1592488,0.598352767,1695573725.566021,1695573726.1591651,0.592982382
3-000000000549,1695573725.3821964,1695573726.1858351,0.803635534,1695573725.5582078,1695573726.1654112,0.607200311,1695573725.5633144,1695573726.1653552,0.601879886
13-000000000535,1695573725.3983667,1695573726.2106938,0.812324879,1695573725.5585942,1695573726.187348,0.628750175,1695573725.5660305,1695573726.1872478,0.621028351
27-000000579670,1695573725.4207027,1695573726.218668,0.797962459,1695573725.55583,1695573726.1948056,0.638971979,1695573725.5610213,1695573726.1947484,0.633548719
14-000000020674,1695573725.4004521,1695573726.2202892,0.819834855,1695573725.5485635,1695573726.1984563,0.649890011,1695573725.5541935,1695573726.198356,0.643983633
10-000000007242,1695573725.3940299,1695573726.2211185,0.827086862,1695573725.524771,1695573726.1986063,0.673831754,1695573725.5299728,1695573726.1984973,0.668332648
29-000000574730,1695573725.4251976,1695573726.2219036,0.796704158,1695573725.533939,1695573726.1703033,0.636361119,1695573725.537943,1695573726.1702452,0.632127732
0-000000000178,1695573725.3742433,1695573726.2364316,0.862184554,1695573725.5285957,1695573726.1914122,0.662812689,1695573725.534276,1695573726.1913211,0.656837633
16-000000027473,1695573725.4039612,1695573726.2390537,0.835090775,1695573725.5398612,1695573726.21808,0.67821532,1695573725.5468082,1695573726.218015,0.671003134
17-000000020717,1695573725.4056401,1695573726.2406538,0.835011682,1695573725.52154,1695573726.219779,0.697612401,1695573725.526657,1695573726.2197144,0.69223703
25-000000560759,1695573725.417655,1695573726.24664,0.828982193,1695573725.5279658,1695573726.2243528,0.696383354,1695573725.5345554,1695573726.2242942,0.68954407
23-000000576217,1695573725.4147613,1695573726.248336,0.833572548,1695573725.5475962,1695573726.2273622,0.679761878,1695573725.5526626,1695573726.2272842,0.674426448
1-000000000001,1695573725.3789394,1695573726.2491605,0.870218429,1695573725.5228612,1695573726.2256522,0.702786868,1695573725.528497,1695573726.2255454,0.696842286
15-000000114471,1695573725.4022913,1695573726.2516577,0.849364851,1695573725.5392451,1695573726.2292259,0.689977401,1695573725.546485,1695573726.2291512,0.682463735
5-000000011517,1695573725.3852754,1695573726.25288,0.867602898,1695573725.5495715,1695573726.2288985,0.679323581,1695573725.5565429,1695573726.2287993,0.67204386
9-000000001371,1695573725.392252,1695573726.253495,0.861241489,1695573725.5443456,1695573726.2290354,0.684686722,1695573725.5514066,1695573726.228935,0.677332998
22-000000020503,1695573725.4134357,1695573726.2541587,0.840721378,1695573725.5478842,1695573726.2275624,0.679674741,1695573725.5532956,1695573726.2274995,0.674011152
12-000000018852,1695573725.3967204,1695573726.2550392,0.8583017,1695573725.5465915,1695573726.233361,0.6867663,1695573725.5521922,1695573726.2332325,0.680840037
28-000000576965,1695573725.4232376,1695573726.2558336,0.832593755,1695573725.5438704,1695573726.2247343,0.680860561,1695573725.5502636,1695573726.2246747,0.674209356
26-000000571463,1695573725.419212,1695573726.256663,0.837449058,1695573725.5421891,1695573726.2312937,0.689101854,1695573725.547758,1695573726.2312126,0.683250083
2-000000000276,1695573725.3805714,1695573726.2577777,0.877204176,1695573725.5285406,1695573726.2313027,0.702758154,1695573725.534108,1695573726.2312367,0.696924124
19-000000569105,1695573725.4087527,1695573726.2605903,0.851835837,1695573725.5390122,1695573726.2376661,0.698650214,1695573725.5458016,1695573726.2375805,0.691577522
8-000000000771,1695573725.3905554,1695573726.266972,0.876413977,1695573725.5325625,1695573726.2303112,0.697745125,1695573725.540419,1695573726.230193,0.689556871
24-000000105659,1695573725.4161804,1695573726.2717717,0.855588801,1695573725.53228,1695573726.2490685,0.716784746,1695573725.5372057,1695573726.2489567,0.711551252
11-000000012287,1695573725.395361,1695573726.2728074,0.877444686,1695573725.5501044,1695573726.251977,0.701869307,1695573725.5558891,1695573726.2518687,0.695782822
18-000000033030,1695573725.4069784,1695573726.2771525,0.870171786,1695573725.5613275,1695573726.2365024,0.67517211,1695573725.5687664,1695573726.2364047,0.667449828
7-000000000694,1695573725.3889198,1695573726.3034534,0.914530345,1695573725.5637767,1695573726.2676027,0.703822037,1695573725.5699918,1695573726.267541,0.697341525
4-000000000718,1695573725.3838406,1695573726.3154516,0.931608314,1695573725.5215385,1695573726.293413,0.771871164,1695573725.5265024,1695573726.293347,0.766647922
20-000000568423,1695573725.4105546,1695573726.3284461,0.917889315,1695573725.5229156,1695573726.2067437,0.68382454,1695573725.5275545,1695573726.2066834,0.678936293
6-000000000570,1695573725.386807,1695573726.3788564,0.992046417,1695573725.586285,1695573726.355594,0.769306271,1695573725.596457,1695573726.3554842,0.758820649
