id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
4-000000000718,1695573726.9984686,1695573733.7929852,6.794513975,1695573732.612599,1695573733.773419,1.160816294,1695573732.6454608,1695573733.7732959,1.127624868
11-000000012287,1695573727.01345,1695573733.928703,6.915250514,1695573732.6603541,1695573733.9096444,1.249287082,1695573732.6993017,1695573733.9094663,1.209963044
9-000000001371,1695573727.010181,1695573733.92985,6.91966697,1695573732.6787574,1695573733.9063797,1.22761888,1695573732.7128189,1695573733.906202,1.193171583
12-000000018852,1695573727.0148313,1695573734.0287414,7.013907234,1695573732.7117562,1695573734.0069766,1.295215391,1695573732.7463958,1695573734.006787,1.260142727
16-000000027473,1695573727.0224495,1695573734.0803523,7.057895772,1695573732.6917353,1695573734.049664,1.357301887,1695573732.73457,1695573734.0495284,1.314115517
5-000000011517,1695573726.99982,1695573734.091179,7.091356188,1695573732.6618426,1695573734.0669785,1.405132292,1695573732.7053344,1695573734.0668597,1.361312754
14-000000020674,1695573727.0186229,1695573734.1478252,7.12919859,1695573732.6729434,1695573734.1263974,1.453450881,1695573732.714584,1695573734.1262653,1.411461741
13-000000000535,1695573727.0164561,1695573734.158017,7.141558387,1695573732.701216,1695573734.1351264,1.433906442,1695573732.7473357,1695573734.1349928,1.387432436
18-000000033030,1695573727.0256007,1695573734.17018,7.144576735,1695573732.7430198,1695573734.1470084,1.403527399,1695573732.7876518,1695573734.1468878,1.358539067
3-000000000549,1695573726.9967396,1695573734.1736276,7.176884506,1695573732.696969,1695573734.1480556,1.451083013,1695573732.7388818,1695573734.1479228,1.408819331
2-000000000276,1695573726.9951196,1695573734.1879847,7.192861649,1695573732.7400641,1695573734.16393,1.423861626,1695573732.7860708,1695573734.163768,1.377471494
1-000000000001,1695573726.9933863,1695573734.1891005,7.195711803,1695573732.7459345,1695573734.1620853,1.416146325,1695573732.7865355,1695573734.1618896,1.375133886
0-000000000178,1695573726.9889884,1695573734.1990347,7.210042895,1695573732.6944115,1695573734.1724002,1.477984717,1695573732.7486598,1695573734.1722,1.423309516
22-000000020503,1695573727.0341027,1695573734.2021728,7.168067237,1695573732.7743363,1695573734.1828344,1.408494602,1695573732.8185887,1695573734.1826713,1.363866784
21-000000219090,1695573727.0314662,1695573734.211051,7.179581826,1695573732.681659,1695573734.184846,1.503183003,1695573732.7270343,1695573734.1846378,1.457345389
24-000000105659,1695573727.0372102,1695573734.2131922,7.175883979,1695573732.6885371,1695573734.1840243,1.495483613,1695573732.7382042,1695573734.1838906,1.445470747
25-000000560759,1695573727.038642,1695573734.2388492,7.200204827,1695573732.7242103,1695573734.216476,1.492261458,1695573732.76725,1695573734.2163212,1.448829144
17-000000020717,1695573727.024135,1695573734.241721,7.21758283,1695573732.7295716,1695573734.2136757,1.484100221,1695573732.772288,1695573734.2134902,1.440892056
23-000000576217,1695573727.035459,1695573734.2509227,7.215461376,1695573732.7166433,1695573734.2223284,1.505680324,1695573732.7574172,1695573734.222145,1.464505518
29-000000574730,1695573727.0449018,1695573734.2523713,7.207467411,1695573732.753633,1695573734.2302344,1.476597376,1695573732.795288,1695573734.2300978,1.434583602
10-000000007242,1695573727.0119658,1695573734.2539914,7.242023904,1695573732.676642,1695573734.2324517,1.555805804,1695573732.7193832,1695573734.2322738,1.512665582
20-000000568423,1695573727.0298355,1695573734.262446,7.232607713,1695573732.7433672,1695573734.241258,1.497887577,1695573732.784383,1695573734.2411227,1.456516295
28-000000576965,1695573727.0430787,1695573734.3155286,7.272447078,1695573732.731206,1695573734.2902114,1.559000862,1695573732.7863138,1695573734.2899954,1.503457342
19-000000569105,1695573727.0274644,1695573734.3840678,7.356600799,1695573732.7877977,1695573734.3613007,1.573499178,1695573732.837414,1695573734.3611147,1.523465872
8-000000000771,1695573727.0086646,1695573734.4371736,7.428505744,1695573732.8239603,1695573734.4118257,1.587861507,1695573732.869898,1695573734.4116843,1.541559733
7-000000000694,1695573727.006501,1695573734.519441,7.512937223,1695573732.9020252,1695573734.4964674,1.594438402,1695573732.9462318,1695573734.4963036,1.549806083
26-000000571463,1695573727.0399973,1695573734.5837705,7.543770783,1695573732.861144,1695573734.5569372,1.695789047,1695573732.913641,1695573734.5567677,1.642901992
15-000000114471,1695573727.0206244,1695573734.599872,7.579245397,1695573732.7923303,1695573734.5741413,1.781806048,1695573732.8651388,1695573734.5739548,1.708584514
27-000000579670,1695573727.0416913,1695573734.6100135,7.568319642,1695573732.8263779,1695573734.5818665,1.75548393,1695573732.8730626,1695573734.5816665,1.708369551
6-000000000570,1695573727.003846,1695573734.633482,7.629633297,1695573732.8206367,1695573734.5098488,1.689207901,1695573732.8819354,1695573734.5096307,1.627459351
