id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
24-000000105659,1695570902.669722,1695570905.393632,2.723907137,1695570902.8097591,1695570905.3487825,2.539018159,1695570902.8142881,1695570905.2853873,2.470917803
22-000000020503,1695570902.6664395,1695570905.4517653,2.785322544,1695570902.8167112,1695570905.4103956,2.593679913,1695570902.8213158,1695570905.3484366,2.526935494
27-000000579670,1695570902.6747851,1695570905.4688077,2.794019623,1695570902.8179507,1695570905.4314027,2.613446518,1695570902.8227773,1695570905.3740895,2.551128736
23-000000576217,1695570902.6680436,1695570905.4777715,2.809724761,1695570902.798635,1695570905.4370322,2.638391548,1695570902.803489,1695570905.3706882,2.567000838
26-000000571463,1695570902.6728106,1695570905.4839869,2.811173194,1695570902.8130486,1695570905.4466043,2.63355067,1695570902.8185048,1695570905.3840623,2.565381097
14-000000020674,1695570902.650868,1695570905.4935024,2.842631652,1695570902.8130977,1695570905.4536748,2.64057077,1695570902.819113,1695570905.3873107,2.568000616
12-000000018852,1695570902.6470165,1695570905.502153,2.85513349,1695570902.7757301,1695570905.4576714,2.681935928,1695570902.7811124,1695570905.3897243,2.60840507
16-000000027473,1695570902.655389,1695570905.5080845,2.852691822,1695570902.7945821,1695570905.466813,2.6722239,1695570902.801259,1695570905.39799,2.596533572
21-000000219090,1695570902.6646755,1695570905.509754,2.845075909,1695570902.7794185,1695570905.4670048,2.687580863,1695570902.78498,1695570905.4003437,2.61516402
8-000000000771,1695570902.639526,1695570905.5122797,2.872750682,1695570902.8105867,1695570905.4709294,2.660337939,1695570902.8158965,1695570905.404808,2.588716406
19-000000569105,1695570902.6609058,1695570905.5170982,2.856188075,1695570902.7840464,1695570905.4716163,2.687564038,1695570902.7908714,1695570905.4027503,2.611675625
4-000000000718,1695570902.63127,1695570905.5220063,2.890732978,1695570902.7634451,1695570905.472167,2.708715701,1695570902.7683668,1695570905.401832,2.633259887
5-000000011517,1695570902.6333544,1695570905.5297985,2.896440678,1695570902.8068752,1695570905.4822912,2.675061514,1695570902.8127444,1695570905.4147065,2.601421804
17-000000020717,1695570902.6575158,1695570905.536105,2.878585244,1695570902.7693563,1695570905.4694977,2.700135175,1695570902.774403,1695570905.401512,2.626904742
25-000000560759,1695570902.6711886,1695570905.53805,2.866858584,1695570902.8028226,1695570905.4911106,2.688283058,1695570902.8076184,1695570905.4229534,2.615138553
1-000000000001,1695570902.6255748,1695570905.5392065,2.913628578,1695570902.8025448,1695570905.487757,2.685206774,1695570902.807986,1695570905.4202843,2.612093599
2-000000000276,1695570902.6275675,1695570905.539803,2.912233158,1695570902.7963033,1695570905.4921014,2.695792365,1695570902.8016932,1695570905.4259934,2.624094022
20-000000568423,1695570902.6631987,1695570905.5430133,2.879812217,1695570902.7739391,1695570905.5025668,2.728621983,1695570902.778686,1695570905.4321768,2.653291435
10-000000007242,1695570902.6435022,1695570905.5480173,2.904511876,1695570902.775371,1695570905.5053968,2.730019967,1695570902.7804322,1695570905.4367645,2.656139138
9-000000001371,1695570902.641305,1695570905.5543895,2.913081299,1695570902.8070154,1695570905.511324,2.704303304,1695570902.8138099,1695570905.4443057,2.630299282
3-000000000549,1695570902.6294687,1695570905.5676732,2.938200792,1695570902.8041756,1695570905.5252478,2.72106762,1695570902.8100348,1695570905.45797,2.647738027
0-000000000178,1695570902.6199477,1695570905.5715094,2.951557694,1695570902.8100505,1695570905.4523625,2.642306456,1695570902.8154092,1695570905.3860261,2.570427554
11-000000012287,1695570902.6450155,1695570905.5787666,2.933748331,1695570902.8115864,1695570905.5352755,2.723684135,1695570902.8168626,1695570905.4678183,2.650760703
15-000000114471,1695570902.653116,1695570905.5921698,2.939049048,1695570902.784163,1695570905.5493796,2.765210288,1695570902.7913945,1695570905.4796114,2.687993289
13-000000000535,1695570902.6486695,1695570905.6046965,2.956023335,1695570902.817642,1695570905.5553885,2.737741188,1695570902.8248181,1695570905.4932375,2.668219406
28-000000576965,1695570902.6764157,1695570905.6201158,2.943696344,1695570902.7907321,1695570905.5761147,2.785377001,1695570902.797236,1695570905.5076683,2.710224757
7-000000000694,1695570902.6376975,1695570905.6358607,2.998160139,1695570902.784949,1695570905.5940692,2.809113875,1695570902.7965753,1695570905.5259902,2.729194258
29-000000574730,1695570902.6781116,1695570905.6404982,2.962383751,1695570902.7822864,1695570905.5971909,2.814898505,1695570902.7866948,1695570905.5303268,2.743426356
18-000000033030,1695570902.6589947,1695570905.6436908,2.984693171,1695570902.822411,1695570905.5816162,2.759199812,1695570902.8300455,1695570905.5106404,2.680397106
6-000000000570,1695570902.6351373,1695570906.001558,3.366417465,1695570902.8159888,1695570905.937079,3.12108532,1695570902.8261416,1695570905.8460648,3.01971961
