id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
5-000000011517,1695570922.8513482,1695570932.1102562,9.258904452,1695570928.6580546,1695570932.0639014,3.405842767,1695570928.680009,1695570932.0049949,3.324799379
28-000000576965,1695570922.9526846,1695570933.3404284,10.387740709,1695570928.6729875,1695570933.2978325,4.624840985,1695570928.7131934,1695570933.2373974,4.524009012
21-000000219090,1695570922.9254105,1695570933.3801346,10.454721101,1695570928.6801894,1695570933.335639,4.655445546,1695570928.7160013,1695570933.272201,4.555993317
1-000000000001,1695570922.843668,1695570933.399989,10.556317747,1695570928.6801891,1695570933.356551,4.676356837,1695570928.7180593,1695570933.2970176,4.578728974
24-000000105659,1695570922.935713,1695570933.4371433,10.501427006,1695570928.6831775,1695570933.3923016,4.70911923,1695570928.7211769,1695570933.3302763,4.608879063
4-000000000718,1695570922.8498852,1695570933.462426,10.61253807,1695570928.694399,1695570933.4211347,4.726730407,1695570928.727844,1695570933.3596976,4.631649111
11-000000012287,1695570922.876552,1695570933.4663332,10.589777912,1695570928.699967,1695570933.4258394,4.725867399,1695570928.7279723,1695570933.3483868,4.620193997
19-000000569105,1695570922.9140306,1695570933.4840996,10.570066189,1695570928.7214882,1695570933.4369879,4.715495335,1695570928.759817,1695570933.373951,4.613931907
27-000000579670,1695570922.9503937,1695570933.562848,10.612451186,1695570928.6353214,1695570933.5166874,4.880745769,1695570928.6757586,1695570933.4526846,4.776098579
2-000000000276,1695570922.8458323,1695570933.5679734,10.722138081,1695570928.690949,1695570933.5282075,4.837253892,1695570928.7265038,1695570933.4663138,4.739610445
17-000000020717,1695570922.9069333,1695570933.6648467,10.757909908,1695570928.693921,1695570933.6225355,4.928609791,1695570928.7408931,1695570933.5614285,4.82033215
9-000000001371,1695570922.862053,1695570933.6922176,10.830161889,1695570928.660495,1695570933.6479719,4.98747153,1695570928.6976259,1695570933.5850506,4.88722778
22-000000020503,1695570922.9278374,1695570933.6963587,10.768517568,1695570928.662317,1695570933.6521308,4.989084897,1695570928.7043993,1695570933.5852726,4.879946687
18-000000033030,1695570922.9098632,1695570933.706737,10.796871102,1695570928.8225486,1695570933.6660793,4.843526291,1695570928.862904,1695570933.603475,4.7403665
7-000000000694,1695570922.8585532,1695570933.7310305,10.872474053,1695570928.6821835,1695570933.6859632,5.0037753,1695570928.7238116,1695570933.6183305,4.894294577
3-000000000549,1695570922.8482869,1695570933.756434,10.908144659,1695570928.6813123,1695570933.7077987,5.026482166,1695570928.7195318,1695570933.6390407,4.919297414
0-000000000178,1695570922.8397768,1695570933.7816632,10.941883745,1695570928.7435613,1695570933.736649,4.993082737,1695570928.7843738,1695570933.6690786,4.884486661
20-000000568423,1695570922.9180706,1695570933.7826457,10.86457259,1695570928.6962886,1695570933.7415855,5.045292148,1695570928.7370467,1695570933.6745722,4.937307615
29-000000574730,1695570922.9643579,1695570933.9477386,10.983377387,1695570928.7109663,1695570933.9061704,5.195199804,1695570928.7536302,1695570933.8393743,5.085518007
10-000000007242,1695570922.8706598,1695570933.9626305,11.091967269,1695570928.7150087,1695570933.9017324,5.186717909,1695570928.7625613,1695570933.8342476,5.071465476
15-000000114471,1695570922.8986545,1695570933.977672,11.079013556,1695570928.7015,1695570933.9279377,5.226431398,1695570928.7474031,1695570933.8592663,5.111644256
26-000000571463,1695570922.9454544,1695570933.9791183,11.033661496,1695570928.7677355,1695570933.9379828,5.170241646,1695570928.8084018,1695570933.8703747,5.061728365
12-000000018852,1695570922.880883,1695570934.024197,11.1433113,1695570928.6826673,1695570933.982121,5.29944829,1695570928.7245393,1695570933.8919437,5.152309893
8-000000000771,1695570922.8603377,1695570934.0529063,11.19256588,1695570928.694814,1695570933.9673648,5.272546175,1695570928.7346544,1695570933.8966687,5.161782791
14-000000020674,1695570922.8931477,1695570934.1551712,11.262018798,1695570928.6825478,1695570934.1142204,5.431667827,1695570928.725886,1695570934.042949,5.316841303
25-000000560759,1695570922.941565,1695570934.1918383,11.250270632,1695570928.724798,1695570934.1518068,5.427003219,1695570928.7709868,1695570934.0827398,5.311527017
16-000000027473,1695570922.9008977,1695570934.2005088,11.299608457,1695570928.7704585,1695570934.155044,5.384581035,1695570928.8144188,1695570934.0855756,5.270932109
13-000000000535,1695570922.8830402,1695570934.2425196,11.359476638,1695570928.799139,1695570934.1982157,5.399070314,1695570928.845191,1695570934.1283937,5.282976356
23-000000576217,1695570922.9327028,1695570934.5206525,11.587946811,1695570928.7663667,1695570934.4760947,5.70972207,1695570928.8060093,1695570934.4051318,5.598900496
6-000000000570,1695570922.8528948,1695570934.6139548,11.761057319,1695570928.7921534,1695570934.5631027,5.770944563,1695570928.8520288,1695570934.4687083,5.61644936
