id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
22-000000020503,1695570972.774553,1695570973.169934,0.395378577,1695570972.8952572,1695570973.1470196,0.25175733,1695570972.8998485,1695570973.129681,0.229647047
5-000000011517,1695570972.7443573,1695570973.1772645,0.432903564,1695570972.904646,1695570973.1509957,0.246345022,1695570972.909593,1695570973.1342373,0.224462034
4-000000000718,1695570972.742473,1695570973.1809418,0.438466516,1695570972.876101,1695570973.1545923,0.278486124,1695570972.8808744,1695570973.1343775,0.253302811
23-000000576217,1695570972.7760813,1695570973.1820536,0.405970314,1695570972.8830318,1695570973.1577294,0.274692451,1695570972.8879788,1695570973.1385114,0.250335177
29-000000574730,1695570972.785664,1695570973.1834629,0.397797166,1695570972.8804204,1695570973.1573687,0.276942631,1695570972.884997,1695570973.1404967,0.25530207
3-000000000549,1695570972.7409868,1695570973.185447,0.444457863,1695570972.903139,1695570973.1585426,0.25539885,1695570972.9082837,1695570973.1417816,0.233314639
12-000000018852,1695570972.757681,1695570973.187262,0.429578995,1695570972.905737,1695570973.1624043,0.25666276,1695570972.9104319,1695570973.14496,0.234350755
11-000000012287,1695570972.7562537,1695570973.1920545,0.435798677,1695570972.8891835,1695570973.1689234,0.279734045,1695570972.8944197,1695570973.148943,0.254323481
25-000000560759,1695570972.7790093,1695570973.1935554,0.414543988,1695570972.8901174,1695570973.1668694,0.276746778,1695570972.894631,1695570973.1464689,0.251637817
7-000000000694,1695570972.7498095,1695570973.1949718,0.445160118,1695570972.8903058,1695570973.1723926,0.282080657,1695570972.8962893,1695570973.1536205,0.257100714
2-000000000276,1695570972.7393339,1695570973.1971352,0.457799061,1695570972.8902225,1695570973.171851,0.281623439,1695570972.895485,1695570973.152713,0.256979395
14-000000020674,1695570972.761071,1695570973.19857,0.437496649,1695570972.8932626,1695570973.1730294,0.279760981,1695570972.899363,1695570973.1529896,0.253425967
9-000000001371,1695570972.7528927,1695570973.1992705,0.446375705,1695570972.8917606,1695570973.1716175,0.279851201,1695570972.8985643,1695570973.1515467,0.252780258
15-000000114471,1695570972.76261,1695570973.2013218,0.438709466,1695570972.9048357,1695570973.172251,0.267409137,1695570972.9116876,1695570973.1537569,0.241873926
24-000000105659,1695570972.777636,1695570973.202074,0.424435671,1695570972.8915265,1695570973.1766887,0.285156987,1695570972.896213,1695570973.1575954,0.261172882
16-000000027473,1695570972.764245,1695570973.203631,0.439383246,1695570972.9191203,1695570973.1746244,0.255497923,1695570972.924543,1695570973.150482,0.225746689
21-000000219090,1695570972.7725544,1695570973.2043145,0.431757935,1695570972.8975194,1695570973.1783445,0.280818302,1695570972.9026098,1695570973.1596518,0.25683843
26-000000571463,1695570972.780465,1695570973.2051504,0.424683116,1695570972.8968453,1695570973.1789663,0.282115278,1695570972.9022298,1695570973.1603696,0.257924833
17-000000020717,1695570972.7660108,1695570973.206038,0.440024537,1695570972.9142342,1695570973.1749961,0.260756207,1695570972.918386,1695570973.1530786,0.234509073
10-000000007242,1695570972.7545917,1695570973.2067876,0.452193748,1695570972.908712,1695570973.1770544,0.268337626,1695570972.913696,1695570973.1586797,0.244792893
20-000000568423,1695570972.771214,1695570973.207911,0.436695126,1695570972.8941946,1695570973.1825316,0.288330647,1695570972.8986785,1695570973.1622765,0.263371892
28-000000576965,1695570972.783454,1695570973.2084906,0.425034742,1695570972.918369,1695570973.170387,0.252012855,1695570972.9236455,1695570973.153779,0.22995082
18-000000033030,1695570972.7673237,1695570973.2092762,0.441950666,1695570972.8956873,1695570973.1813087,0.285615847,1695570972.9027815,1695570973.1628447,0.259857457
1-000000000001,1695570972.7377615,1695570973.2099369,0.472173132,1695570972.88279,1695570973.172487,0.289690713,1695570972.8881643,1695570973.1525111,0.264146609
0-000000000178,1695570972.734282,1695570973.2106142,0.476329654,1695570972.8905277,1695570973.1715617,0.281028934,1695570972.8960984,1695570973.1524143,0.256091349
8-000000000771,1695570972.7514575,1695570973.2113278,0.459868365,1695570972.8954058,1695570973.1752129,0.279802088,1695570972.900823,1695570973.1554558,0.254435756
19-000000569105,1695570972.7693517,1695570973.2118542,0.442500644,1695570972.8906395,1695570973.183899,0.293252847,1695570972.898511,1695570973.1649587,0.266236719
13-000000000535,1695570972.7591908,1695570973.2162921,0.457098957,1695570972.899415,1695570973.1890404,0.289620327,1695570972.9071307,1695570973.1684365,0.26110275
27-000000579670,1695570972.7819078,1695570973.2184358,0.436525802,1695570972.88969,1695570973.192152,0.302456892,1695570972.895328,1695570973.1729894,0.277460821
6-000000000570,1695570972.7470608,1695570973.292409,0.545345384,1695570972.9173057,1695570973.2621481,0.344836577,1695570972.9274697,1695570973.2381415,0.310462571
