id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
8-000000000771,1695570973.8190696,1695570980.0158849,6.196812406,1695570979.469577,1695570979.9921,0.522519136,1695570979.5003672,1695570979.9800534,0.479484793
3-000000000549,1695570973.8113055,1695570980.062014,6.250705764,1695570979.490414,1695570980.0353203,0.544902265,1695570979.5122788,1695570980.023702,0.511246779
5-000000011517,1695570973.8140256,1695570980.0645037,6.250475684,1695570979.466069,1695570980.0364919,0.570418349,1695570979.5039117,1695570980.0245993,0.520469501
2-000000000276,1695570973.809927,1695570980.0847726,6.274842837,1695570979.467964,1695570980.0571086,0.589140032,1695570979.507017,1695570980.0449858,0.537757674
20-000000568423,1695570973.838771,1695570980.0904672,6.251693039,1695570979.4794512,1695570980.0620108,0.582555164,1695570979.513974,1695570980.050406,0.536229525
28-000000576965,1695570973.8506823,1695570980.114217,6.263532208,1695570979.5094526,1695570980.0836847,0.574227638,1695570979.5476546,1695570980.071996,0.524132864
0-000000000178,1695570973.8050215,1695570980.1548414,6.349817001,1695570979.5191355,1695570980.1257432,0.60660357,1695570979.5548973,1695570980.1142397,0.559142005
16-000000027473,1695570973.8324697,1695570980.1649818,6.332012241,1695570979.5444229,1695570980.1348224,0.590394752,1695570979.5840163,1695570980.1221604,0.537969469
4-000000000718,1695570973.8127267,1695570980.1945584,6.381828833,1695570979.5553188,1695570980.1667352,0.611411739,1695570979.5940459,1695570980.1545331,0.560282942
25-000000560759,1695570973.8455148,1695570980.2115018,6.365984533,1695570979.5366547,1695570980.1821218,0.6454612,1695570979.5782552,1695570980.168827,0.590359895
22-000000020503,1695570973.8416376,1695570980.2181876,6.376547637,1695570979.5317254,1695570980.1906037,0.65887383,1695570979.5754504,1695570980.1769047,0.601229358
19-000000569105,1695570973.8371038,1695570980.2209446,6.38383856,1695570979.555538,1695570980.1900353,0.634492323,1695570979.5948372,1695570980.17682,0.581757065
9-000000001371,1695570973.820394,1695570980.2256756,6.405279105,1695570979.5072997,1695570980.1940992,0.686795335,1695570979.5519497,1695570980.1811147,0.628946295
6-000000000570,1695570973.8155193,1695570980.2311435,6.415621546,1695570979.5399947,1695570980.2023904,0.66239133,1695570979.5866923,1695570980.1852713,0.598365217
10-000000007242,1695570973.822662,1695570980.2323134,6.409649351,1695570979.5391617,1695570980.2027993,0.663632496,1695570979.5834537,1695570980.1895316,0.605856019
13-000000000535,1695570973.8270469,1695570980.233801,6.406752294,1695570979.5543935,1695570980.2073007,0.652902267,1695570979.5981262,1695570980.1937065,0.595365576
11-000000012287,1695570973.824259,1695570980.2347236,6.41046248,1695570979.5431335,1695570980.1996288,0.656490408,1695570979.587273,1695570980.1863751,0.598852344
7-000000000694,1695570973.817598,1695570980.24479,6.427188942,1695570979.5298345,1695570980.2117598,0.681921021,1695570979.5745718,1695570980.1988182,0.624021959
24-000000105659,1695570973.8442242,1695570980.2482197,6.40399277,1695570979.5521054,1695570980.2212112,0.66910093,1695570979.595931,1695570980.208057,0.611902533
14-000000020674,1695570973.829163,1695570980.2494485,6.420283196,1695570979.567717,1695570980.2181454,0.650423244,1695570979.608143,1695570980.204598,0.596236565
12-000000018852,1695570973.8256319,1695570980.2514923,6.425858166,1695570979.5460815,1695570980.2141104,0.668024304,1695570979.5901964,1695570980.2010188,0.610596369
17-000000020717,1695570973.8340902,1695570980.2542474,6.420155186,1695570979.5684066,1695570980.2249904,0.656579315,1695570979.6061654,1695570980.2115984,0.605216434
21-000000219090,1695570973.8401158,1695570980.259016,6.418898047,1695570979.5357413,1695570980.227225,0.691478768,1695570979.5785282,1695570980.214285,0.635532286
26-000000571463,1695570973.8472128,1695570980.2929828,6.445767127,1695570979.6136603,1695570980.263898,0.650233296,1695570979.655127,1695570980.2510374,0.595662226
29-000000574730,1695570973.8527722,1695570980.3131611,6.46038677,1695570979.5880966,1695570980.2755399,0.687438845,1695570979.6334674,1695570980.2620199,0.628267419
15-000000114471,1695570973.8307135,1695570980.3399236,6.509207618,1695570979.6049259,1695570980.3039248,0.69899361,1695570979.661576,1695570980.2901998,0.628394329
23-000000576217,1695570973.8429596,1695570980.3410125,6.498050891,1695570979.5705512,1695570980.3127673,0.742211793,1695570979.621675,1695570980.2996688,0.67776151
18-000000033030,1695570973.8353992,1695570980.3460062,6.510605219,1695570979.6056483,1695570980.3142262,0.708572791,1695570979.6507454,1695570980.2997065,0.648733969
27-000000579670,1695570973.8489194,1695570980.389628,6.540706163,1695570979.5545886,1695570980.3600852,0.805492271,1695570979.607632,1695570980.3463707,0.7384885
1-000000000001,1695570973.8084102,1695570980.4872732,6.678859849,1695570979.6281807,1695570980.4573302,0.829144669,1695570979.777559,1695570980.4440298,0.666238654
